# Constructed from biom file
#OTU ID	Bact191	Bact192	Bact195	Bact207	Bact3-3-2	Bact204	Bact3-4-2R	Bact3-4-2	Bact200	Bact202	Bact3-1-2R	Bact3-1-2	Bact190	Bact198	Bact3-5-2R	Bact208	Bact3-3-2R	Bact197	Bact3-5-2	Bact203	Bact209	Bact193
eaf84aff12fd417ad80d961c57550d10	753.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
2b95376fa509ff92e830ed81d413c421	291.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0
a354652ec0555d5e177ef6e275ef59ae	216.0	180.0	151.0	12.0	118.0	3.0	127.0	153.0	106.0	18.0	128.0	73.0	67.0	25.0	195.0	4.0	0.0	153.0	145.0	83.0	0.0	51.0
771e2e8e37695d124ce1393f262f09f9	213.0	29.0	0.0	0.0	102.0	67.0	0.0	0.0	73.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	19.0	0.0
7600313c890c0c55facbe64349254a4f	208.0	82.0	67.0	2.0	11.0	6.0	0.0	0.0	22.0	0.0	0.0	0.0	48.0	9.0	6.0	0.0	4.0	58.0	0.0	16.0	2.0	49.0
0ce2c8a2dfd762e250f0f5cb13216792	195.0	12.0	0.0	0.0	6.0	0.0	4.0	12.0	39.0	0.0	3.0	3.0	0.0	0.0	5.0	0.0	2.0	10.0	4.0	2.0	2.0	3.0
6b403ab84b88088317fbee93bedab969	188.0	184.0	264.0	253.0	57.0	106.0	71.0	84.0	113.0	248.0	59.0	44.0	68.0	98.0	96.0	415.0	34.0	314.0	58.0	75.0	137.0	118.0
876beacd04513f56525d0e7b04807c3e	183.0	61.0	0.0	0.0	67.0	0.0	12.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	17.0	3.0	0.0	0.0	11.0
08f89761c87cbbf1fbc02ddffc79126f	173.0	145.0	72.0	0.0	62.0	0.0	73.0	85.0	62.0	0.0	54.0	34.0	16.0	10.0	30.0	0.0	16.0	56.0	38.0	4.0	0.0	133.0
a3b576c1d329454108c55f7d343212f7	129.0	105.0	129.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	7.0	32.0	0.0	5.0	47.0	25.0	4.0	2.0	5.0
2d9205342e4d34168313f014ff2549d9	123.0	227.0	0.0	0.0	32.0	0.0	47.0	15.0	22.0	0.0	26.0	11.0	47.0	0.0	21.0	0.0	19.0	61.0	19.0	0.0	0.0	41.0
a09f7e8ec372b05d53cd4de191385524	121.0	8.0	14.0	0.0	50.0	0.0	34.0	46.0	4.0	0.0	0.0	0.0	12.0	0.0	15.0	0.0	42.0	6.0	0.0	0.0	0.0	17.0
357ca43376dba0d835a39828ecad94a2	108.0	22.0	105.0	117.0	63.0	11.0	38.0	61.0	0.0	79.0	0.0	0.0	0.0	13.0	69.0	0.0	0.0	87.0	45.0	2.0	0.0	19.0
899d9651f70a0080f43bb16083ac2704	92.0	38.0	5.0	0.0	15.0	0.0	20.0	24.0	34.0	0.0	41.0	26.0	21.0	0.0	27.0	0.0	12.0	10.0	15.0	60.0	0.0	11.0
79b4aba2c69d4eb1c2b9c3ed8617582f	74.0	54.0	357.0	9.0	37.0	86.0	0.0	0.0	49.0	48.0	0.0	0.0	35.0	0.0	0.0	44.0	0.0	40.0	0.0	91.0	29.0	0.0
98268d64c0593fc1d82e0f4eb9fa4348	73.0	21.0	25.0	5.0	82.0	3.0	75.0	99.0	83.0	21.0	35.0	38.0	23.0	0.0	79.0	0.0	5.0	19.0	86.0	45.0	2.0	11.0
75938382984a616f2e52e0b64f75b9b5	61.0	25.0	18.0	20.0	11.0	13.0	23.0	16.0	14.0	9.0	44.0	29.0	13.0	7.0	14.0	14.0	1.0	13.0	17.0	6.0	6.0	17.0
