sequence	16S_rRNA_Count	metadata_NSTI
87720c4796c7940ba607b35a9f86f615	1	0.9153899999999999
8efb4d23635b113e55e14378894dd043	1	0.5642739999999999
dc3ec0db922464896074fa11bf715a7b	1	1.292065
6385408c4651c5818a2e89e5928d0a95	1	1.30338
08d6cd79d98de85e67b3f41254c070c2	1	1.300384
a3ad75646262769bceed763824d350b7	1	0.149659
7030eb8820cad60f7ca6702962e6b564	1	0.13633399999999998
96265230601529a9b9b67afb9b248636	1	1.0057969999999998
d4e000f7f46663552a45d0f2a053de7f	1	1.0010729999999999
c272dd94840a1584d706d3a732013fe2	1	1.016469
c8b71213780027b2b635b6628f8e2041	1	1.157805
12d0cc79322488569607502ee6229c1b	1	1.086121
9b490aafdf5e42026294d649446113d6	1	1.162875
5707639ef2971cc26805aa8de86652c0	1	1.122436
71f3c51b956e8cb45e5a5503b53e310c	1	1.153586
ed49325ec131f04ab94f345089462023	1	1.0444719999999998
43c55f4ccec17d1c5fe6a4ef4d3b7a5e	1	0.944951
b5b32eec20930c9735f5d3438bc1223d	1	0.9403100000000001
bbd56b37b4123cb64cb68ba04f580ddd	1	1.25607
3b6e731978c7f6d31d280e4dcd250f0b	1	1.3262399999999999
0f467f43276304aeffe7d6e2245d715a	1	1.3280379999999998
695e9b4fb848d500f3ac63a30d85e6fe	1	1.261728
73192bba507a575b08816b8e0efd01f2	1	1.300142
6f30b276e5bb03cc0a8c755e7c16fd9f	1	1.255248
7f7dbb802c4fc286cdab9583c24f6b12	1	1.290746
67f110f2a25bc3505b392430dea29ceb	1	1.291204
7a39412f75d89c09e77e8fc9b1571bf1	1	1.2687959999999998
cb44822796010260236a574063601663	1	1.237855
12bbd84063b887b50f5f95efc11b55b1	1	1.182718
d7981ec3510aec354e96afa14406ebc1	1	1.029715
6a31c4d0410843521135b6ce433e8bcf	1	1.28669
6dabd346ecd126837115a6d893f1b233	1	1.2821559999999999
9d21c1ae17293b9e4f32760807b7789c	1	1.284476
f2c8a0ea928d8cb37302f0eedbad0bff	1	1.444078
f65d02da1b2a486e05ebaca8fa97c538	1	1.263708
8378431913323f6c8d0693506ec4b179	1	1.229368
f09ce6a402173f297e8fbb8f8aa0eb04	1	1.2952620000000001
