# Constructed from biom file
#OTU ID	YAE05	BAB01	MVC13	MVC06	MVC23	MVC18	MVC21	YAE25	BAB15	BAN08	YAE01	BAB04	YAE26	MVC05	YAE12	YAE10	YAE03	YAE09	YAE17	YAE20	BAB20	MVC08	MVC01	MVC14	MVC11	YAE02	YAE22	YAE18	BAB19	YAE07	BAB11	YAE24	BAB08b	BAN05	BAB22	BAB29	YAE15	MVC09	BAB24	BAB16b	YAE19	BAB21	BAB15b	MVC17	BAB10	BAB23	BAN03	BAN07	BAB16	YAE14	MVC03	BAN01	BAB01b	YAE11	BAN02	BAB25	BAN09	YAE25b	BAB09	MVC16	MVC12	MVC04	BAB08	BAB30	BAB07	MVC15	BAB06	BAB18	YAE16
bd50f2f80c5e892c4430a4ab352ecfa3	63365.0	1622.0	5278.0	23603.0	59872.0	42588.0	444.0	7036.0	10102.0	30503.0	879.0	21320.0	16583.0	20609.0	17759.0	1406.0	5752.0	8384.0	50175.0	54290.0	25884.0	61290.0	45223.0	7474.0	30.0	46545.0	14388.0	39875.0	8699.0	3829.0	41.0	9043.0	1369.0	1448.0	186.0	2485.0	18194.0	10246.0	4736.0	7361.0	70502.0	561.0	31998.0	6495.0	19623.0	26699.0	8063.0	11131.0	6941.0	3530.0	6487.0	103.0	2501.0	35423.0	1970.0	8073.0	14512.0	14177.0	23158.0	8264.0	21303.0	3337.0	4960.0	7288.0	30631.0	71046.0	3622.0	9821.0	11974.0
f7bfdd6c497cadc2c4542c9f57b9be68	4332.0	0.0	0.0	0.0	167.0	0.0	14.0	1513.0	6178.0	0.0	75.0	1517.0	133.0	42.0	813.0	152.0	185.0	0.0	0.0	1575.0	1498.0	4491.0	0.0	370.0	0.0	281.0	69.0	0.0	0.0	145.0	0.0	227.0	0.0	487.0	89.0	0.0	1.0	0.0	9.0	143.0	0.0	24.0	2091.0	318.0	16.0	2478.0	621.0	589.0	0.0	0.0	782.0	0.0	119.0	1463.0	34.0	52.0	1350.0	764.0	462.0	0.0	722.0	593.0	0.0	1332.0	0.0	262.0	106.0	443.0	1681.0
256e2694051461baad78598578610dc0	3613.0	157.0	961.0	1128.0	3366.0	1281.0	1074.0	224.0	0.0	0.0	1750.0	920.0	0.0	610.0	649.0	2540.0	2027.0	1000.0	729.0	198.0	844.0	1078.0	239.0	4918.0	1772.0	194.0	1207.0	797.0	715.0	1542.0	2.0	2071.0	196.0	273.0	0.0	510.0	471.0	5106.0	1003.0	5725.0	1471.0	11.0	590.0	452.0	1279.0	378.0	1188.0	5564.0	3383.0	75.0	383.0	131.0	1373.0	1839.0	454.0	0.0	330.0	12.0	7106.0	2586.0	980.0	306.0	858.0	94.0	3355.0	2119.0	1057.0	3029.0	513.0
2fa5601b935b360fabe5654ec7244521	2996.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	25.0	112.0	3.0	328.0	0.0	0.0	0.0	151.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	706.0	0.0	0.0	55.0	0.0	0.0	0.0	9.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	34.0	0.0	29.0	0.0	0.0	0.0
40805556f292ce95afbb7acc9b218368	1768.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	503.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
879370dceaf98a76ac45bce815931c2f	1727.0	337.0	1037.0	1095.0	3169.0	2592.0	176.0	19029.0	2616.0	3426.0	54.0	2303.0	0.0	763.0	1694.0	332.0	148.0	722.0	2113.0	7699.0	3444.0	4275.0	3818.0	251.0	0.0	1556.0	1544.0	4533.0	3636.0	224.0	0.0	651.0	90.0	144.0	5.0	589.0	0.0	387.0	737.0	892.0	5235.0	8.0	2661.0	560.0	1034.0	4660.0	296.0	3010.0	712.0	955.0	442.0	62.0	481.0	163.0	175.0	926.0	1918.0	12368.0	4621.0	364.0	2340.0	908.0	314.0	0.0	5341.0	4874.0	57.0	584.0	3061.0
04c8a35bbf76b304aa0a151fe3cc2289	1650.0	2.0	0.0	0.0	132.0	7.0	16.0	0.0	0.0	1420.0	1.0	24.0	0.0	0.0	8.0	153.0	6.0	66.0	30.0	1699.0	0.0	1236.0	119.0	137.0	38.0	0.0	0.0	31.0	100.0	3678.0	0.0	0.0	1.0	68.0	0.0	0.0	126.0	2.0	2.0	7.0	661.0	0.0	24.0	38.0	0.0	0.0	26.0	8.0	0.0	31.0	0.0	8.0	0.0	222.0	0.0	0.0	212.0	0.0	19.0	11.0	4632.0	0.0	5.0	0.0	371.0	6.0	0.0	23.0	41.0
33ecc77b7b20d651c6555c020c4fccfc	1446.0	0.0	0.0	0.0	0.0	0.0	15.0	4020.0	0.0	27.0	19.0	0.0	0.0	206.0	28.0	0.0	49.0	0.0	0.0	0.0	0.0	151.0	29.0	0.0	0.0	18.0	0.0	369.0	0.0	104.0	0.0	366.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	120.0	0.0	0.0	10.0	25.0	0.0	0.0	0.0	0.0	135.0	14.0	12.0	0.0	159.0	0.0	145.0	110.0	2058.0	1163.0	0.0	236.0	12.0	403.0	405.0	0.0	0.0	0.0	11.0	482.0
5202b63ff60689c9400451fe6b5462fd	1227.0	176.0	6.0	4011.0	157.0	146.0	18.0	4973.0	3653.0	626.0	48.0	0.0	0.0	186.0	777.0	155.0	83.0	647.0	2578.0	2236.0	2748.0	8117.0	1001.0	397.0	0.0	45.0	112.0	2704.0	2922.0	149.0	2.0	208.0	344.0	88.0	194.0	607.0	538.0	342.0	56.0	578.0	0.0	50.0	4436.0	163.0	485.0	886.0	99.0	778.0	279.0	16.0	252.0	75.0	283.0	139.0	11.0	228.0	949.0	2497.0	491.0	199.0	0.0	268.0	816.0	380.0	1427.0	983.0	149.0	495.0	0.0
3e39b8ee9fe0a24f20aeacf27afcb260	917.0	58.0	995.0	0.0	691.0	401.0	7535.0	238.0	258.0	0.0	56.0	622.0	0.0	0.0	339.0	0.0	1162.0	732.0	774.0	61.0	323.0	5893.0	0.0	1829.0	835.0	19.0	6.0	26.0	252.0	78.0	3.0	265.0	8.0	178.0	0.0	446.0	0.0	233.0	391.0	1670.0	0.0	69.0	2085.0	168.0	835.0	0.0	134.0	5013.0	505.0	0.0	0.0	152.0	754.0	0.0	370.0	0.0	104.0	0.0	5704.0	630.0	790.0	0.0	144.0	28.0	2488.0	322.0	0.0	1806.0	369.0
