sequence	16S_rRNA_Count	metadata_NSTI
dc666292eb41f0ad4f38d137259aa50f	1	1.734802
5c6fa1053540c37803b77307c44c9f2e	1	1.6806599999999998
c53138ece5d001a7213ec268b9dd44d6	1	1.7359349999999998
3f967ffae591b2aa99b4f2eda6c86c2c	1	1.7089009999999998
3e295cf1fae31d1c595939862c1ac0b8	1	1.653373
a52bc2c918358e69f5826dd7a988dbe2	1	1.653373
fb78ab052b648c8cebafc5c72f65b586	1	1.650666
5dbcba9aa376abfff69213ea95d7d239	1	1.72515
63766aa70afbe0878a5fdef6e3c1c783	1	1.747915
a223789e7ca446dfa89121184ed91bc1	1	1.8326939999999998
db29bbd9986d275a5d2985a7bb8c8b9b	1	1.547674
ecf16024bb52a9a4a6ae888a69148257	1	0.9153889999999999
9e1ffbc831065d045bddf76a93d4492f	1	0.9153889999999999
7126016169f0cf17ceb8c9f4d1882a4a	1	0.9153889999999999
7d5f7d924bd666fcdb9f256281498162	1	0.9153889999999999
2ed29b736d6a8327ca9fa3ea3161814a	1	2.04356
47801c7db09fa54dd4ef9968c25494b4	1	2.0489580000000003
4fae094e42799df16c1f68f60f2c2468	1	2.117834
2a4d77e895568a484a4f99ee1c545372	1	1.088338
76b713ff9a9b793612f45247c4a14df4	1	1.331292
c688da70fb05a2b0e362a9ef360c2835	1	0.281762
8836c0d239f3084b3119c76fa1f37730	1	0.1817
38772cace37a346998739bbb39bf727d	1	0.27758
618023fe26e997030be93780a3c50962	1	0.000101
e0121ee4499cfc64b160071bf9eaedcb	2	0.00015
319b2bd6307dac8d371974f0a1342335	1	0.31748000000000004
7d0be62c74bc93e431dc3750483e0abe	1	0.116352
6a2680934a45264129267e3ac60b4d61	2	0.289194
1045f50ddefa9111c5be65245578b817	2	0.303724
13ef7f8bd96ab3604736288614c10b58	2	0.310207
e9951cecebb763e40ddd18b15f60b286	2	0.291865
56a5bcb9cfcd28edfba867ff9ad44e32	2	0.291865
508bcf1fd980fab2c40b5ebff6f62e61	2	0.313594
1aebd8f8d60ff71da2f079382783baee	2	0.313959
a97714f9ab4c8697d16d15d33c710127	2	0.392073
7095d7fd9153e0066dca9a11f0ebeac1	2	0.5272979999999999
5bfdfb8e61bd5efd7366b56c4b7540fa	2	0.388087
f5081e3b6fc580a2fdb6760340fa0de3	2	0.521975
8932cae7e7a9d1dedee2dc77c6a1f2e0	2	0.406433
03c6536045fe3c88cc727a0b702c94a3	2	0.357205
3cde3b6b522f5371b619ea005322bc62	2	0.47405200000000003
da8a63e403c480035ed8882132d6495f	2	0.263351
cab8f1f0ddfb14c15ecb363250124b3b	2	0.378731
0741c5f3b1c546cc7c40610ffb7e6f16	2	0.302088
204a5b775233ec16cee9ec2bfd312c46	2	0.30894499999999997
ad2c9ffa29f769674dda9cf5ef71af70	2	0.393356
3954ce4c5ef7a7f7b06e89238e9c8d6c	2	0.38871
be4ae139b794430558695fe2c6100e61	2	0.28355199999999997
fd66fbfc250eeae7e169398333860642	2	0.30219
2954dfd1b2480b3d381539b2b54d990c	2	0.490091
1b0f068979666bc54e4e5408d11d3f49	2	0.497407
fbd05dac67d4eb14fd402e04ad6811f4	2	0.33396
4caf20f0940534e6572bfb6473eeb11e	2	0.29983000000000004
b2991987f39613989dba6523411673d0	2	0.38137
523e33a59de97ec95630951d1cfaf0fb	2	0.347484
65dce27893148e0e1416e696300d3452	2	0.360107
e162178f600875dd1a9578b505ad4f79	2	0.479817
44c96ed8f7c1020a810982bf7ab76f18	2	0.523982
2aea57ff97a66a7cfc7ac8541e92d41f	2	0.472521
41cee1ae326cb10f90c08b4569817977	2	0.319042
0fe2a2161ae35809768ce2e23c54c68f	2	0.564928
345a39d511c90746d0c9ac0f742604fe	2	0.33714099999999997
6e69fbd43ed9131c11f5df150cee90e8	2	0.359736
0b21cb0579af9d12668f2ef5aadbd908	2	0.518883
46494acfd8044be702a93647375a8419	2	0.4033
2cd429c4f9406fed2778c54bc2529626	2	0.501015
3d04ac8fb434a4d0e6c96453d3766b3e	2	0.35725
40ca0d5f3afa11f69e7e55669ffe9ec1	2	0.579861
95aabcc539a84cbf86be35bf21eda5bd	2	0.638575
fde847215016daff4146308adffbb94d	2	0.379244
0153b588cac989e26912a5883ae278d6	2	0.38412199999999996
30934ff3adabae3f1bdd7745d55a28b7	2	0.58819
f2be15953dec318eeab637c596e00440	2	0.365103
d19179cac0d2670004c5c0a0a1c0a484	2	0.342104
30dad3db87b5af6f3e98e429c0a1da2b	2	0.481149
564334007e07320a4147b2a11a6daad3	2	0.586987
5e43d24fcf4ce5bf7667499d75d36c66	2	0.36294299999999996
ab36518b1de529560dd9050a5712300d	2	0.35856
a7af4febe3194476121ad82c7f9a0c21	2	0.45645399999999997
a3f90f9326d2989d38085fc516eaeebc	2	0.340015
df4c902f8be195e59961624d03ed95d2	2	0.588823
e945601c2a208706a0b97ccd8ac547fe	2	0.427094
cdd868b84c51c7a7f6074c280eecd5ec	2	0.36285300000000004
277343402043ef049b82bc3118136f51	2	0.366951
03b431a1cb3b0fa936215e75830a56a7	2	0.10513199999999999
786a6eaed910f82b71363c687093f9d2	2	0.215732
75da1bad977e699cd82a786d3d522f88	2	0.16253299999999998
5580962a74c44423bdaa05407cd0fcd5	2	0.17008
225b5f5eeed02481abea423338933fe3	2	0.163499
7ad08b15a18a2a4139d89f20e50fea89	2	0.161609
fca27018b5d1da46ca84367c8bde21cc	2	0.165191
b563ba72812feb06dc6787f6c69d1207	2	0.22614499999999998
68717f3f921d6f927f385231ca01a905	2	0.212471
