# Constructed from biom file
#OTU ID	SRS011271	SRS013216	SRS013234	SRS013252	SRS013261	SRS011405	SRS011452	SRS013502	SRS013506	SRS017304	SRS011529	SRS013638	SRS013687	SRS013705	SRS013711	SRS013723	SRS013825	SRS014271	SRS014287	SRS014235	SRS014343	SRS014613	SRS014629	SRS014923	SRS015133	SRS015174	SRS015190	SRS015395	SRS015425	SRS015450	SRS015470	SRS015574	SRS015578	SRS015663	SRS015762	SRS015782	SRS015854	SRS015921	SRS015960	SRS016002	SRS016018	SRS016056	SRS016095	SRS016111	SRS044902	SRS016203	SRS016225	SRS016267	SRS016319	SRS016331	SRS016335	SRS016437	SRS016517	SRS016529	SRS016533	SRS016541	SRS016553	SRS016559	SRS016600	SRS016753	SRS011584	SRS011586	SRS016990	SRS016954	SRS017076	SRS017080	SRS017088	SRS017103	SRS017127	SRS017139	SRS017191	SRS017209	SRS017215	SRS017227	SRS017307	SRS017497	SRS017521	SRS017533	SRS017537	SRS017701	SRS017713	SRS017788	SRS017821	SRS017849	SRS017851	SRS018133	SRS018145	SRS018149	SRS018157	SRS018313	SRS018394	SRS018427	SRS018439	SRS018443	SRS018501	SRS018513	SRS018585	SRS018591	SRS018739	SRS018769	SRS018791	SRS018817	SRS019081	SRS019087	SRS019245	SRS019267	SRS019582	SRS019685	SRS019787	SRS019894	SRS019906	SRS019910	SRS049959	SRS049389	SRS047219	SRS050422	SRS042643	SRS053335	SRS020233	SRS020261	SRS020263	SRS020386	SRS020869	SRS021484	SRS021496	SRS021986	SRS022006	SRS022093	SRS022129	SRS022609	SRS022621	SRS022625	SRS022645	SRS023176	SRS023212	SRS023557	SRS023617	SRS023914	SRS023926	SRS023930	SRS023938	SRS024265	SRS024277	SRS024281	SRS024289	SRS024301	SRS024310	SRS024331	SRS024347	SRS024355	SRS024388	SRS024424	SRS024470	SRS024482	SRS024580	SRS024596	SRS024598	SRS024625	SRS024637	SRS024649	SRS058182	SRS058770	SRS057692	SRS047634	SRS045197	SRS051600	SRS044742	SRS043411	SRS051031	SRS049164	SRS048870	SRS052697	SRS054590	SRS043701	SRS043422	SRS047113	SRS062427	SRS062544	SRS063287	SRS064493	SRS064276	SRS063417	SRS065179	SRS062540	SRS065310	SRS064557	SRS065278	SRS064809	SRS063603	SRS065347	SRS063985
study_1	0.0	0.0	0.0	171.0	0.0	0.0	0.0	127.0	289.0	628.0	0.0	0.0	0.0	0.0	254.0	101.0	1315.0	871.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	89.0	147.0	6.0	0.0	0.0	149.0	1716.0	533.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	408.0	224.0	0.0	0.0	378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	433.0	2031.0	0.0	0.0	77.0	0.0	0.0	0.0	0.0	0.0	714.0	0.0	0.0	0.0	0.0	0.0	800.0	0.0	41.0	26.0	30.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	0.0	96.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	1092.0	0.0	0.0	17.0	0.0	56.0	2417.0	23.0	0.0	0.0	0.0	112.0	0.0	0.0	363.0	14.0	0.0	0.0	1676.0	652.0	0.0	0.0	0.0	1054.0	169.0	0.0	47.0	689.0	147.0	0.0	0.0	0.0	0.0	0.0	145.0	0.0	0.0	0.0	70.0	1083.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	801.0	642.0	0.0	0.0	18.0	141.0	392.0	0.0	0.0	639.0	56.0	0.0	0.0
study_2	0.0	0.0	346.0	26.0	0.0	0.0	0.0	653.0	28.0	28.0	0.0	0.0	0.0	349.0	118.0	95.0	94.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	487.0	0.0	476.0	0.0	0.0	0.0	204.0	40.0	0.0	468.0	0.0	0.0	0.0	0.0	455.0	0.0	0.0	0.0	0.0	0.0	0.0	338.0	0.0	562.0	8.0	0.0	0.0	0.0	661.0	30.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	526.0	158.0	54.0	0.0	0.0	189.0	0.0	99.0	15.0	43.0	0.0	0.0	0.0	481.0	38.0	0.0	169.0	60.0	0.0	0.0	0.0	0.0	195.0	37.0	21.0	0.0	332.0	0.0	472.0	61.0	466.0	60.0	0.0	661.0	540.0	0.0	751.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	642.0	9.0	0.0	0.0	474.0	888.0	9.0	1512.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	281.0	18.0	0.0	0.0	13.0	0.0	832.0	123.0	0.0	0.0	0.0	0.0	1083.0	0.0	335.0	0.0	228.0	0.0	669.0	41.0	247.0	0.0	0.0	0.0	41.0	61.0	0.0	2.0	89.0	97.0	199.0	0.0	0.0	0.0	298.0	108.0	0.0	0.0	123.0	0.0	320.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	174.0	0.0	39.0	0.0	606.0	57.0	5.0	0.0	0.0	0.0	822.0	257.0	0.0	979.0	163.0	258.0	0.0	0.0
study_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	378.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1455.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1683.0	1702.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	438.0	0.0	0.0	0.0	0.0	0.0	0.0	333.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3295.0	2505.0	686.0	0.0	0.0	0.0	0.0	487.0	0.0	1345.0	0.0	0.0	0.0	43.0	0.0	954.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	838.0	0.0	0.0	0.0	0.0	0.0	890.0	0.0	397.0	0.0	0.0	0.0	0.0	0.0	0.0	976.0	0.0	0.0	0.0	0.0	517.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
study_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	483.0	172.0	0.0	0.0	0.0	0.0	40.0	47.0	0.0	435.0	523.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	193.0	0.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	0.0	0.0	115.0	0.0	208.0	0.0	0.0	0.0	0.0	423.0	129.0	107.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	1896.0	0.0	0.0	64.0	115.0	0.0	0.0	0.0	0.0	467.0	428.0	0.0	156.0	0.0	0.0	0.0	0.0	0.0	59.0	309.0	0.0	0.0	0.0	0.0	138.0	1406.0	71.0	0.0	0.0	0.0	153.0	0.0	45.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	83.0	58.0	0.0	0.0	139.0	188.0	0.0	93.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	995.0	0.0	0.0	42.0	0.0	258.0	505.0	18.0	0.0	16.0	0.0	197.0	0.0	88.0	311.0	0.0	0.0	612.0	2340.0	0.0	0.0	0.0	0.0	898.0	0.0	0.0	0.0	684.0	0.0	155.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	130.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	332.0	72.0	0.0	0.0	0.0	318.0	0.0	0.0	184.0	605.0	0.0	0.0	0.0
study_5	170.0	377.0	0.0	0.0	0.0	584.0	1864.0	0.0	9.0	0.0	382.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	1495.0	101.0	0.0	619.0	0.0	67.0	259.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	280.0	0.0	0.0	133.0	1043.0	0.0	95.0	0.0	610.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	44.0	316.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0	261.0	0.0	0.0	0.0	0.0	166.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	0.0	1167.0	0.0	0.0	173.0	0.0	0.0	325.0	9.0	11.0	421.0	0.0	0.0	0.0	0.0	0.0	89.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	252.0	0.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	191.0	0.0	0.0	0.0	323.0	425.0	0.0	0.0	0.0	208.0	0.0	104.0	0.0	0.0	0.0	646.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	430.0	0.0	0.0	0.0	0.0	0.0	202.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	472.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	239.0	176.0	0.0	0.0	224.0	0.0	0.0	1535.0	0.0	0.0	0.0	753.0	0.0	0.0	0.0	0.0	123.0	0.0	0.0	0.0	0.0	331.0
study_6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	322.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1779.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1272.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2013.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5278.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1934.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3665.0	0.0
study_7	128.0	0.0	0.0	0.0	0.0	586.0	0.0	0.0	0.0	0.0	124.0	272.0	44.0	0.0	0.0	0.0	0.0	0.0	332.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	689.0	0.0	0.0	101.0	0.0	0.0	0.0	0.0	0.0	0.0	232.0	0.0	0.0	491.0	0.0	0.0	0.0	0.0	69.0	357.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	1059.0	0.0	765.0	520.0	201.0	0.0	0.0	0.0	246.0	0.0	0.0	104.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	631.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	541.0	243.0	0.0	0.0	0.0	0.0	961.0	86.0	0.0	0.0	1763.0	0.0	276.0	89.0	0.0	0.0	0.0	91.0	174.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2531.0	77.0	0.0	0.0	61.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	8.0	0.0	276.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	354.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	284.0	0.0	0.0	0.0	139.0	0.0	0.0	247.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
study_8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	296.0	21.0	0.0	0.0	0.0	0.0	137.0	18.0	98.0	0.0	648.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	656.0	0.0	23.0	0.0	0.0	0.0	40.0	0.0	0.0	400.0	0.0	0.0	0.0	0.0	1476.0	0.0	0.0	0.0	0.0	0.0	0.0	844.0	0.0	199.0	0.0	0.0	0.0	0.0	16.0	8.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	44.0	49.0	0.0	0.0	0.0	347.0	0.0	746.0	80.0	97.0	0.0	0.0	0.0	302.0	7.0	0.0	897.0	75.0	0.0	6.0	0.0	0.0	61.0	23.0	111.0	0.0	8.0	0.0	814.0	115.0	130.0	131.0	0.0	48.0	182.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	374.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	229.0	12.0	0.0	0.0	71.0	0.0	511.0	36.0	0.0	0.0	0.0	421.0	153.0	0.0	301.0	6.0	8.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	64.0	408.0	0.0	0.0	28.0	0.0	324.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	376.0	101.0	391.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	601.0	84.0	35.0	0.0	0.0	0.0	60.0	0.0	0.0	161.0	14.0	33.0	0.0	0.0
study_9	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	162.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	85.0	0.0	1835.0	0.0	0.0	0.0	0.0	0.0	482.0	163.0	0.0	186.0	0.0	0.0	244.0	0.0	0.0	596.0	129.0	0.0	0.0	147.0	0.0	0.0	0.0	0.0	72.0	248.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	681.0	139.0	179.0	0.0	0.0	0.0	405.0	0.0	0.0	717.0	0.0	0.0	0.0	196.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	307.0	0.0	0.0	0.0	1232.0	30.0	39.0	0.0	0.0	0.0	399.0	0.0	0.0	0.0	0.0	0.0	315.0	133.0	0.0	0.0	0.0	138.0	0.0	0.0	0.0	0.0	114.0	0.0	132.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	494.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	264.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	596.0	317.0	543.0	176.0	0.0	0.0	762.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	893.0	0.0	0.0	0.0	0.0	132.0
study_10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	130.0	25.0	0.0	0.0	0.0	0.0	620.0	288.0	0.0	55.0	99.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	451.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	467.0	0.0	0.0	0.0	0.0	266.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0	0.0	537.0	64.0	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0	576.0	0.0	90.0	0.0	0.0	0.0	451.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	543.0	59.0	0.0	0.0	0.0	0.0	608.0	34.0	325.0	0.0	0.0	110.0	414.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	549.0	73.0	0.0	2205.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	475.0	0.0	0.0	0.0	27.0	0.0	657.0	77.0	0.0	0.0	0.0	190.0	913.0	0.0	557.0	0.0	0.0	0.0	269.0	22.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	182.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	469.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	69.0	0.0	69.0	34.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0
