# Constructed from biom file
#OTU ID	HBC	HCY	HY	HCN	C2_M	HAK	HCB	HCT	HBD	HAD	C10_M	HBI	C23_M	C13_M	C3_M	HCH	C24_M	HT	HDE	HCW	HK	C22_M	HCA	HF	HDB	C6_M	HCR	HAF	HBH	HBZ	HBJ	HAV	HBY	HM	HBR	HO	C19_M	HJ	HCJ	HAZ	HBL	HZ	HQ	HCQ	HDC	C9_M	C16_M	HP	HR	HCP	HL	HBG	HE	HAO	HAN	C7_M	HAE	HN	HU	HA	HAR	HAC	HCK	HAX	C4_M	C15_M	HCZ	HBB	HAL	HCO	HAG	HI	HDD	HDA	HBE	HBA	HBM	C14_M	HBF	HW	HCM	HBK	HC	HD	HG	HAA	C5_M	HAB	HAI	HBW	HAM	HCF	HAJ	C25_M	HBV	HAT	HCV	HCI	HAU	HCL	HS	HB	HCD	HCU	HAH	HAP	HV	HDF
5950e565e50f4d9c95661bf344cf8a09	39072	27	0	3	0	0	71660	3091	25	0	3817	2161	0	3502	25	0	0	0	4	51	5475	0	0	0	0	229	0	0	4	106130	2	12	91	0	0	1	0	3213	5	13	0	1049	0	4555	15389	3	3140	0	0	11213	18418	2	12155	0	4	0	0	0	0	392	0	0	39145	27736	157	2670	3	0	8120	15461	0	1	12	31529	1329	8013	5	202	0	0	6677	19	0	0	0	2410	0	0	0	12	5457	11	0	0	0	0	0	0	0	0	0	0	17	69807	0	879	0	0
3a603c2bce65dab0a68810634f279d75	19268	10661	0	228	157321	18478	28178	3	0	12654	20656	0	20727	0	53825	34912	2735	59237	0	889	38	0	2567	8965	29541	29881	1266	125999	2	47315	0	23	15020	440	18534	36958	0	2184	1460	4010	15963	14884	56369	0	1038	59089	149828	10233	38809	1132	2958	0	11269	8940	0	17377	0	27920	25405	6308	39723	0	2524	7425	15481	52656	301	9429	3762	5973	29591	15577	0	453	29	14949	20	28603	356	910	53410	0	10629	42694	0	0	0	413	8640	0	11843	977	0	5807	4	18905	3076	0	8	29610	18739	4814	0	15089	32413	3094	0	0
a251b3a97ea63c510549d594913ab5d3	9842	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1304	0	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	6	0	221	5779	0	184	0	0	1504	0	0	0	0	2645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b3ce647b18b12ca23b47e0c6a4210715	9324	12711	24895	3467	89651	16862	13152	3	7832	26243	31323	1	32680	52940	73735	20310	4002	34113	2	463	72	0	28107	28246	20316	96639	21247	0	2	21940	0	15	9451	1008	11014	26973	0	5293	21658	0	11829	11855	25841	0	1720	33497	58895	11294	18157	0	2762	41	47942	20431	0	22032	42102	8698	28948	15691	39901	10	2090	2656	19671	27017	0	14594	4304	8173	39091	17737	51	740	19	23475	19	92885	0	2017	19865	2396	19374	5196	613	4616	15	952	26174	201	0	7714	0	10787	3	35440	2030	19	9	14860	17099	39501	11	3187	23573	1109	3321	2
37cb363878b50110a2fe77c784d45227	8030	6882	0	0	0	1093	9430	0	0	0	1809	0	0	0	0	0	264	19567	0	384	0	0	0	4904	14075	2108	218	0	0	16264	0	1	5892	0	8714	3407	0	358	236	0	0	4372	0	0	0	0	2886	2726	3867	83	0	0	393	0	0	0	0	2557	2417	1058	0	0	0	0	0	0	0	0	0	3712	0	1631	3	0	3	452	0	1835	0	0	3764	0	0	0	0	308	0	2013	0	0	0	0	0	0	0	0	52	0	2	3082	3238	0	0	2405	12185	439	0	0
4b5c41dd394a446ed242a18cf0e7997b	6857	146	41	2903	0	6332	3465	832	2128	5042	83	0	67	1395	5812	1042	123	17422	8005	19418	739	0	0	490	2200	1979	1980	381	0	6172	2255	27	0	42	1026	1743	3671	1067	1688	774	8493	454	2780	4609	13	3674	14690	1588	928	0	1020	0	0	8564	739	63	6	139	54	8176	369	0	679	614	16917	101	3742	11	7470	828	1358	1280	1662	1169	95	6182	274	1803	3778	334	696	10046	17633	4434	116	1602	0	506	2266	8441	359	5058	490	124	0	6930	0	7020	235	6915	1249	5320	2959	48	17673	92	359	787
f1463471f26bcdafe383a17d497cefa0	5828	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
078ba5c21cc669d7a1075ffcee65f07e	5256	0	0	0	0	0	5747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
4106aa080628d0100312a6ead02f684a	5068	0	0	62	0	1490	0	0	0	1827	0	0	0	0	0	974	0	0	0	3330	0	0	0	1318	0	2612	139	0	0	0	0	0	203	0	0	305	0	0	124	0	1301	403	0	0	0	0	0	2052	6289	19	1167	0	0	2028	0	0	0	4362	0	3673	1934	0	1527	0	0	0	0	46	541	0	0	0	3	8	0	631	0	2506	0	1	0	163	0	12200	0	0	0	599	0	0	1355	152	0	0	3	0	2355	0	0	1292	182	0	0	7833	0	0	1	0
42be92c6b4fed010c632e7affe065341	4627	4681	17889	9650	28827	13948	3688	12	4707	7035	6711	40388	8278	14399	7108	14536	5409	11838	17942	8077	2470	59442	18	442	35387	5572	6414	1160	0	6607	640	395	11737	583	12013	3080	16998	18620	6299	2881	7191	224	2400	4349	11207	121816	13212	1563	6050	2117	3381	1076	2545	3529	11460	15931	10163	2239	2194	1026	1492	16380	8667	12429	4330	5815	3493	8896	2885	21968	3649	19651	6157	1931	1151	9638	23	5363	3071	806	9440	19123	17681	5834	55	607	46682	1129	5295	28107	6460	18543	28027	18129	217454	1542	3675	7617	9050	8953	1225	7650	21421	7425	12892	795	704	21098
