sequence	16S_rRNA_Count	metadata_NSTI
5abffdb7a1dacae81c8663dcb06dccaf	1	0.13894700000000001
f97f6c6d7210ca8bc206af7e967484dc	1	0.10329200000000001
4ee79fb048d34ebc2c69fcdd725a1a41	1	0.109457
80ca8acbd138a298f94675de6ec04802	1	0.071153
e74b7f7fffe613d8cdbd786136a5f80e	1	0.025776
e3822e33a111af5a8e9444b9b992926d	1	0.025779000000000003
3230a5b39d587c070664ecad9b8a764a	1	0.076293
1175d532ac8bd5ac79a4462a8a6bcfbf	1	0.140656
a48b712b4a4b95d3dce71783701c5712	1	0.128077
c1126b7a828790564fa19958d0980b02	1	0.094106
505d0a9eec000824d95b8b4dd3ba3aab	1	0.068344
83b7b951493c6ca9f3a1cde5d7b5e581	1	0.037906
0ae7590646fb47479ca2459475d38e86	1	0.038432999999999995
ad1cba00af3340d14e1244260ba4b79d	1	0.005633
7147c0b70e885c03641f2ac9aaf27271	1	0.016972
8e8fe7257b4664c859baa6e9e83aabc7	1	0.011271999999999999
570b79c6786a417cf4d03c41aede0b8a	1	0.005154
c88de1ece7e460ab4d7b48ca55127cba	1	0.017253
5e8bbeb4423495de74e92e1769fda8c4	1	0.042317
0a1f1018e61f8d0f848a7dcadc2bb260	1	0.016265
26b5640e6323da3eee12b0d41beebad5	1	0.010786
6e43dddc277e5264e0bc57335ed7d91b	1	0.040299
950ef215341f8dc6c22827de017ad401	2	0.199512
526d4e20ce5dc82895b1644fca8108d3	2	0.012112000000000001
6b25f6eb920313ee0f32debfdc1b732f	2	0.004769
a0e046abf9d53692e98dfa6581d6796a	2	0.032434
6a1ed817fd3bc86d4a72efdf374c9024	2	0.018914
13c2efa0a517932b587f2c662f69f6ff	2	0.009304
4940d168862a7d064cb8becfc79c55d6	2	0.004716
523060f0abc3805bb285992da9148765	2	0.00015
4047c85ebecc58ea88548fe1cbc29778	2	0.02455
a08a5153799ddee688bf663dd28b828c	2	0.009478
ffb9305fffe3a6434fd9492ff7d24551	2	0.014446
f445168cae83b0411f2a04c30b80ff18	2	0.029258999999999997
3ca9e953e035024cabda08f48aca6ce5	2	0.009637999999999999
19dabc8609a0ff2384c4f2bd65ad38d9	2	0.019165
86044e4512fdc1156cd4165dc3340bf1	2	0.024363
380fd554650e0abfa4ef22c92d0ef653	2	0.004790999999999999
a9f9c746e65fd480975eb8b278d30bf4	2	0.01454
dd6b7243fcb3ac76d554e3a49e7e1c48	3	0.000101
ba5540300082a9dd2b66a8547c1dcab8	2	0.029206
a5af5dbde136db2f3eb0843a10c00885	2	0.014762
7be6990fa249fde3cf7158e31365763e	2	0.019172
763cc5010ad9c8338e9d884ff12fc0c0	2	0.034371
ebb61f1a6378c58dcdba58faa22180c8	2	0.009637999999999999
ae4cd45e36e0e24527dcb1a32b945b3f	2	0.019764
0cbeffd7504b363b007b650faf491d79	2	0.00015
cf307126b86adc2c5a7eb459a8159b00	2	0.014931
3431fb8ae12fb473d3e14e7fdd7e83e5	2	0.019994
bfc5304e34be0ae546b8e7924c7424a9	2	0.029480000000000003
3227ce7060ded1094d2cd1954238d1c8	2	0.034651
62cc4d3c83914557ad7dbef2117ded61	2	0.010295
d018614cbd5b72132625c5b5413e499f	2	0.010306999999999998
0460c0a9856dab30706350cf1e863075	2	0.005072999999999999
0c877dc952d8a729d8601b4b72af3f52	2	0.00015
57c6ef1fc68959fb0edc6dc629626445	2	0.010259
9780811249e5a9846b533ba0e4c1c467	2	0.010269
9aa757626e69a08d3ba6d8092bfd5853	2	0.0050880000000000005
bd7570e82927a1dd9c082e4125e05b23	2	0.08877
8eec51874cc1e64ab6ef1ef7c8138fa8	2	0.094948
e234bd62da4df2a714bd6b971d747836	2	0.00015
fe588151f45bb6bd1dac37792fc62209	2	0.014805
45fd6a652340cf03dd1c292fabd0a260	2	0.009661
dc0b743bc21cd9f447f69c9560fccdff	2	0.00015
97124479d9b4d8c50c1bc962ba61ce04	2	0.009961
f9adbd9546e8183632a18d407bb06faa	2	0.004917
72f2dc53492fbf03a18c96eefcd7d21c	1	0.027223
56646e9bf629cc49133b339fac973d56	1	0.10951400000000001
ad0d049a3efe98bcb37b46edb885b72b	1	0.033422
52b0980759e4a662b917ed6ba98371e4	1	0.038851
b3fe69643addd9551c179dc13550fae1	1	0.078825
d7f7f64de8132218c4831b3377822df2	1	0.11139500000000001
267cfacb12267cbe789a164c50f054fb	1	0.021924000000000003
1ac64c26b369ccc40255b35928f05d25	1	0.029177999999999996
35cb4029c35da7f5d589548be6d6c3db	1	0.034628
2572973aff37c472d599b64e429f47ce	1	0.022147
040772c6a7f46f36c578b68abcd0c63a	1	0.07911499999999999
a2cebaa321d8c5a6837b96d81efc12b9	1	0.085467
8344d62aac03f4fab2bad969067e0d0c	1	0.06125
e5f3478c1b412a4e82587faf857fffa3	1	0.052917
f20fb452d1495c6499cf171c41ae7336	1	0.058776999999999996
1795522ef4e9c1caa9e2edbf7f872b77	1	0.058919000000000006
