sample	weighted_NSTI
HBC	0.07906477961650574
HCY	0.032669406270049606
HY	0.04582416414287561
HCN	0.04796464053453087
C2_M	0.06342107503847347
HAK	0.08454026360376853
HCB	0.10978041172973368
HCT	0.030875874033111348
HBD	0.1691086249280923
HAD	0.09376902516295951
C10_M	0.09099667163257417
HBI	0.05164706859629355
C23_M	0.06975055754863142
C13_M	0.07542509159284458
C3_M	0.06637970705913324
HCH	0.07238142169614621
C24_M	0.06098993933637549
HT	0.06091727306156891
HDE	0.018568466646853275
HCW	0.05162711342822513
HK	0.09857368822260683
C22_M	0.017343653056404135
HCA	0.05298786764489011
HF	0.09321090925372479
HDB	0.05952052627916018
C6_M	0.0957117179555107
HCR	0.12165560258613542
HAF	0.0766501016710559
HBH	0.024310397324848645
HBZ	0.11031332251593429
HBJ	0.018083169555932924
HAV	0.06811030093870207
HBY	0.037569893101790784
HM	0.027149508217606852
HBR	0.06316874706301809
HO	0.07242709489375986
C19_M	0.057543869562318384
HJ	0.07076343965684159
HCJ	0.12486417818713832
HAZ	0.0268855810195965
HBL	0.09376376189984588
HZ	0.07724073354642733
HQ	0.07197453095118753
HCQ	0.04665508730905089
HDC	0.0459209669450598
C9_M	0.03797606091581452
C16_M	0.06744429631507864
HP	0.08895010728030613
HR	0.06322855171405847
HCP	0.07922248554626249
HL	0.06789163292938706
HBG	0.04243429003228994
HE	0.0659373471923043
HAO	0.06580171575696754
HAN	0.030844704389894395
C7_M	0.07953787607146433
HAE	0.06361447256177603
HN	0.072760548119303
HU	0.12262691481949277
HA	0.07640329644391874
HAR	0.0804438724663646
HAC	0.030634638965937325
HCK	0.06126777655498401
HAX	0.05281824205780632
C4_M	0.06446432869641408
C15_M	0.07893861985501004
HCZ	0.057018172472095396
HBB	0.10520986103830718
HAL	0.09203458650028154
HCO	0.07537228582452564
HAG	0.07446427945819743
HI	0.07222888403206822
HDD	0.009175112863248536
HDA	0.11434758640803687
HBE	0.07617192158051408
HBA	0.0759668087003864
HBM	0.043469317671600234
C14_M	0.0959003383357418
HBF	0.07202060994142163
HW	0.029269050170158177
HCM	0.07422122950981293
HBK	0.0621340586558417
HC	0.04860659568032346
HD	0.11168414574140699
HG	0.05559851993719457
HAA	0.07327423759759033
C5_M	0.016890638182061792
HAB	0.0993684908757009
HAI	0.07770351170904566
HBW	0.029364811208082025
HAM	0.18763599372745784
HCF	0.04580737606806111
HAJ	0.027878366443676975
C25_M	0.05972581521651816
HBV	0.04827785780585049
HAT	0.07945396274538825
HCV	0.08031458231162789
HCI	0.07463413542195842
HAU	0.05152636836029744
HCL	0.1056215541835471
HS	0.10006901281195989
HB	0.056445370521232476
HCD	0.024536301006677128
HCU	0.08007506060451376
HAH	0.05860383174990342
HAP	0.07441269843744776
HV	0.051511839199116935
HDF	0.03643375994617312
