sequence	16S_rRNA_Count	metadata_NSTI
27665c76dc0aeef276b1985d299fe59d	2	0.39978600000000003
a922e2cf7a652d32934606806cb11561	2	0.184201
3bf628ed2e5c136d71034322a6a4c3ce	2	0.168614
c48700c02efa1cbdf5b84d5b8ad605d9	2	0.052829999999999995
7db9b4e1d7daf8aaef8f9218ee540385	2	0.05608099999999999
a634f4572c0b4a3711389803b7b8cfd6	2	0.087587
4ab5c65a381bd29040c3cb3e620c1e61	2	0.224003
f7099ba28774366c4dc8e6d3157ba3d8	1	0.018702
4e3b29befd41d984aedcbeb5e4caeb8e	1	0.22553800000000002
30d9f16b9264d2152130cc9920e6a449	1	0.07102699999999999
88b512b15c5bcbde5c2479837579cf94	1	0.08667000000000001
c7bcf19c94cb2ce8e490229566b2ff6f	1	0.085747
42bd6e4fe410a5281cb01da476e32496	1	0.017137
7adf35d9395f36137bb072b46ffaaab7	1	0.018586000000000002
5126d78350bfdb6ac94c717afab2e0ad	1	0.049086000000000005
a246c3e72fac951cf93cd522fd28aa62	1	0.014562
c7f2afab4654351ab189eafb9572c0b2	4	0.063762
32f9b309709129147bddb444e3691eae	1	0.117372
09e01cfee9dc50f3e72fe36502e3f30a	1	0.32512199999999997
0f92f20da13248740b3992c29fffb4c6	1	0.333821
4af6b7480dacaad7d55259b06e8d8e40	1	0.378606
b929089546dfc9021311a3572d3bb44a	1	0.036257
4b5c7d7b92f73fd94f3848ac5c67c5d3	1	0.040977
4e9492ab9256ed01cfe4b38cd67fb1ac	1	0.039226
9aeb764b8f12cb64bc6f9421bf8893e9	1	0.036377
ad8708fa7b76d603a790ef0cadcbc484	1	0.036433
520122a854aed2771cd559e88a7e6b5e	1	0.030587
da22aaaec5b76093be71612bec0e1fc6	1	0.03333
68338677fe82073e2d96a5a176e29315	1	0.034869
a410184ba8e734dec258b98a2fc7ce8e	1	0.031714
3fee3892ec3540970ddeadc9edbee00f	1	0.042602
473dfac2670d55534bda3b0a4c5a402e	1	0.044159
2f8b4d2e3322c949739b5fddf315ba60	1	0.033823
246f6590e2c67c86682d7b1b099c3b31	1	0.049713
08a1557f5786eb52f65446b639acd311	1	0.049451999999999996
e88fba67df8cfb9f0c0ebddbb5e13d0d	1	0.007112
cf299eed5f42ab459a68ee3ddb4c7c5a	1	0.202972
