sequence	16S_rRNA_Count	metadata_NSTI
660f8ebca60a7a8a6928e6f260279bad	1	1.453798
760507c9c84c4e00f26d113d277ec175	1	0.313601
56aa0e46219c7e497b5956c8160c9b03	1	1.279736
10af044f077d356112f1a4adc7f166b8	1	1.329805
5ae15f6288d2df59dcc4061eb9454da0	1	1.1114549999999999
2c78aac79683c0e58a8d6e496eaabd11	1	1.147859
ea9105010ac5717ad9a8858c9a268171	1	1.207084
475ab87a8228863c20dfe21e90d21d0c	1	1.06576
b0a17084d9d1a6a5d7a89e61183a7f50	1	0.314091
b7734037397df784b0df716a38faefa1	1	0.9153899999999999
1437da90a9dfe0c4fdeb8a181d5168b5	1	0.9153899999999999
4070f9593dae3a39f34050ea61478852	1	0.9153899999999999
da0650ed4323c6b2e765813f085a2109	1	0.9153899999999999
c1e62cbe2f6e72367d7ca1a0a14853ff	1	1.6643990000000002
30d47e1ed3f505bb215d1b9c9bed51a7	1	1.679718
cae556f45385df07211a123a3a288271	1	1.631148
323f2cd6a109e0903e1ff44c416c4921	1	1.705962
8bb5c63a8fbd380df728dc80d5cdc92e	1	1.677405
d548d996072d64998130e1649903ffd6	1	1.726539
390e780f267c24df1f8b738d7d62a75f	1	1.6835950000000002
7d07badbd445be31b023432c1f6629f0	1	0.8576860000000001
d29c0201c62323b93553ff5961dcf0ee	1	0.10616600000000001
d61e7cfc7c2910edc3365b960a6e8192	1	0.130387
c6fa4021fa9402058b1e146b7032ff63	1	0.1324
4e11a0019cc770db1c54336c72b084fd	1	0.099524
7d1483a26d9dff3e4ea77666ed5094b9	1	0.114851
e009fe37176c1e829c585c0247580b37	1	0.12034600000000001
a6588b8da8478f9ee50c91557abbdb32	1	0.120254
635b98438315f4efd1d833aca565eb55	1	0.11084000000000001
365808b634a2d3781ef73468f73a59fa	1	0.115651
a7936d08841382c9ea49bc33dc265322	1	0.0949
79615fc9765a8cd4ba4d526a10c90d9d	1	0.10533900000000002
559e598adc9bbb9aeb543ec0969ac451	1	0.09537999999999999
847296b095b9ff8b60b9daf49daa3579	1	0.089238
7ab5ac851cb41be30e5d77a9f2d2731b	1	0.07332799999999999
b1bea4bcfb495a29e8321139d3a6cc75	1	0.08462
45c3d9833253c909761631e379025c5e	1	0.033573
4c4266ebf5308ce3588e982c54f45132	1	0.094827
9dcd49028537ab499a502aa1e52b48d6	1	0.10243499999999998
1c36aa80e5b8e1a40fcd5fe66b1fcaae	1	0.090246
9e9f7307d2364d1edcee0d9b557e624c	1	0.06644299999999999
ee6b7a936e524630b3fd6634e42132b7	1	0.030885000000000003
c55c8530f3e439a29e37bc036b53e1f5	1	0.042571
03a104de9f9de84dd13bee3d6a50718e	1	0.028994
a1ba9dcd5f3d14ae8e8d1c88447ecae1	1	0.06944700000000001
a12417dff00c659896baaa89f8c4284c	1	0.048085
fce1867d7592c972ce4361db2b771c47	1	0.00015
d9725265b3798e80b953a576abc6be76	1	0.082669
12043f7b971c2d33c39024d7e2877ce8	1	0.095249
40a55ffe7f20cababc1f9bf82b69e973	1	0.011218
4d0b0f92ad102fe34c9519de131cf706	1	0.620221
536ba918e115cb438e224e9d98190e7f	1	0.722396
993018e749f43bdc3593414e0fee0818	1	0.5844630000000001
d295cf35f1e5d842b7fa99d242756bf5	1	0.438328
32bf0ca8e884c7eeb6db3f382186d9f8	1	0.495979
1cc113d880edb54e4b3435dd14975bce	1	0.563493
00becc5cb06fbccb96790d088a237a13	1	0.036336
63b00220d1589264c58a47b626c4a802	1	0.054386000000000004
572bf487bdd61820e70759a548b1d359	1	0.059724
8560b9c3d106294ae9835b5737bc2a52	1	0.428451
59387bd87a24a39af928cccfd450aed2	1	0.611815
9f7c6e2d70bebcea14b26f84d0a5b3eb	1	0.840942
5382a47f301303b62ad43d6283282bca	1	0.325045
3111faa4f470179c208566476dd3085c	1	0.334575
2d49b59a9efdf1965537b2a1927994c7	1	0.231256
8427cdcf676ca6bb2e3471503c37007c	1	0.231256
9fa838e9c4bb3bfda242627153fae513	1	0.231256
c3e7a50b9f9779694e5cec85c03e0166	1	0.231256
b65b0dd18f61f5648a02a7f095b8a424	1	0.072746
a1958d1f6daa7e2db69ed630ea184a6b	1	0.05330700000000001
0e0df015b1bf3864a4b8347fd90b6cfb	1	0.060809
42c70a2f593e2cbb7ce0d96baac29c6d	1	0.061392999999999996
eebc9d4e20ef6623a456b9b05959c14f	1	0.29084
aa381b4d79913daa16f73fd24fad3310	1	0.00505
8dc6b6de9cc6af2fc557fac7381d382a	1	0.28074699999999997
38e4004abddc31cf9457c63e808d3421	1	0.077271
8342b0f93b2fae884ea5f60571c7573a	1	0.072078
07ed5b34816c42ef0e2e28299bb55595	1	0.026873
c0a33a9dce7cb42b1419a44040844f56	1	0.047791
3760a6224aeadebebb7fa24f98765e07	1	0.12030999999999999
27aaaf005c8e397e4ee1058fa3c5d9de	1	0.211907
220aa8ca06ec762a3b7ec00850a9d741	1	0.553894
a3bbd161ae0fea06c83185c7a0a4cd80	1	0.470188
65107c0ea7870f0703ac47b441116d9d	1	0.553199
a095e8e05b49e110415d1eb04b3be4a1	1	0.5536439999999999
db8ebc032fad31c69a6108e03530f54b	7	0.150593
c8d56169b0ab88c600ecd9d4ca9b3c70	1	0.099442
4810aca6a4407339b9326f2e8e9d45e5	1	0.708011
a5f464d177ba5da1d6c2a72b3cb0efa8	2	0.083465
6dfc4b9869ecc4b2d3fb1fda69a8372c	1	0.041658
59fe7b380fc9602d8a11d2c64f97e64a	2	1.2506709999999999
3f465c3d8f73367a082299f90a05d21c	1	0.080451
f4ad80b37c4f28a429c9f2a500685d0d	1	0.32866999999999996
032c552f457f10a202cfb6d565ad18fc	1	0.069983
6a31d091c67ac20474720e43cde36c52	1	0.11567899999999999
524c834386d0c34b7d6e3c72db7e3ad6	1	0.067014
24f12ef0de7ba4c3a628916f03562f65	1	0.099215
043d03f903229b664331e0120e462a1a	1	0.014402000000000002
bd070e1fd2644d6064cb1f41871d3f13	1	0.591441
754fb1a9bca7e02482581bb4f41e8382	1	0.011271
f02ba379a84799e0e5cdd8167c68fd63	1	0.9189870000000001
686df3095cf5fa505e5c54fbd4b6b45e	1	0.768418
6b0696f73d0a412cc4356d5be3db3316	1	0.654461
058205ca84c1de5fceac8e0301a9f3cf	1	0.671841
7de7552214b5bf9b675252b96487f733	1	0.688199
5249945dae38fe26628969c0da4b620c	1	0.615579
5d04d9a06bbda6211f2b4a188e95c7d3	1	0.685178
cf8057e8d8d020c77202af09bd6625f0	1	0.61731
001f268fe6f63ad9c952ff957f12b4fe	1	0.588084
389289f84dff2afce8e62d75353dbf8a	1	0.293941
e4b27b225537af683826f5a407b49bb0	1	0.293941
8e4f2445190489a75d16ac738fcf95dd	1	0.293941
bc49a5467ccafde05bc1f83af558f613	1	0.609963
07a3217e7b424435881cfe8888b1b072	1	0.146805
a0849f6f3bc3cab3e5d8d040ece1f7fb	1	0.299167
1289e49eaaca47e4311680ef68e29a0d	1	0.217825
60ecc1bf4f1df35f83a51eda0e9e45c5	1	0.314523
3a02d75706ffe1d58665dca345409959	1	0.231827
ffc8c09fafc5f9f183894dc35f099186	1	0.231827
854f9313368ac7ccb6fb24ec4d092437	1	0.231827
e5ca6a62526eb945ca77ff63ce275428	1	0.231827
50989ed21c297fb77057f3bf5bc3c58a	1	0.231827
00f45eb35cb61fcb26f7cac0e33ec752	1	0.313132
3635bed5bdb384ef6a0f17ca7b5e6743	1	0.31937600000000005
e96343b366b3c110e5b9b79c474289c8	1	0.321903
88cab936e1d3e57fbd557c7910b032d1	1	0.252135
f1c95640b63dc5ec700b36de212e64db	1	0.23616199999999998
895f741e06043bef1d68e35c4cb1b9e2	1	0.12403499999999999
8663af29a59e1fb40d26f526e647f54a	1	0.104025
2fe14f66ee1c8fde3ae5f491190f08c7	1	0.127437
7834c0d4f34febac586dbb2ab6d8c572	1	0.12305
4fd69fbfba2dcf565a73d86f0ac5ada2	1	0.157326
70d0b0856d20f28b0e9fe024454e79d0	1	0.157326
fefdff899da45c03693793f4a889d18d	2	0.35689
22e652ce3deb64e88f05a1e349bb4291	2	0.369523
0fe20f86f9a2d8e8e555b94be86decaf	4	0.170356
5740f0b28f4aacc2474ac81c1ac689c4	4	0.288649
668e7cc7dfc45d2a80f44d354a62e93e	4	0.041601
b99c618e07194f262c026c45531f0407	4	0.074799
92325a750f6299fa904805e745f3ad3a	4	0.094948
4f1cbd7f9953230a534351cde3f39676	4	0.146828
4b85e7fa78870681912a7d9102574989	4	0.14063
979649b0750d7e4e418e22b75f0fe3fe	1	0.766605
341c3a2a39ff228123778ae5d53dceba	1	0.076553
78f40315a52c687cf3f10c376ed6eb9d	1	0.704479
76420168fe2533e4eef6943e5ce0d48d	1	0.41973299999999997
1156b073dfd01576bed0b4c3de5ca062	1	0.043856
66b7482450f94135bb7523d545254aac	1	0.557046
d26cf7d1093438a24e3b7d179805e864	1	0.36248800000000003
2566efa41bf798631667b0d4692aae62	1	0.730498
231a5d49a4f4050d7741fb3e2c60330c	3	0.24939499999999998
d0490f0b44531284c27cbdec6e814a0a	2	0.40891500000000003
c89400be789fbb43ff716a7c24f26df8	1	0.540573
f9a5e11344f10869ae79bd5d5f48bffd	1	0.48381199999999996
c7294eb95a101c03d131f22c18252631	2	0.451171
a1b046d43a8f76648a252bbb67151f99	1	0.318506
9f6b8023d799ee9ce5f3729e92fd96dd	1	0.8596659999999999
d3d9d0840341b1be6ed971c430d32dc4	1	0.48158900000000004
ed96629027a161ae657a16543ee8366c	1	0.40715999999999997
5bc30dee05e42a2e6d2f8467cc3722ba	1	0.570238
2efdf0425e6b98a2e0e403baf169b856	3	0.11461099999999999
6e3fa54bbf12ce99a100d6d40a83279d	3	0.167659
ef01cbdca9a390aa5337de76b09e174c	3	0.167659
ac4553046e8da104c560ddc09bf5529b	3	0.06485199999999999
efa4868a5dd6cf46418d72dbe03035df	3	0.066256
035fc9c1200569418a5a14609ed0ddb0	1	0.641745
6cb76abeffd1c7aa43d147d544a53d1a	2	0.36182600000000004
445b2b8cf4bd22ccb09cda6e7c35f659	1	0.49163999999999997
3e3787c28783dac926c4f00b87d815a2	1	0.49098800000000004
811cfb2af5ae02cf1f5f8c19e648e4a1	1	0.441528
1fb8e203cdacd5dac163e58c9ad4dc7e	1	0.3291
14d95c144fee5be9100d4230be034461	1	0.395546
cbe7f62d6306f75c9baf00ef655bbf86	1	0.39718400000000004
60334489ccc490ba607258f17dbbd188	1	0.682809
7cf52d9b125748eec7b1714ab344774a	1	0.5080819999999999
488b3aaa3d142e242c464ff17777a66c	1	0.47604399999999997
b3ad13f8248786b0d504bb69491f996f	1	0.66335
0dac237cbb2efb18f1dbb513235b4f8c	1	0.642497
0109325778c740f7238ae2b986435898	1	0.465282
ef41fb62979ab23647568f043b407151	1	0.47451400000000005
1da3761a2b9774146182b9e10838b06b	1	0.409879
1db9d1259c853edf490ad4467d0183f3	1	0.529575
8599f77a8770bd9b981ff34218d3a538	1	0.49891899999999995
867644f96ebaf0708fbe699d40b237be	1	0.23446999999999998
2defb542e2071571d29b60ad27103b7e	1	0.14688800000000002
10907fda3f9df1f7a222038d8c291cec	1	0.302799
236e37c2f3edfe2d3097f3bd16b0632e	1	0.268261
878ad0dad2b3303950761160a449e1dd	1	0.057215999999999996
7dcf7b76c7be10a4b719cc62fb83fbfb	1	0.433148
5a8a455f58dd0a85487024cb3f70c4aa	1	0.630342
3f3fa462779e84749d486b6c8eb93372	1	0.578979
8c32858a3f2b9da64a71cca18a3ef7cd	1	0.612692
d85e155677df083baa52bb2249c6762e	1	0.5565329999999999
4990aee681e2515ce88b962085802a69	1	0.637342
81563f5fe712021e7cecf951dd1c8874	1	0.537894
fd3f3e241a4f2b5e1e07dae992a5caa2	1	0.155565
b5869b29c32ca7a1c05f9fa3dee00b8c	1	0.21229
d609064868cc80d29042810f22a7e2ab	1	0.136418
a7dcfdff02f2a61136833efd987fcf83	1	0.083713
0ce326ab6741ae7bb8a4ee640e18ca41	1	0.07148099999999999
4685cbce4ae68262030b7407aad5b267	1	0.022508
bf9c6b910f9b08bd0a261db46e491d13	1	0.033270999999999995
520b62a1f9e0af2a8f5ca6c771df7ca5	1	0.022119
76b6b8ff082e7f1df9c921103d11c072	1	0.606483
157a14624ef0a9fa29e356208a93c4a0	1	0.124578
584c5a498bc17f2378fee05c9a252148	3	0.011356
7c78db0dce1adf1464ebd9889e5ae578	3	0.046297000000000005
34c344bd5f0c2e009e6d546a8607a752	3	0.034497
2cf905fe99e5a81d47d1c316c8eb4ae7	1	0.223546
69bcd22775dd33999837642c5fbf1a77	1	0.08542000000000001
8b3ba0a264a2857dd127e3bfd15ba69a	1	0.072653
2f0e53915a6d39810c7ff94369501cc5	1	0.085499
af049d00d10d8221868425afff22bf47	1	0.0721
512ad0b8c88c92de7edc45518f81e423	1	0.084106
4e64b9711007a46077ae5db43861e992	1	0.383238
340e4b065bfe10b9a566357b4de90e4e	1	0.8703290000000001
a01e57c155184f992220db391ed82d35	1	0.329947
5414819187d3eaf62ef36805ee6bc548	1	0.309537
ac38688584c98e1da7e672913d7fd8fe	1	0.190717
07d0543cdd77e97349c70a2de1a971e6	1	0.346355
beaf9fdcbcaa1bacf21dfb0f2415c4e8	1	0.233724
