# Constructed from biom file
#OTU ID	SRR1952949	SRR1952956	SRR1952954	SRR1952948	SRR1952953	SRR1952950
63b00220d1589264c58a47b626c4a802	52684.0	30253.0	12244.0	3279.0	34342.0	72594.0
847296b095b9ff8b60b9daf49daa3579	3966.0	4841.0	173.0	1496.0	6310.0	9080.0
526b2b886adaffe2c5ab24cfe8fa7a52	3150.0	147.0	28.0	9.0	1040.0	1205.0
b7734037397df784b0df716a38faefa1	2452.0	1292.0	1162.0	1656.0	700.0	2060.0
ffc8c09fafc5f9f183894dc35f099186	2426.0	1129.0	164.0	319.0	1827.0	5032.0
73b7939a8ef4c10ae96eadb31fd7d3ff	1979.0	2014.0	1174.0	3724.0	1881.0	1904.0
d609064868cc80d29042810f22a7e2ab	1779.0	348.0	2088.0	1492.0	268.0	1090.0
8dc6b6de9cc6af2fc557fac7381d382a	1361.0	383.0	884.0	516.0	430.0	1157.0
6f855a7b1f476f54b4b4d872b48bd311	1107.0	409.0	836.0	287.0	593.0	917.0
4d2043e2976d7c6a783fe28caf6c72d9	953.0	256.0	420.0	497.0	239.0	719.0
00becc5cb06fbccb96790d088a237a13	853.0	2965.0	30.0	2117.0	1285.0	2448.0
d52eba282347defcb2841376fc2a3268	814.0	375.0	292.0	287.0	492.0	1185.0
354a0b84112a660f3ade20ea6d2c669d	813.0	1943.0	225.0	1012.0	448.0	1029.0
da0650ed4323c6b2e765813f085a2109	763.0	386.0	780.0	1040.0	153.0	418.0
e5ca6a62526eb945ca77ff63ce275428	757.0	337.0	20.0	161.0	813.0	1550.0
2c8be6cea998f595e8afcefa4a20d7d8	745.0	1566.0	301.0	1086.0	1469.0	826.0
683cdc3b4cf360bc114fd86222344b27	730.0	122.0	25.0	0.0	997.0	347.0
c5c54bac840e795e20cbf65d255127f9	656.0	972.0	487.0	4117.0	622.0	850.0
41d3198eaae41ff96833818cd82f6f62	634.0	26.0	18.0	6.0	223.0	170.0
221eb4cd5377428581c6735ab01e8732	614.0	345.0	99.0	239.0	201.0	622.0
5b36dbfe0f56b47024c5e1955b60693f	582.0	879.0	176.0	524.0	518.0	453.0
a6a3c4b468394733fb8b63d936fe5979	573.0	55.0	46.0	11.0	396.0	303.0
27aaaf005c8e397e4ee1058fa3c5d9de	568.0	205.0	401.0	310.0	223.0	548.0
0ce326ab6741ae7bb8a4ee640e18ca41	558.0	146.0	38.0	383.0	66.0	412.0
0d1be95262c48403c6c3dcba86dc61e5	554.0	710.0	197.0	685.0	1611.0	1047.0
2f387939de6f7e6dc65a774890c8ccc9	539.0	634.0	69.0	40.0	678.0	556.0
981e19a22cbf337571905e36046d9d54	520.0	711.0	36.0	85.0	336.0	671.0
df79215e4f11aa8e427609419eff0dde	517.0	475.0	224.0	130.0	1376.0	384.0
cf85e869f22a3c1e1a1545014c16849d	489.0	681.0	2.0	2888.0	461.0	522.0
bef408ad5aba9ead6eab88ab358467ba	482.0	132.0	436.0	348.0	189.0	311.0
5754d7df868c7e3e361f47c8b40b85f9	447.0	58.0	88.0	1.0	189.0	291.0
8142c00fae3be7f944f940e1414cbf7d	436.0	1530.0	184.0	1423.0	1326.0	599.0
65107c0ea7870f0703ac47b441116d9d	413.0	123.0	163.0	184.0	66.0	187.0
fce1867d7592c972ce4361db2b771c47	398.0	81.0	96.0	929.0	7.0	250.0
bf96b6b8499402dee2571b2018b566b4	388.0	383.0	589.0	590.0	459.0	405.0
1fecbaee22a7579e429900600c300095	369.0	2.0	69.0	26.0	3.0	68.0
53123854f2e8df9c0dd6f4b5cc3462c7	361.0	0.0	51.0	10.0	3.0	199.0
de780ac69e1fde15d4337c6e19804935	347.0	221.0	302.0	383.0	265.0	378.0
5a8a455f58dd0a85487024cb3f70c4aa	347.0	97.0	509.0	401.0	88.0	252.0
f3b5d2663727fd29fea53561d01c41b0	302.0	59.0	592.0	2469.0	162.0	538.0
81563f5fe712021e7cecf951dd1c8874	287.0	196.0	1054.0	534.0	58.0	195.0
749ff49ee3bea8d5c6bf11fac2b9fbdc	276.0	45.0	55.0	99.0	4.0	22.0
3236942e96e45744336bb6d262fccd07	274.0	309.0	133.0	83.0	427.0	411.0
af5e07bea6319d7351933bb37e092a67	266.0	360.0	17.0	7.0	1082.0	363.0
cc72dcd90512c4a3c98e1da553c6e9a5	259.0	269.0	137.0	190.0	731.0	339.0
4de03c4080956db6550e45cad16dd303	252.0	319.0	91.0	363.0	192.0	337.0
8617e996e9cd42429860827450b2d157	249.0	312.0	398.0	452.0	173.0	188.0
ccdd4092f1b129740bd0530a8ce4d55a	242.0	0.0	39.0	0.0	122.0	60.0
5a0e8aca4b0b48d5c75536866d007b3c	241.0	1530.0	91.0	57.0	2908.0	807.0
f2fdd571374ba38a3c99dfd9f1a830ab	238.0	233.0	0.0	91.0	19.0	199.0
424240ef3fb8c8480944269c5f2f3d28	235.0	103.0	0.0	131.0	105.0	266.0
ff91407c1d15f406892b0dcdfe824556	234.0	76.0	28.0	12.0	468.0	171.0
46ae4a64c95539e628988ff4fb591f0c	230.0	48.0	64.0	25.0	2.0	77.0
a7dcfdff02f2a61136833efd987fcf83	230.0	619.0	273.0	521.0	240.0	448.0
ef34044dcf6d5b3686de5ef2988b0667	228.0	6.0	510.0	231.0	20.0	141.0
