taxid	Superkingdom	Kingdom	Phylum	Class	Order	Family	Genus	Species
3702	Eukaryota	Viridiplantae	Streptophyta	NA	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis thaliana
441960	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces marneffei
5855	Eukaryota	NA	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium vivax
3218	Eukaryota	Viridiplantae	Streptophyta	Bryopsida	Funariales	Funariaceae	Physcomitrella	Physcomitrella patens
184922	Eukaryota	NA	NA	NA	NA	Hexamitidae	Giardia	Giardia intestinalis
185431	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Trypanosoma	Trypanosoma brucei
227086	Eukaryota	NA	NA	Chlorarachniophyceae	NA	NA	Bigelowiella	Bigelowiella natans
242507	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Magnaporthe	Magnaporthe oryzae
28985	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Kluyveromyces	Kluyveromyces lactis
284591	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Dipodascaceae	Yarrowia	Yarrowia lipolytica
5478	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	[Candida] glabrata
3055	Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas	Chlamydomonas reinhardtii
330879	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus fumigatus
344612	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus clavatus
347515	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Leishmania	Leishmania major
36329	Eukaryota	NA	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium falciparum
3694	Eukaryota	Viridiplantae	Streptophyta	NA	Malpighiales	Salicaceae	Populus	Populus trichocarpa
412133	Eukaryota	NA	NA	NA	Trichomonadida	Trichomonadidae	Trichomonas	Trichomonas vaginalis
420245	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Leishmania	Leishmania braziliensis
425011	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus niger
431895	Eukaryota	NA	NA	NA	Choanoflagellida	Salpingoecidae	Monosiga	Monosiga brevicollis
435258	Eukaryota	NA	NA	NA	Kinetoplastida	Trypanosomatidae	Leishmania	Leishmania infantum
4896	Eukaryota	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces pombe
55529	Eukaryota	NA	NA	NA	Pyrenomonadales	Geminigeraceae	Guillardia	Guillardia theta
441959	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces stipitatus
4558	Eukaryota	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Sorghum	Sorghum bicolor
5874	Eukaryota	NA	Apicomplexa	Aconoidasida	NA	Theileriidae	Theileria	Theileria annulata
336963	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Onygenaceae	Uncinocarpus	Uncinocarpus reesii
29760	Eukaryota	Viridiplantae	Streptophyta	NA	Vitales	Vitaceae	Vitis	Vitis vinifera
306902	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	Clavispora lusitaniae
559298	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Ajellomycetaceae	Blastomyces	Blastomyces gilchristii
3659	Eukaryota	Viridiplantae	Streptophyta	NA	Cucurbitales	Cucurbitaceae	Cucumis	Cucumis sativus
653667	Eukaryota	Fungi	Ascomycota	Schizosaccharomycetes	Schizosaccharomycetales	Schizosaccharomycetaceae	Schizosaccharomyces	Schizosaccharomyces cryophilus
81972	Eukaryota	Viridiplantae	Streptophyta	NA	Brassicales	Brassicaceae	Arabidopsis	Arabidopsis lyrata
3847	Eukaryota	Viridiplantae	Streptophyta	NA	Fabales	Fabaceae	Glycine	Glycine max
352472	Eukaryota	NA	NA	NA	Dictyosteliales	Dictyosteliaceae	Dictyostelium	Dictyostelium discoideum
670386	Eukaryota	NA	NA	NA	Acytosteliales	Acytosteliaceae	Heterostelium	Heterostelium album
744533	Eukaryota	NA	NA	Heterolobosea	Schizopyrenida	Vahlkampfiidae	Naegleria	Naegleria gruberi
4577	Eukaryota	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Zea	Zea mays
15368	Eukaryota	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Brachypodium	Brachypodium distachyon
332952	Eukaryota	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus flavus
294747	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida tropicalis
5851	Eukaryota	NA	Apicomplexa	Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	Plasmodium knowlesi
423536	Eukaryota	NA	NA	NA	Perkinsida	Perkinsidae	Perkinsus	Perkinsus marinus
353151	Eukaryota	NA	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium hominis
284592	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces hansenii
441375	Eukaryota	NA	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium muris
508771	Eukaryota	NA	Apicomplexa	Conoidasida	Eucoccidiorida	Sarcocystidae	Toxoplasma	Toxoplasma gondii
464988	Eukaryota	NA	NA	NA	Cryptomonadales	Hemiselmidaceae	Hemiselmis	Hemiselmis andersenii
4956	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Zygosaccharomyces	Zygosaccharomyces rouxii
573826	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida dubliniensis
644223	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella	Komagataella phaffii
296587	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	Micromonas commoda
284811	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Eremothecium	Eremothecium gossypii
214684	Eukaryota	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus neoformans
280699	Eukaryota	NA	NA	Bangiophyceae	Cyanidiales	Cyanidiaceae	Cyanidioschyzon	Cyanidioschyzon merolae
284813	Eukaryota	Fungi	Microsporidia	NA	NA	Unikaryonidae	Encephalitozoon	Encephalitozoon cuniculi
436017	Eukaryota	Viridiplantae	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Ostreococcus	Ostreococcus sp. 'lucimarinus'
412030	Eukaryota	NA	NA	Oligohymenophorea	Peniculida	Parameciidae	Paramecium	Paramecium tetraurelia
559295	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea thermotolerans
461836	Eukaryota	NA	NA	NA	NA	Apusomonadidae	Thecamonas	Thecamonas trahens
403677	Eukaryota	NA	NA	Oomycetes	Peronosporales	Peronosporaceae	Phytophthora	Phytophthora infestans
655863	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Ophiostomatales	Ophiostomataceae	Grosmannia	Grosmannia clavigera
578458	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Schizophyllaceae	Schizophyllum	Schizophyllum commune
306901	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Chaetomium	Chaetomium globosum
88036	Eukaryota	Viridiplantae	Streptophyta	Lycopodiopsida	Selaginellales	Selaginellaceae	Selaginella	Selaginella moellendorffii
3068	Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	Chlamydomonadales	Volvocaceae	Volvox	Volvox carteri
332648	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Botrytis	Botrytis cinerea
486041	Eukaryota	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Laccaria	Laccaria bicolor
644352	Eukaryota	Fungi	Ascomycota	Sordariomycetes	Magnaporthales	Magnaporthaceae	Gaeumannomyces	Gaeumannomyces tritici
559292	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces cerevisiae
876142	Eukaryota	Fungi	Microsporidia	NA	NA	Unikaryonidae	Encephalitozoon	Encephalitozoon intestinalis
321614	Eukaryota	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Parastagonospora	Parastagonospora nodorum
665079	Eukaryota	Fungi	Ascomycota	Leotiomycetes	Helotiales	Sclerotiniaceae	Sclerotinia	Sclerotinia sclerotiorum
