# Constructed from biom file
#OTU ID	SRS015190.nonchimera.fasta	SRS016267.nonchimera.fasta	SRS011271.nonchimera.fasta	SRS024424.nonchimera.fasta	SRS014923.nonchimera.fasta	SRS048870.nonchimera.fasta	SRS015133.nonchimera.fasta	SRS019582.nonchimera.fasta	SRS014235.nonchimera.fasta	SRS011586.nonchimera.fasta	SRS020869.nonchimera.fasta	SRS064276.nonchimera.fasta	SRS049959.nonchimera.fasta	SRS022093.nonchimera.fasta	SRS011405.nonchimera.fasta	SRS019906.nonchimera.fasta	SRS013502.nonchimera.fasta	SRS024649.nonchimera.fasta	SRS042643.nonchimera.fasta	SRS015470.nonchimera.fasta	SRS017533.nonchimera.fasta	SRS017788.nonchimera.fasta	SRS045197.nonchimera.fasta	SRS044742.nonchimera.fasta	SRS024470.nonchimera.fasta	SRS013825.nonchimera.fasta	SRS023617.nonchimera.fasta	SRS015574.nonchimera.fasta	SRS016529.nonchimera.fasta	SRS024289.nonchimera.fasta	SRS017304.nonchimera.fasta	SRS016319.nonchimera.fasta	SRS065179.nonchimera.fasta	SRS049164.nonchimera.fasta	SRS022645.nonchimera.fasta	SRS051600.nonchimera.fasta	SRS050422.nonchimera.fasta	SRS015578.nonchimera.fasta	SRS019087.nonchimera.fasta	SRS022006.nonchimera.fasta	SRS015450.nonchimera.fasta	SRS024301.nonchimera.fasta	SRS015921.nonchimera.fasta	SRS016990.nonchimera.fasta	SRS024265.nonchimera.fasta	SRS015782.nonchimera.fasta	SRS019685.nonchimera.fasta	SRS053335.nonchimera.fasta	SRS013638.nonchimera.fasta	SRS018817.nonchimera.fasta	SRS015854.nonchimera.fasta	SRS062427.nonchimera.fasta	SRS015663.nonchimera.fasta	SRS016056.nonchimera.fasta	SRS024331.nonchimera.fasta	SRS011452.nonchimera.fasta	SRS063985.nonchimera.fasta	SRS018427.nonchimera.fasta	SRS017103.nonchimera.fasta	SRS014287.nonchimera.fasta	SRS015960.nonchimera.fasta	SRS014613.nonchimera.fasta	SRS016095.nonchimera.fasta	SRS019910.nonchimera.fasta	SRS016335.nonchimera.fasta	SRS019267.nonchimera.fasta	SRS016203.nonchimera.fasta	SRS023176.nonchimera.fasta	SRS021484.nonchimera.fasta	SRS013687.nonchimera.fasta	SRS017521.nonchimera.fasta	SRS011529.nonchimera.fasta	SRS054590.nonchimera.fasta	SRS016954.nonchimera.fasta	SRS052697.nonchimera.fasta	SRS017701.nonchimera.fasta	SRS017821.nonchimera.fasta	SRS016018.nonchimera.fasta	SRS019081.nonchimera.fasta	SRS064809.nonchimera.fasta	SRS017537.nonchimera.fasta	SRS016533.nonchimera.fasta	SRS047219.nonchimera.fasta	SRS018443.nonchimera.fasta	SRS019245.nonchimera.fasta	SRS024347.nonchimera.fasta	SRS063287.nonchimera.fasta	SRS024277.nonchimera.fasta	SRS021986.nonchimera.fasta	SRS022625.nonchimera.fasta	SRS022621.nonchimera.fasta	SRS017127.nonchimera.fasta	SRS016600.nonchimera.fasta	SRS018149.nonchimera.fasta	SRS024281.nonchimera.fasta	SRS064557.nonchimera.fasta	SRS022609.nonchimera.fasta	SRS020233.nonchimera.fasta	SRS051031.nonchimera.fasta	SRS062544.nonchimera.fasta	SRS014271.nonchimera.fasta	SRS018591.nonchimera.fasta	SRS063603.nonchimera.fasta	SRS064493.nonchimera.fasta	SRS017080.nonchimera.fasta	SRS058770.nonchimera.fasta	SRS018313.nonchimera.fasta	SRS018769.nonchimera.fasta	SRS017497.nonchimera.fasta	SRS017088.nonchimera.fasta	SRS016331.nonchimera.fasta	SRS017851.nonchimera.fasta	SRS020263.nonchimera.fasta	SRS049389.nonchimera.fasta	SRS015762.nonchimera.fasta	SRS065278.nonchimera.fasta	SRS021496.nonchimera.fasta	SRS018739.nonchimera.fasta	SRS013705.nonchimera.fasta	SRS018157.nonchimera.fasta	SRS013711.nonchimera.fasta	SRS024637.nonchimera.fasta	SRS017849.nonchimera.fasta	SRS065310.nonchimera.fasta	SRS022129.nonchimera.fasta	SRS044902.nonchimera.fasta	SRS024355.nonchimera.fasta	SRS024482.nonchimera.fasta	SRS017139.nonchimera.fasta	SRS057692.nonchimera.fasta	SRS016541.nonchimera.fasta	SRS016225.nonchimera.fasta	SRS013723.nonchimera.fasta	SRS018133.nonchimera.fasta	SRS013234.nonchimera.fasta	SRS023938.nonchimera.fasta	SRS015425.nonchimera.fasta	SRS058182.nonchimera.fasta	SRS020386.nonchimera.fasta	SRS018439.nonchimera.fasta	SRS062540.nonchimera.fasta	SRS023930.nonchimera.fasta	SRS013252.nonchimera.fasta	SRS014629.nonchimera.fasta	SRS020261.nonchimera.fasta	SRS018585.nonchimera.fasta	SRS063417.nonchimera.fasta	SRS015174.nonchimera.fasta	SRS023557.nonchimera.fasta	SRS023926.nonchimera.fasta	SRS015395.nonchimera.fasta	SRS017076.nonchimera.fasta	SRS019894.nonchimera.fasta	SRS016002.nonchimera.fasta	SRS023212.nonchimera.fasta	SRS018791.nonchimera.fasta	SRS018501.nonchimera.fasta	SRS024598.nonchimera.fasta	SRS013261.nonchimera.fasta	SRS013258.nonchimera.fasta	SRS011584.nonchimera.fasta	SRS016553.nonchimera.fasta	SRS024596.nonchimera.fasta	SRS065347.nonchimera.fasta	SRS024310.nonchimera.fasta	KEGG_Pathways
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	77.0	18.0	22.0	0.0	0.0	5.0	3.0	7.0	2.0	12.0	0.0	10.0	14.0	3.0	12.0	5.0	26.0	19.0	89.0	7.0	4.0	10.0	63.0	1.0	2.0	1.0	12.0	28.0	0.0	17.0	4.0	61.0	4.0	40.0	0.0	0.0	62.0	33.0	0.0	0.0	2.0	0.0	6.0	20.0	0.0	30.0	10.0	36.0	0.0	9.0	44.0	0.0	6.0	96.0	48.0	16.0	1.0	3.0	46.0	0.0	30.0	22.0	44.0	62.0	4.0	42.0	12.0	9.0	52.0	0.0	12.0	6.0	8.0	2.0	11.0	3.0	11.0	71.0	0.0	0.0	1.0	0.0	32.0	0.0	0.0	2.0	3.0	4.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	15.0	47.0	2.0	32.0	23.0	42.0	64.0	14.0	0.0	4.0	6.0	6.0	0.0	0.0	18.0	38.0	0.0	7.0	3.0	19.0	80.0	11.0	17.0	16.0	7.0	9.0	14.0	1.0	4.0	0.0	0.0	8.0	0.0	14.0	1.0	2.0	1.0	6.0	11.0	2.0	3.0	0.0	0.0	0.0	2.0	2.0	1.0	15.0	0.0	0.0	0.0	0.0	15.0	8.0	4.0	12.0	8.0	18.0	19.0	0.0	12.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Metabolism; Xenobiotics Biodegradation and Metabolism; 1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation
ABC transporters	47405.0	25742.0	69614.0	87048.0	135436.0	38657.0	75711.0	149772.0	56700.0	69899.0	36850.0	113996.0	43355.0	35521.0	40494.0	47938.0	94926.0	28861.0	316815.0	267578.0	87196.0	29701.0	223637.0	38194.0	37188.0	39047.0	86249.0	43310.0	77933.0	100124.0	70035.0	71600.0	41594.0	96575.0	61528.0	60034.0	350804.0	60171.0	266447.0	65462.0	304454.0	68063.0	334033.0	31377.0	89052.0	84258.0	51535.0	119316.0	47220.0	30943.0	92971.0	64449.0	78575.0	29063.0	39407.0	41944.0	45800.0	60181.0	31879.0	274702.0	24589.0	51403.0	45680.0	58442.0	68863.0	35300.0	54122.0	42740.0	27110.0	29471.0	61331.0	43915.0	52131.0	31379.0	122433.0	20543.0	39112.0	35344.0	153986.0	44847.0	33400.0	32787.0	175930.0	32366.0	36699.0	37396.0	56285.0	78101.0	31453.0	75349.0	71704.0	32110.0	38925.0	29859.0	68263.0	28087.0	92751.0	40833.0	50301.0	54750.0	130789.0	64820.0	40490.0	64658.0	39327.0	24600.0	29100.0	42040.0	37327.0	36719.0	67109.0	58379.0	143259.0	46530.0	54210.0	48814.0	33053.0	62388.0	42705.0	33826.0	31532.0	34229.0	63593.0	51323.0	71899.0	141406.0	37493.0	60251.0	38974.0	27037.0	40402.0	40262.0	39079.0	16055.0	33213.0	40882.0	53693.0	50275.0	44747.0	35634.0	71651.0	24912.0	36761.0	50383.0	120766.0	64782.0	43232.0	62546.0	51089.0	42497.0	67011.0	40585.0	54543.0	70432.0	43917.0	39669.0	28883.0	57242.0	62658.0	58898.0	52788.0	118830.0	57893.0	50347.0	61607.0	Environmental Information Processing; Membrane Transport; ABC transporters
Adherens junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cellular Processes; Cell Communication; Adherens junction
Adipocytokine signaling pathway	3254.0	1546.0	2489.0	1876.0	1886.0	1739.0	1720.0	3963.0	1906.0	3077.0	1511.0	3725.0	1490.0	1382.0	2110.0	2123.0	1735.0	1002.0	6263.0	9642.0	2273.0	975.0	6680.0	67.0	566.0	520.0	2069.0	1391.0	965.0	2966.0	1898.0	1654.0	1802.0	3619.0	2603.0	2924.0	7142.0	1959.0	7253.0	3615.0	7771.0	2281.0	7689.0	1701.0	3364.0	2742.0	2846.0	5210.0	1524.0	1729.0	3571.0	4122.0	2276.0	2274.0	2043.0	2648.0	1389.0	1745.0	1759.0	6378.0	1829.0	2267.0	2322.0	2918.0	3577.0	2974.0	2406.0	2987.0	1593.0	1347.0	1934.0	2293.0	4541.0	1604.0	4375.0	1621.0	2244.0	2592.0	3811.0	779.0	147.0	478.0	3243.0	238.0	34.0	509.0	1453.0	1593.0	84.0	640.0	1537.0	598.0	246.0	257.0	204.0	2599.0	3645.0	1415.0	1700.0	1396.0	3214.0	2020.0	1322.0	2927.0	878.0	1770.0	1553.0	8.0	699.0	944.0	2816.0	1332.0	3095.0	1451.0	1717.0	1275.0	911.0	1739.0	910.0	1098.0	619.0	791.0	1385.0	1235.0	2196.0	1820.0	1319.0	1277.0	1241.0	792.0	1482.0	1467.0	1293.0	1929.0	351.0	1221.0	27.0	1015.0	1322.0	1187.0	1378.0	562.0	1017.0	2.0	2663.0	2231.0	131.0	1809.0	1002.0	1034.0	1112.0	478.0	1336.0	2496.0	1311.0	1380.0	794.0	1263.0	1395.0	1352.0	34.0	1330.0	1283.0	2.0	2.0	Organismal Systems; Endocrine System; Adipocytokine signaling pathway
African trypanosomiasis	3.0	2.0	2.0	94.0	25.0	6.0	38.0	8.0	3.0	8.0	12.0	35.0	4.0	4.0	2.0	510.0	125.0	203.0	361.0	1075.0	152.0	110.0	845.0	4.0	22.0	50.0	57.0	209.0	51.0	357.0	217.0	142.0	91.0	3.0	34.0	327.0	63.0	4.0	1680.0	637.0	1750.0	366.0	950.0	0.0	8.0	0.0	9.0	9.0	3.0	2.0	16.0	6.0	16.0	2.0	3.0	0.0	3.0	6.0	2.0	19.0	0.0	2.0	2.0	3.0	0.0	3.0	2.0	0.0	2.0	5.0	14.0	3.0	0.0	0.0	6.0	0.0	3.0	4.0	931.0	22.0	10.0	60.0	212.0	19.0	16.0	52.0	288.0	46.0	7.0	31.0	25.0	288.0	14.0	17.0	4.0	1.0	0.0	2.0	4.0	39.0	255.0	163.0	169.0	387.0	146.0	4.0	7.0	4.0	39.0	169.0	381.0	2.0	32.0	77.0	74.0	98.0	30.0	114.0	36.0	228.0	40.0	45.0	8.0	212.0	211.0	603.0	226.0	8.0	206.0	21.0	137.0	26.0	211.0	2.0	22.0	138.0	17.0	3.0	145.0	25.0	140.0	6.0	204.0	0.0	4.0	395.0	53.0	162.0	57.0	31.0	164.0	53.0	86.0	118.0	35.0	111.0	9.0	0.0	2.0	3.0	8.0	208.0	0.0	0.0	0.0	Human Diseases; Infectious Diseases; African trypanosomiasis
Alanine, aspartate and glutamate metabolism	32228.0	16222.0	31062.0	24973.0	41907.0	19596.0	26769.0	53347.0	24497.0	35505.0	17946.0	47343.0	17570.0	16146.0	23627.0	17050.0	22899.0	9539.0	66931.0	82734.0	21587.0	9373.0	65737.0	9451.0	9176.0	9159.0	21918.0	12218.0	14926.0	25532.0	18215.0	17233.0	13141.0	41904.0	19284.0	19283.0	122584.0	26939.0	64781.0	22120.0	72903.0	18444.0	81776.0	18911.0	40700.0	35157.0	28172.0	61140.0	19336.0	18448.0	43696.0	43881.0	32695.0	20174.0	22331.0	28219.0	17638.0	22357.0	18378.0	100088.0	17306.0	25766.0	27700.0	31711.0	41868.0	28424.0	27199.0	31550.0	15208.0	14860.0	26651.0	24230.0	43715.0	17835.0	53212.0	16283.0	23659.0	22825.0	43318.0	10841.0	7717.0	7318.0	37123.0	8345.0	8603.0	10205.0	14446.0	17910.0	7362.0	17845.0	20309.0	11002.0	9708.0	6357.0	16550.0	24330.0	39930.0	17973.0	21821.0	15667.0	34630.0	17851.0	12712.0	19296.0	9742.0	16696.0	17246.0	9847.0	10490.0	9408.0	19471.0	15742.0	37939.0	12895.0	16316.0	12984.0	9534.0	16616.0	10614.0	10898.0	7964.0	9621.0	17005.0	12827.0	20267.0	34040.0	13238.0	15713.0	13314.0	7818.0	9978.0	14408.0	11306.0	15721.0	7621.0	12052.0	12549.0	13194.0	12230.0	12536.0	18447.0	6730.0	10005.0	10124.0	31936.0	17491.0	8603.0	16550.0	13067.0	10800.0	15693.0	9350.0	13974.0	23808.0	12804.0	11504.0	8531.0	15032.0	16461.0	15594.0	10441.0	22267.0	15241.0	11708.0	14429.0	Metabolism; Amino Acid Metabolism; Alanine, aspartate and glutamate metabolism
Aldosterone-regulated sodium reabsorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Organismal Systems; Excretory System; Aldosterone-regulated sodium reabsorption
Alzheimer's disease	1163.0	506.0	1539.0	2937.0	1933.0	812.0	1215.0	2232.0	982.0	1549.0	993.0	1949.0	857.0	701.0	817.0	1660.0	1991.0	812.0	4553.0	10490.0	1784.0	892.0	7674.0	635.0	816.0	637.0	1660.0	1103.0	1052.0	2059.0	1952.0	1501.0	2345.0	1668.0	4294.0	2632.0	6453.0	968.0	5692.0	1840.0	7304.0	1258.0	7777.0	654.0	1831.0	1618.0	1071.0	2393.0	823.0	721.0	1603.0	1416.0	1389.0	616.0	877.0	868.0	763.0	897.0	631.0	3996.0	595.0	952.0	4295.0	1065.0	8293.0	881.0	961.0	951.0	536.0	687.0	961.0	1097.0	1277.0	635.0	2051.0	740.0	1082.0	835.0	4577.0	1096.0	516.0	523.0	2533.0	660.0	596.0	816.0	1332.0	1179.0	456.0	1209.0	1811.0	674.0	677.0	437.0	951.0	745.0	1930.0	744.0	915.0	1652.0	3355.0	1332.0	1160.0	2101.0	844.0	608.0	574.0	666.0	779.0	762.0	1933.0	721.0	1823.0	1191.0	1506.0	1193.0	899.0	1314.0	883.0	1093.0	590.0	685.0	834.0	1077.0	1307.0	1832.0	1573.0	816.0	1474.0	856.0	944.0	1762.0	1005.0	550.0	544.0	1218.0	878.0	691.0	821.0	1649.0	1365.0	420.0	834.0	973.0	1449.0	1366.0	897.0	1825.0	1341.0	1079.0	1193.0	720.0	1051.0	3207.0	1125.0	758.0	702.0	696.0	751.0	688.0	1027.0	1409.0	699.0	795.0	964.0	Human Diseases; Neurodegenerative Diseases; Alzheimer's disease
Amino acid metabolism	4347.0	2735.0	4287.0	4530.0	5842.0	3096.0	4645.0	11198.0	3811.0	5055.0	2775.0	6756.0	3182.0	2430.0	3405.0	2497.0	4154.0	1652.0	12549.0	11618.0	4609.0	1799.0	10381.0	760.0	2008.0	1976.0	4362.0	2191.0	3686.0	4535.0	3312.0	2867.0	1342.0	6145.0	1745.0	1554.0	18677.0	3850.0	11721.0	2013.0	14712.0	2999.0	12982.0	2754.0	6932.0	5404.0	5135.0	8611.0	3284.0	2714.0	6384.0	6364.0	5145.0	2687.0	3001.0	4362.0	2937.0	4127.0	2710.0	15773.0	2513.0	3681.0	3427.0	4926.0	4896.0	4024.0	4001.0	5109.0	2288.0	2610.0	5413.0	3593.0	6475.0	2588.0	8188.0	2638.0	3594.0	3461.0	7613.0	1987.0	1865.0	1613.0	7218.0	1758.0	649.0	2103.0	2681.0	3767.0	1708.0	3997.0	3807.0	2585.0	2116.0	1492.0	3680.0	3683.0	6752.0	2911.0	2973.0	2591.0	5893.0	2762.0	2433.0	2148.0	1758.0	2655.0	2702.0	673.0	1058.0	1824.0	3248.0	2834.0	7448.0	2562.0	3194.0	2214.0	1823.0	3065.0	2041.0	1829.0	1650.0	1938.0	3046.0	2730.0	3142.0	783.0	2006.0	3070.0	2266.0	1618.0	1615.0	2532.0	2143.0	2487.0	1816.0	2163.0	916.0	2620.0	2020.0	2151.0	4105.0	1496.0	1781.0	982.0	6012.0	2194.0	1005.0	2810.0	2542.0	2031.0	3352.0	2054.0	2482.0	3223.0	1987.0	1931.0	1664.0	2697.0	2948.0	2715.0	1044.0	7403.0	2779.0	796.0	966.0	Unclassified; Metabolism; Amino acid metabolism
Amino acid related enzymes	34538.0	17618.0	43900.0	39555.0	59705.0	25131.0	36005.0	72429.0	31017.0	45951.0	22296.0	61022.0	24858.0	20993.0	27281.0	27686.0	40434.0	15762.0	119905.0	134554.0	38541.0	16047.0	108523.0	15892.0	16736.0	16394.0	38859.0	20536.0	28398.0	43269.0	29651.0	29849.0	21879.0	52708.0	34392.0	29282.0	165793.0	32600.0	92003.0	29705.0	106529.0	25100.0	136125.0	21232.0	53657.0	47856.0	34657.0	74777.0	25498.0	21321.0	52262.0	48048.0	43658.0	21030.0	25306.0	30195.0	22865.0	29449.0	20445.0	128463.0	19361.0	31140.0	39063.0	35867.0	64894.0	30167.0	32750.0	32244.0	17391.0	20990.0	31485.0	33518.0	44948.0	20927.0	66860.0	18707.0	27800.0	26441.0	66716.0	19104.0	14067.0	12948.0	67941.0	14842.0	15236.0	18010.0	25722.0	32817.0	13379.0	32562.0	35903.0	19371.0	17354.0	12379.0	29335.0	25663.0	55491.0	23100.0	28228.0	27759.0	60613.0	30148.0	21987.0	29020.0	16788.0	19741.0	19598.0	16438.0	19200.0	15912.0	31011.0	22020.0	53627.0	23329.0	29358.0	22490.0	16998.0	28870.0	18875.0	18305.0	14418.0	16642.0	23955.0	22575.0	28538.0	61171.0	21932.0	22695.0	22317.0	14121.0	15878.0	25300.0	19148.0	17962.0	14721.0	20677.0	21086.0	18834.0	17228.0	21971.0	33747.0	12356.0	16917.0	21653.0	44806.0	25423.0	17930.0	28656.0	23018.0	19256.0	28559.0	17724.0	24818.0	39918.0	18686.0	20075.0	15362.0	21080.0	23017.0	21711.0	22821.0	32668.0	21378.0	19768.0	24085.0	Metabolism; Amino Acid Metabolism; Amino acid related enzymes
