assembly	Acetyl.CoA_assimilation	Aerobe	Biotin_prototroph	Carbon_fixation	Coenzyme_A_prototroph	Denitrifier	Dissimilatory_sulfate_reduction	Fructose_utilizing	Galactose_utilizing	Glucose_utilizing	Glycine_prototroph	L.alanine_prototroph	L.arabinose_utilizing	L.arginine_prototroph	L.asparagine_prototroph	L.aspartate_prototroph	L.cysteine_prototroph	L.glutamate_prototroph	L.glutamine_prototroph	L.histidine_prototroph	L.isoleucine_prototroph	L.leucine_prototroph	L.lysine_prototroph	L.methionine_synthesis_with_homocysteine_as_intermediate	L.methionine_synthesis_with_methanethiol	L.phenylalanine_prototroph	L.proline_prototroph	L.selenocysteine_synthesis	L.serine_prototroph	L.threonine_prototroph	L.tryptophan_prototroph	L.tyrosine_prototroph	L.valine_prototroph	Lactose_utilizing	Maltose_utilizing	Nitrogen_fixer	Sucrose_utilizing	Sulfur_reducer	Trehalose_utilizing	Use_of_nitrate_as_electron_acceptor	Xylose_utilizing
2040502012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	1	NA	0	0	0	NA	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0	0	0
2140918011	0	0	0	0	NA	0	0	0	0	0	1	1	0	0	NA	NA	0	1	1	0	NA	NA	0	0	0	0	1	1	0	NA	0	0	NA	0	0	0	0	0	0	0	0
2228664006	0	0	0	0	NA	0	0	0	0	1	1	NA	0	0	1	1	NA	1	1	0	0	0	0	1	0	0	NA	0	NA	NA	NA	0	0	0	0	0	0	0	0	0	0
2228664026	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2228664029	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2228664032	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2228664039	0	0	0	0	0	0	0	0	0	0	1	NA	0	0	NA	NA	0	1	NA	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0
2228664040	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	NA	NA	NA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2236347002	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2236347008	1	0	0	0	0	0	0	0	0	0	1	1	0	0	NA	1	0	1	1	0	0	0	0	1	0	NA	1	0	NA	0	1	NA	0	0	0	0	0	0	0	0	0
2236347009	0	0	0	0	0	0	0	0	0	0	1	0	0	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2236347013	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0	0	0
2236347014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2236347020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
