function	Agabi_varbisH97_2	Agabi_varbur_1	Acain1	Aciri1_iso	Acrchr1	Amore1	Armcep1	Armosto1	Artol1	Arxad1	Ascim1	Ascsa1	Aspacu1	Aspcam1	Aspfu_A1163_1	Asphet1	Aspind1	Aspka1_1	Aspoch1	Aspor1	Aspsac1	Aspscl1	Aspste1	Aspte1	Aurde3_1	Bauco1	Bjead1_1	Blade1	Blugr2	Botbo1	Botci1	Botdo1_1	Byssp1	Cadsp1	Canalb1	Canca1	Capep1	Capse1	Catan2	Cenge3	Cersu1	Clafu1	Clalu1_2	Clasph1	Cocca1	CocheC4_1	CocheC5_3	Cocim1	Cocsa1	Coere1	Colch1	Colfi1	Colgr1	Colhig2	Colorb1	Colsi1	Conap1	Conpu1	Corca1	Cryne_JEC21_1	Dacsp1	Dicsq1	Dotse1	Enche1	Erynec1	Eutla1	Exoxe1	Fomme1	Fusfu1	Fusgr1	Galma1	Gansp1	Glalo1	Glotr1_1	Grocl1	Gymlu1	Hanpo2	Hanva1_1	Hebcy2	Hetan2	Hisca1	HypEC38_3	Jaaar1	Kazaf1	Klula1	Kocim1	Kurca1	Lacam2	Lepmu1	Leucr1	Linpe1	Lipst1_1	Lodelo1	Macph1	Malgl1	Malsy1_1	Marbr1	Meimi1	Melbi2	Melva1	Metbi1	Metbi_SCcomb	Meygui1	Micca1	Micld1	Mixos1	Monha1	Mycfi2	Mycgr3	Nakdel1	Necha2	Nempa1	Neoirr1	Neopa1	Neucr2	Oidma1	Ophnu1	Ophpic1	Pacta1_2	Paxin1	Pench1	Penita1	Pennal1	Penpol1	Pensol1	Penvul1	Phaca1	Phiatt1	Phisc1	Phlbr1	Phlgi1	Phlrad1	Pirfi3	Pisti1	PleosPC15_2	Plicr1	Pneji1	Pocchl1	Podan3	Prola1	Psicub1_1	Psiser1	Pucst1	Puctr1	Punst1	Pycci1	Pyrco1	Pyrtt1	Rhihy1	RhiirA1_1	RhiirA4	RhiirA5	RhiirB3	RhiirC2	Rhivi1	Rhoba1_1	Rhodsp1	Rhoto_IFO0559_1	Rhyru1_1	Rozal1_1	Rozal_SC1	Sacce1	Schcy1	Schja1	Schoc1	Schpo1	Sclsc1	Sepmu1	Seppo1	SerlaS7_9_2	SerlaS7_3_2	Settu3	Spapa3	Spipu1	Spore1	Spoth2	Stehi1	Suilu4	Terbo2	Thasp1	Thite2	Tolinf1	Torde1	Trave1	Treen1	Treme1	Trias2479	Trias8904	Triatrob1	Triat2	Trire2	TriviGv29_8_2	Triver1	Tubma1	Tubme1v2	Tulca1	Uncre1	Ustvir1	Veral1	Verda1	Walic1	Walse1	Wican1	Wolco1	YarliYB392	YarliYB419	YarliYB420	Zygro1	Zymar1	Aspeuc1-cluster	Aspfu1-cluster	Parbr1-cluster	Pendig1-cluster	Rhoto_IFO0880_2-cluster	Tubae1-cluster	YarliYB566-cluster
EC:1.1.1.1	12	12	8	27	9	13	8	8	10	11	6	17	33	15	16	16	26	20	12	29	24	32	34	21	16	22	13	17	0	10	17	34	20	46	5	9	26	22	0	15	17	19	7	15	23	22	21	10	20	1	15	15	17	14	15	20	9	17	34	10	16	16	22	0	0	31	28	12	42	26	12	12	22	22	10	17	4	4	7	17	8	20	20	4	7	1	4	8	13	11	2	3	5	27	0	2	10	8	29	35	6	5	3	11	1	8	11	21	20	2	53	0	3	30	11	36	9	4	5	5	28	10	12	12	19	20	10	28	38	21	14	15	2	6	14	18	0	12	9	3	2	4	3	2	8	14	10	23	3	3	1	1	1	1	9	13	11	15	25	1	1	5	6	7	6	7	12	13	10	11	11	12	5	6	11	10	28	3	5	0	10	7	4	22	2	7	5	5	7	23	16	28	7	4	1	8	9	1	16	20	2	4	11	25	6	6	6	4	18	29	19	6	17	10	5	6
EC:1.1.1.10	0	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.1.1.100	18	17	14	24	10	19	12	12	8	11	6	23	22	19	20	18	20	20	16	28	14	27	30	17	11	23	12	8	4	13	17	35	21	46	2	3	38	19	0	19	25	35	2	16	22	29	24	9	24	3	24	46	22	25	23	30	20	18	39	6	12	19	26	0	6	31	21	27	34	23	11	14	23	17	21	38	5	0	6	16	7	28	17	0	0	9	10	10	10	9	15	9	3	29	1	0	14	9	28	39	3	3	2	10	8	9	8	25	25	1	52	0	2	31	19	42	9	23	4	20	19	6	16	12	19	8	19	25	34	17	22	12	0	7	23	16	1	14	10	6	8	11	6	6	15	12	11	30	7	5	3	2	2	2	12	9	5	8	32	1	2	1	9	2	6	2	17	25	21	15	16	17	3	8	7	14	22	3	6	0	12	10	1	17	16	10	7	6	12	23	14	25	11	5	3	3	8	8	16	18	1	2	4	31	5	5	5	2	25	23	20	6	14	8	5	5
EC:1.1.1.101	2	2	3	2	3	2	6	7	1	4	0	6	12	3	5	5	11	9	3	7	6	11	12	7	7	2	4	1	1	6	5	8	1	21	3	0	8	7	0	4	7	2	1	6	3	3	3	1	3	0	5	3	4	5	3	12	2	1	7	1	6	4	7	0	0	16	8	2	8	4	3	4	7	4	4	6	0	1	1	5	1	13	3	2	3	1	4	1	0	1	1	5	3	3	0	0	2	1	9	16	2	1	4	3	2	3	2	4	5	1	18	0	0	4	2	12	4	3	2	3	6	3	4	2	3	5	3	7	13	8	2	6	1	1	3	7	0	7	4	1	1	2	0	0	2	5	1	2	1	0	0	0	0	0	3	1	3	1	7	0	0	1	2	1	2	3	3	4	3	3	3	2	1	0	2	3	6	3	0	7	12	3	2	5	2	0	1	1	7	9	8	14	1	5	6	0	1	2	4	4	1	1	4	8	0	0	0	1	3	8	5	0	3	2	4	0
EC:1.1.1.102	1	1	0	0	1	0	2	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0	1	1	0	0	0	0	1	0	3	3	0	0	1	1	0	4	0	0	1	1	0	1	3	0	1	2	3	3	2	2	1	1	1	1	0	1	1	0	1	2	1	1	2	3	0	3	0	2	0	1	1	3	0	1	2	1	1	1	1	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	3	1	0	0	0	2	0	0	1	0	0	1	2	0	0	0	0	1	2	3	2	1	1	4	0	2	2	2	1	0	1	1	0	4	2	1	2	1	0	0	2	2	0	0	2	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	1	1	1	2	0	1	0	0	5	2	0	1	0	2	1	2	2	0	1	1	2	0	0	0	0	0	3	0	0	1	1	0	1	1	0	1	1	1	1	1	0	0	0	0	0	1	1	1
EC:1.1.1.103	2	2	1	0	1	0	1	1	0	1	0	1	0	1	2	1	0	2	2	2	0	2	1	2	0	0	0	0	0	0	1	2	3	2	0	0	1	1	0	0	0	1	0	1	2	3	3	1	2	1	1	0	1	1	2	2	1	0	5	2	1	1	0	0	0	2	1	1	2	1	2	1	1	1	0	1	0	0	1	1	0	1	2	0	0	2	0	0	1	1	1	2	0	1	0	0	1	1	1	1	0	0	0	1	0	0	0	3	1	0	2	0	0	1	1	2	1	0	0	0	2	2	3	3	2	2	0	3	2	0	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	1	0	1	0	0	0	0	0	0	1	2	3	2	1	2	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	1	1	1	0	0	0
EC:1.1.1.105	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	3	0	2	0	5	4	1	0	0	0	0	2	0	0	0	0	0	1	3	0	0	4	4	5	4	0	0	0	0	0	0	0	2	0	8	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	5	0	0	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	2	0	0	2	0	0	0	4	1	0	0	1	2	5	3	4	4	0	3	2	0	0	2	0	0	0	0	0	5	3	3	2	2	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	6	0	3	0	0	1	1	1	2	0	3	0	1	1	0	2	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	2	2	0	0	0	0	1	1	1	1	2
EC:1.1.1.116	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	2	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	2	0	0	0	1	0	0	0	0	0	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1
EC:1.1.1.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.1.1.125	3	4	6	8	4	4	3	2	1	2	1	3	9	3	7	6	6	8	2	5	4	6	6	6	3	11	2	3	0	2	3	10	4	12	1	3	9	8	1	7	2	7	0	1	5	5	5	3	4	1	5	2	6	5	5	6	6	1	15	2	6	6	10	0	1	14	11	5	15	7	2	3	8	7	4	6	1	0	3	3	2	8	5	0	0	3	1	2	3	3	0	3	1	11	0	0	3	5	6	10	0	0	2	3	3	2	1	10	6	0	2	0	1	6	3	11	3	1	2	2	3	5	4	8	6	3	3	4	5	2	3	2	0	2	4	3	0	4	3	1	2	2	0	1	5	3	3	4	1	0	0	0	0	0	4	0	2	1	10	0	0	0	0	0	1	0	3	8	4	3	3	3	0	0	3	0	9	3	1	1	2	1	0	4	3	1	2	2	3	6	6	6	1	1	2	3	1	2	5	6	1	1	1	6	0	0	0	0	7	6	6	2	3	1	1	0
