pathway	Agabi_varbisH97_2	Acain1	Aciri1_iso	Acrchr1	Amore1	Armcep1	Armosto1	Artbe1	Arxad1	Ascim1	Ascsa1	Aspacu1	Aspbom1	Aspca3	Aspcam1	Aspcl1	Aspeuc1	Asphet1	Aspnov1	Aspoch1	Aspor1	Aspscl1	Aspste1	Aspte1	Aspuda1	Bauco1	Bjead1_1	Blade1	Botbo1	Botdo1_1	Cadsp1	Canalb1	Canca1	Capep1	Capse1	Catan2	Cenge3	Cersu1	Clafu1	Clalu1_2	Clasph1	CocheC4_1	CocheC5_3	Cocim1	Cocsa1	Coere1	Colch1	Colfi1	Colgr1	Color1	Colorb1	Colsi1	Colto1	Corca1	Cryne_JEC21_1	DimcrSC1	Dotse1	EndpusZ1	Erynec1	Eutla1	Fibra1	Fomme1	Fonmo1	Fonnu1	Fusfu1	Fusgr1	Galma1	Gansp1	Glalo1	Glost2	Grocl1	Hanpo2	Hanva1_1	Hebcy2	Hetan2	Hisca1	HypCI4A_1	HypEC38_3	Hyspu1_1	Kazaf1	Kocim1	Kurca1	Linpe1	Lipst1_1	Malgl1	Malsy1_1	Marbr1	Meimi1	Metbi1	Metbi_SCcomb	Micca1	Micld1	Mixos1	Monha1	Mycfi2	Mycgr3	Nakdel1	Neodi1	Neofi1	Neoirr1	Neopa1	Neucr2	Oidma1	Ophnu1	Parbr1	Penant1	Pench1	Pencop1	Pendig1	Penfla1	Pengri1	Penita1	Pennal1	Penox1	Penpol1	Pensol1	Penste1	Pensub1	Phaal1	Phaca1	Phisc1	Phlcen1	Phlrad1	Pirfi3	PleosPC15_2	Pneji1	Pocchl1	Podan3	PosplRSB12_1	Prola1	Psehu1	Pseudest1	Psiser1	Pucst1	Pucst_PST78_1	Punst1	Pycci1	Pyrco1	Pyrtt1	Rhihy1	Rhiir2_1	RhiirA4	RhiirA5	Rhiso1	Rhoto_IFO0559_1	Rhyru1_1	Rozal_SC1	Sacce1	Schoc1	Schpo1	Sclsc1	Sepmu1	Seppo1	SerlaS7_9_2	Settu3	Spapa3	Spipu1	Spore1	Spoth2	Suilu4	Talma1_2	Tapde1_1	Terbo2	Thasp1	Thite2	Torde1	Trave1	Treen1	Treme1	Trias2479	Triat2	Trire2	TriviGv29_8_2	Triver1	Tubma1	Tubme1v2	Uncre1	Ustvir1	Venpi1	Veral1	Verda1	Zygro1	Zymar1	Aspfu1-cluster	Aspni7-cluster	Blugr2-cluster	Lodelo1-cluster	Rhoto_IFO0880_2-cluster	Tubae1-cluster	YarliYB420-cluster
ANAGLYCOLYSIS-PWY	0.0	1.0588	1.125	0.0	1.125	0.0	0.0	1.125	1.0588	1.0588	1.1489	1.1489	0.0	1.1489	1.125	1.1613	1.1489	1.125	1.1868	1.1489	1.2558	1.1613	1.2273	1.1489	0.0	1.0588	1.08	1.125	1.0588	1.08	1.125	0.0	1.0	0.0	0.0	0.0	1.1489	1.0588	1.2	1.1489	0.0	1.0588	1.0	1.1489	1.0588	1.0588	0.0	1.25	1.1739	0.0	0.0	0.0	0.0	1.0588	1.3846	0.0	1.0588	0.0	0.0	1.0588	1.0588	1.125	0.0	0.0	1.0588	1.0588	1.2273	1.0588	1.1489	1.125	1.1489	1.0588	1.0588	1.2273	1.2273	0.0	1.0588	1.0588	1.2	1.4595	0.0	0.0	1.3846	1.08	0.0	0.0	0.0	1.125	1.0588	1.125	1.125	0.0	0.0	1.0	1.0588	0.0	0.0	0.0	1.1739	0.0	1.0588	1.4211	1.2273	0.0	0.0	0.0	1.1489	0.0	0.0	0.0	0.0	0.0	0.0	1.1613	0.0	0.0	0.0	0.0	1.0588	1.0	1.2	0.0	0.0	1.5211	1.125	0.0	0.0	0.0	1.0	0.0	1.0588	0.0	0.0	1.0588	0.0	1.0976	0.0	1.0588	1.0588	0.0	0.0	1.08	1.08	1.0	1.0588	0.0	0.0	1.7308	0.0	0.0	1.0588	1.0588	1.0588	1.08	0.0	1.0588	0.0	1.0588	0.0	0.0	1.1688	0.0	1.125	0.0	1.1489	1.0588	1.0	0.0	1.0	0.0	1.125	0.0	1.125	1.125	1.2	0.0	1.2273	0.0	0.0	1.125	1.1489	1.0588	1.0	1.1739	1.1489	0.0	0.0	1.125	0.0	0.0
ARGSYNBSUB-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FASYN-INITIAL-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GLUCONEO-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3483	0.0	0.0	0.0	1.2468	0.0	1.1163	0.0	0.0	0.0	1.2075	0.0	0.0	1.3151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4545	1.4545	0.0	1.0435	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3151	1.1852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	1.2308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2308	1.2075	0.0	0.0	0.0	0.0	0.0
GLUCOSE1PMETAB-PWY	0.0	0.0	0.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	0.0	0.0	0.0	1.5	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.3333	1.3333	1.3333	1.3333	1.3333	0.0	1.3333	1.0	1.0	1.3333	0.0	0.0	0.0	1.3333	1.3333	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.3333	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3333	1.3333
GLYOXYLATE-BYPASS	2.1818	1.4118	2.2857	2.4	2.1818	2.1818	2.1818	2.1818	2.0	2.4	2.1818	3.3333	2.2857	3.6923	2.1818	2.4	2.6667	2.6087	2.6667	2.4	2.5263	2.8718	2.2857	2.1818	2.1818	2.0	2.1818	2.3529	1.5	3.0	4.4444	1.2	2.0	2.1818	2.2857	1.4545	1.5	2.2857	2.0	1.2	2.0	2.4	2.4	2.1818	2.1818	1.2	2.1818	3.2	2.5263	3.2	2.2857	2.5263	1.4545	3.2	1.1429	1.3333	2.4	1.4545	2.0	2.6087	2.0	2.1818	2.0	2.0	2.5263	2.4	2.2857	2.2857	2.4	1.4118	2.0	1.4118	0.0	2.1818	2.1818	1.4118	2.4	2.4	1.4118	2.5263	1.1429	1.2	1.2308	2.4	1.1429	1.3333	2.0	1.4118	1.2	1.2	2.1818	1.3333	2.0	2.1818	2.1818	1.4118	2.4	2.4	2.4	2.1818	3.3333	2.7586	1.5	2.1818	2.1818	2.1818	2.5263	1.4118	2.1818	2.4	2.1818	2.1818	2.1818	2.1818	2.1818	2.4	1.4118	2.1818	2.6667	2.1818	2.7586	2.0	1.4118	0.0	2.1818	0.0	2.1818	2.1818	2.2857	2.0	1.3333	2.0	2.1818	2.0	2.1818	2.1818	2.1818	2.1818	2.1818	1.4118	1.3333	1.1429	1.3333	2.1818	2.2857	2.1818	1.0	2.5263	0.0	1.0	2.1818	2.1818	2.1818	2.1818	2.0	1.2	1.5484	1.3333	2.1818	2.5263	2.7097	2.0	2.1818	0.0	2.1818	2.2857	2.1818	1.3333	1.1429	1.1429	2.1818	2.1818	2.2857	2.1818	2.0	2.1818	2.1818	2.1818	2.1818	1.4118	1.4118	2.2857	2.1818	2.4	2.6667	2.0	1.2	1.1429	2.1818	2.1818
HEME-BIOSYNTHESIS-II	1.1429	1.0	1.1429	1.1429	1.1429	1.4118	1.4118	1.1429	1.1429	1.1429	1.0	1.0	1.0	1.4118	1.1429	1.1429	1.1429	1.1429	1.0	1.1429	1.1429	1.1429	1.1429	1.0	1.1429	1.1429	1.3333	1.1429	1.0	1.0	1.1429	1.0	1.1429	1.4118	1.2	1.1429	1.0	1.1429	1.1429	1.1429	1.1429	1.0	1.0	1.1429	1.1429	1.1429	1.3333	1.0	1.3333	1.1429	1.5	2.1818	1.3333	1.1429	1.1429	1.0	1.1429	0.0	1.0	1.1429	1.3333	1.1429	1.0	1.0	1.1429	1.0	1.2	1.4118	1.1429	1.1429	1.1429	1.1429	1.1429	1.1429	1.1429	1.1429	1.2	1.2	1.0	1.1429	1.0	1.1429	1.1429	1.1429	1.0	1.0	1.0	1.0	1.1429	1.0	1.1429	1.1429	0.0	1.0	1.1429	1.1429	1.1429	1.1429	1.0	2.0	1.0	1.2	1.1429	1.1429	1.1429	1.1429	1.1429	1.0	1.1429	1.0	1.0	1.1429	1.2	1.1429	1.2	1.1429	1.1429	1.2	1.0	1.3333	1.1429	1.2	1.4545	0.0	1.1429	1.0	1.2308	1.3333	1.1429	1.2308	0.0	1.1429	1.2	1.0	1.4545	1.4118	1.1429	1.2	1.0	1.2	1.2308	1.1429	1.1429	1.0	1.0	1.1429	1.0	1.1429	1.1429	1.1429	1.0	1.1429	1.1429	1.1429	1.0	1.1429	1.1429	1.0	1.0	1.4118	1.0	1.0	1.3333	1.0	1.1429	1.1429	1.1429	1.1429	1.1429	1.0	1.0	1.0	1.0	1.1429	1.1429	1.1429	1.1429	0.0	1.1429	1.0	1.1429	1.1429	1.1429	1.0	1.0	1.3333	1.1429	1.0	1.0	1.1429
HISTSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0769	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HSERMETANA-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2857	1.2	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LEU-DEG2-PWY	0.0	1.25	0.0	1.5	1.3953	1.5385	1.5	0.0	0.0	0.0	0.0	0.0	2.6415	1.3514	1.6216	1.5625	0.0	0.0	1.3043	0.0	0.0	0.0	0.0	0.0	1.8634	0.0	0.0	1.25	0.0	1.4493	1.4151	0.0	0.0	2.8037	2.8571	1.5385	0.0	0.0	1.5	0.0	1.6216	0.0	0.0	1.25	0.0	0.0	1.5385	1.5789	0.0	1.6667	1.3636	3.7975	1.6667	0.0	0.0	0.0	1.5385	1.4286	1.25	0.0	0.0	0.0	1.9535	1.9535	0.0	0.0	0.0	1.1111	1.3514	0.0	0.0	0.0	0.0	0.0	1.1538	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	0.0	1.1111	0.0	0.0	0.0	1.25	0.0	0.0	0.0	0.0	0.0	1.7143	1.5	0.0	0.0	0.0	1.3953	1.3043	0.0	1.6484	1.4493	0.0	1.5	2.6087	1.5789	1.5	2.6087	1.5625	2.8571	3.8182	2.5641	2.4	0.0	0.0	1.3333	0.0	1.3043	0.0	1.3043	0.0	1.6484	1.3043	0.0	1.25	0.0	1.3514	1.25	1.0	2.2222	0.0	0.0	1.3043	0.0	1.3514	1.3333	0.0	0.0	1.1111	1.3043	1.3636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3636	0.0	0.0	1.5	0.0	1.25	0.0	0.0	0.0	1.1765	1.3043	0.0	1.1111	1.25	0.0	1.4286	0.0	0.0	1.3636	0.0	1.1538	1.3043	0.0	0.0	1.3043	0.0	0.0	0.0	0.0	1.5	0.0	1.25	0.0	0.0	1.5	1.25
