Compound	Metabolite
C18n_QI06	12.13-diHOME
C18n_QI07	9.10-diHOME
C18n_QI08	caproate
C18n_QI09	heptanoate
C18n_QI10	hydrocinnamate
C18n_QI11	mandelate
C18n_TF1	2-hydroxyoctanoate
C18n_QI12	3-hydroxyoctanoate
C18n_QI13	caprate
C18n_QI14	indoleacetate
C18n_TF2	3-hydroxydecanoate
C18n_QI15	dodecanoate
C18n_QI16	undecanedionate
C18n_QI17	myristoleate
C18n_QI18	myristate
C18n_TF3	dodecanedioate
C18n_TF4	pentadecanoate
C18n_QI19	hydroxymyristate
C18n_QI20	palmitoleate
C18n_QI21	palmitate
C18n_QI22	tetradecanedioate
C18n_QI23	10-heptadecenoate
C18n_QI25	2-hydroxyhexadecanoate
C18n_QI26	alpha-linolenate
C18n_QI27	linoleate
C18n_QI28	oleate
C18n_QI29	stearate
C18n_QI30	hexadecanedioate
C18n_QI31	10-nonadecenoate
C18n_QI32	nonadecanoate
C18n_QI33	17-methylstearate
C18n_QI34	eicosapentaenoate
C18n_QI35	arachidonate
C18n_QI36	eicosatrienoate
C18n_QI37	eicosadienoate
C18n_QI38	eicosenoate
C18n_QI39	arachidate
C18n_QI40	phytanate
C18n_QI41	docosahexaenoate
C18n_QI42	docosapentaenoate
C18n_QI43	adrenate
C18n_QI44	13-docosenoate
C18n_QI45	eicosanedioate
C18n_QI46	oleanate
C18n_QI47	masilinate
C18n_QI48	lithocholate
C18n_QI49	chenodeoxycholate
C18n_QI50	deoxycholate
C18n_QI51	hyodeoxycholate/ursodeoxycholate
C18n_QI52	ketodeoxycholate
C18n_QI53	alpha-muricholate
C18n_QI54	cholate
C18n_QI55	glycolithocholate
C18n_QI56	glycochenodeoxycholate
C18n_QI57	glycodeoxycholate
C18n_QI58	glycoursodeoxycholate
C18n_QI59	glycocholate
C18n_QI60	taurolithocholate
C18n_QI61	taurochenodeoxycholate
C18n_QI62	taurodeoxycholate
C18n_QI63	taurohyodeoxycholate/tauroursodeoxycholate
C18n_QI64	tauro-alpha-muricholate/tauro-beta-muricholate
C18n_QI65	taurocholate
C18n_QI66	salicylate
C18n_TF5	theophylline
C18n_QI67	saccharin
C18n_QI68	azelate
C18n_QI69	sebacate
C18n_TF6	2-hydroxyibuprofen
C18n_QI70	carboxyibuprofen
C18n_QI71	hydrochlorothiazide
C18n_TF7	furosemide
C18n_QI72	cetrizine
C18n_QI73	olmesartan
C18n_QI74	1.2.3.4-tetrahydro-beta-carboline-1.3-dicarboxylate
C18n_QI77	4-hydroxystyrene
C18n_QI78	acetytyrosine
C18n_QI79	alpha-CEHC
C18n_QI80	carnosol
C18n_QI4788	carnosol_isomer
C18n_QI81	crustecdysone
C18n_QI83	oxypurinol
C18n_QI84	palmitoylethanolamide
C18n_QI85	phenyllactate
C18n_QI86	p-hydroxyphenylacetate
C18n_TF8	porphobilinogen
C18n_QI88	urobilin
C18n_QI89	nervonic acid
C18n_QI90	acesulfame
C18n_QI91	oxymetazoline
C18n_QI92	13-cis-retinoic acid
C18n_QI2555	
C18n_QI141	
C18n_QI157	
C18n_QI189	
C18n_QI213	
C18n_QI239	
C18n_QI383	
C18n_QI395	
C18n_QI485	
C18n_QI782	
C18n_QI855	
C18n_QI1070	
C18n_QI159	
C18n_QI367	
C18n_QI447	
C18n_QI649	
C18n_QI216	
C18n_QI404	
C18n_QI2502	
C18n_QI821	
C18n_QI423	
C18n_QI436	
C18n_QI516	
C18n_QI1122	
C18n_QI1540	
C18n_QI1894	
C18n_QI247	
C18n_QI418	
C18n_QI502	
C18n_QI1011	
C18n_QI1268	
C18n_QI412	
C18n_QI4455	
C18n_QI177	
C18n_QI547	
C18n_QI280	
C18n_QI532	
C18n_QI442	
C18n_QI448	
C18n_QI572	
C18n_QI797	
C18n_QI184	
C18n_QI672	
C18n_QI773	
C18n_QI120	
C18n_QI677	
C18n_QI1049	
C18n_QI6330	
C18n_QI187	
C18n_QI10625	
C18n_QI245	
C18n_QI647	
C18n_QI98	
C18n_QI999	
C18n_QI1077	
C18n_QI2122	
C18n_QI2215	
C18n_QI2379	
C18n_QI4165	
C18n_QI4397	
C18n_QI1209	
C18n_QI8482	
C18n_QI188	
C18n_QI878	
C18n_QI3984	
C18n_QI122	
C18n_QI2037	
C18n_QI176	
C18n_QI714	
C18n_QI772	
C18n_QI3588	
C18n_QI3693	
C18n_QI5620	
C18n_QI5811	
C18n_QI7243	
C18n_QI284	
C18n_QI352	
C18n_QI450	
C18n_QI713	
C18n_QI880	
C18n_QI1012	
C18n_QI1072	
C18n_QI1432	
C18n_QI1555	
C18n_QI1755	
C18n_QI1859	
C18n_QI2138	
C18n_QI3159	
C18n_QI4233	
C18n_QI4309	
C18n_QI5064	
C18n_QI5260	
C18n_QI5261	
C18n_QI5810	
C18n_QI7306	
C18n_QI7441	
C18n_QI7774	
C18n_QI9273	
C18n_QI9720	
C18n_QI10061	
C18n_QI10872	
C18n_QI10994	
C18n_QI11234	
C18n_QI470	
C18n_QI605	
C18n_QI675	
C18n_QI3971	
C18n_QI4234	
C18n_QI6871	
C18n_QI8890	
C18n_QI2025	
C18n_QI2760	
C18n_QI2815	
C18n_QI3172	
C18n_QI3692	
C18n_QI4565	
C18n_QI5003	
C18n_QI5125	
C18n_QI5553	
C18n_QI6247	
C18n_QI6326	
C18n_QI6377	
C18n_QI6720	
C18n_QI8771	
C18n_QI9201	
C18n_QI10060	
C18n_QI11363	
C18n_QI11697	
C18n_QI11967	
C18n_QI12007	
C18n_QI12179	
C18n_QI13081	
C18n_QI13109	
C18n_QI3173	
C18n_QI6721	
C18n_QI7187	
C18n_QI7938	
C18n_QI8299	
C18n_QI3589	
C18n_QI12674	
C18n_QI13502	
C18n_QI5677	
C18n_QI6582	
C18n_QI7069	
C18n_QI9343	
C18n_QI9795	
C18n_QI10214	
C18n_QI10626	
C18n_QI11362	
C18n_QI11696	
C18n_QI11771	
C18n_QI12254	
C18n_QI12470	
C18n_QI12695	
C18n_QI12830	
C18n_QI12845	
C18n_QI12990	
C18n_QI13451	
C18n_QI13506	
C18n_QI13509	
C18n_QI13552	
C18n_QI13563	
C18n_QI13608	
C18n_QI13616	
C18n_QI119	
C18n_QI185	
C18n_QI257	
C18n_QI434	
C18n_QI456	
C18n_QI607	
C18n_QI806	
C18n_QI980	
C18n_QI2275	
C18n_QI2647	
C18n_QI3050	
C18n_QI3174	
C18n_QI3467	
C18n_QI3866	
C18n_QI4310	
C18n_QI6122	
C18n_QI6584	
C18n_QI7136	
C18n_QI7520	
C18n_QI7610	
C18n_QI7886	
C18n_QI7887	
C18n_QI7947	
C18n_QI8014	
C18n_QI8297	
C18n_QI8356	
C18n_QI8424	
C18n_QI10215	
C18n_QI10685	
C18n_QI11044	
C18n_QI11097	
C18n_QI11418	
C18n_QI11464	
C18n_QI12675	
C18n_QI12696	
C18n_QI12996	
C18n_QI13558	
C18n_QI13614	
C18n_QI832	
C18n_QI1001	
C18n_QI1195	
C18n_QI1249	
C18n_QI1430	
C18n_QI1679	
C18n_QI1951	
C18n_QI2382	
C18n_QI3051	
C18n_QI3545	
C18n_QI3929	
C18n_QI4398	
C18n_QI7888	
C18n_QI8298	
C18n_QI9332	
C18n_QI9797	
C18n_QI10216	
C18n_QI10277	
C18n_QI12471	
C18n_QI12676	
C18n_QI1681	
C18n_QI2327	
C18n_QI3401	
C18n_QI5126	
C18n_QI5264	
C18n_QI5554	
C18n_QI5667	
C18n_QI5679	
C18n_QI6123	
C18n_QI6424	
C18n_QI6511	
C18n_QI6587	
C18n_QI6665	
C18n_QI7070	
C18n_QI8301	
C18n_QI8358	
C18n_QI9345	
C18n_QI13099	
C18n_QI13252	
C18n_QI13261	
C18n_QI13525	
C18n_QI13619	
C18n_QI13835	
C18n_QI115	
C18n_QI529	
C18n_QI606	
C18n_QI632	
C18n_QI733	
C18n_QI879	
C18n_QI1270	
C18n_QI1389	
C18n_QI1504	
C18n_QI1519	
C18n_QI1525	
C18n_QI1539	
C18n_QI1542	
C18n_QI1670	
C18n_QI1699	
C18n_QI1741	
C18n_QI1860	
C18n_QI1966	
C18n_QI2001	
C18n_QI2139	
C18n_QI2284	
C18n_QI2366	
C18n_QI2658	
C18n_QI3068	
C18n_QI3123	
C18n_QI3208	
C18n_QI3482	
C18n_QI4097	
C18n_QI4392	
C18n_QI4633	
C18n_QI4692	
C18n_QI5132	
C18n_QI5196	
C18n_QI5300	
C18n_QI5498	
C18n_QI5559	
C18n_QI5619	
C18n_QI5704	
C18n_QI5812	
C18n_QI5979	
C18n_QI6597	
C18n_QI6708	
C18n_QI6873	
C18n_QI7305	
C18n_QI7674	
C18n_QI7775	
C18n_QI7835	
C18n_QI8244	
C18n_QI8296	
C18n_QI8695	
C18n_QI8770	
C18n_QI8827	
C18n_QI9205	
C18n_QI9522	
C18n_QI10196	
C18n_QI10461	
C18n_QI10688	
C18n_QI10924	
C18n_QI10935	
C18n_QI11364	
C18n_QI12076	
C18n_QI12439	
C18n_QI12448	
C18n_QI13865	
C18n_QI158	
C18n_QI170	
C18n_QI433	
C18n_QI441	
C18n_QI510	
C18n_QI518	
C18n_QI530	
C18n_QI622	
C18n_QI937	
C18n_QI954	
C18n_QI961	
C18n_QI991	
C18n_QI1016	
C18n_QI1069	
C18n_QI1116	
C18n_QI1616	
C18n_QI1678	
C18n_QI1747	
C18n_QI1832	
C18n_QI1922	
C18n_QI1969	
C18n_QI2110	
C18n_QI2141	
C18n_QI2142	
C18n_QI2195	
C18n_QI2198	
