pathway	gene	other_genes_in_cluster	R	p	fdr
CALVIN-PWY	MMP3	None	0.613401991415699	0.000861258756646562	0.0562991250397384
GLUCOSE1PMETAB-PWY	MMP3	None	-0.6024081528675	0.00112773478609689	0.067744841051054
GLYOXYLATE-BYPASS	DUOX2	DUOXA2	-0.601760359530071	0.00114544417236082	0.067744841051054
GLYOXYLATE-BYPASS	MMP3	None	-0.707385427866595	5.3183548686728e-05	0.0330269837344581
HEME-BIOSYNTHESIS-II	DUOX2	DUOXA2	-0.653357688046004	0.000295742405798102	0.0545227831157618
HEME-BIOSYNTHESIS-II	MMP3	None	-0.621391762511166	0.000703592662245698	0.0545227831157618
HEMESYN2-PWY	MMP3	None	-0.616831551120197	0.000790185262547272	0.0545227831157618
PWY0-1241	DUOX2	DUOXA2	-0.575687428799686	0.0020888064347087	0.0955635940123692
PWY0-1261	MMP3	None	-0.579874948704981	0.00190302496768823	0.0945422803947514
PWY0-1533	MMP3	None	-0.620277741518022	0.000723947407063158	0.0545227831157618
PWY-5097	DUOX2	DUOXA2	0.707396084419466	5.31635974198573e-05	0.0330269837344581
PWY-5154	MMP3	None	-0.627808035724109	0.000595754704837389	0.0545227831157618
PWY-5189	DUOX2	DUOXA2	-0.58762142359196	0.0015965249894326	0.0862123494293604
PWY-5855	DUOX2	DUOXA2	-0.616858547945815	0.000789646612055577	0.0545227831157618
PWY-5855	MMP3	None	-0.618276341617285	0.00076180203915844	0.0545227831157618
PWY-5856	DUOX2	DUOXA2	-0.616858547945815	0.000789646612055577	0.0545227831157618
PWY-5856	MMP3	None	-0.618276341617285	0.00076180203915844	0.0545227831157618
PWY-5857	DUOX2	DUOXA2	-0.616858547945815	0.000789646612055577	0.0545227831157618
PWY-5857	MMP3	None	-0.618276341617285	0.00076180203915844	0.0545227831157618
PWY-5918	DUOX2	DUOXA2	-0.620283233319873	0.000723845823783397	0.0545227831157618
PWY-5918	MMP3	None	-0.576550733460117	0.00204928315508752	0.0955635940123692
PWY-6572	NAT8	NA	-0.574284828458676	0.00215441274746082	0.0955635940123692
PWY-6708	DUOX2	DUOXA2	-0.616858547945815	0.000789646612055577	0.0545227831157618
PWY-6708	MMP3	None	-0.618276341617285	0.00076180203915844	0.0545227831157618
PWY-6737	DUOX2	DUOXA2	0.649984662694224	0.000325575210001513	0.0545227831157618
PWY-6737	MMP3	None	0.644572522109541	0.000378951583578718	0.0545227831157618
PWY-7184	MMP3	None	-0.570902549099514	0.00231992263300152	0.0993566865582028
PWY-7234	MMP3	None	-0.593087875933223	0.00140671115040562	0.0794152385819901
SO4ASSIM-PWY	MMP3	None	-0.585221943018037	0.00168656050075977	0.0872795059143184
