# Constructed from biom file
#OTU ID	SRS011271	SRS013216	SRS013234	SRS013252	SRS013261	SRS011405	SRS011452	SRS013502	SRS013506	SRS017304	SRS011529	SRS013638	SRS013687	SRS013705	SRS013711	SRS013723	SRS013825	SRS014271	SRS014287	SRS014235	SRS014343	SRS014613	SRS014629	SRS014923	SRS015133	SRS015174	SRS015190	SRS015395	SRS015425	SRS015450	SRS015470	SRS015574	SRS015578	SRS015663	SRS015762	SRS015782	SRS015854	SRS015921	SRS015960	SRS016002	SRS016018	SRS016056	SRS016095	SRS016111	SRS044902	SRS016203	SRS016225	SRS016267	SRS016319	SRS016331	SRS016335	SRS016437	SRS016517	SRS016529	SRS016533	SRS016541	SRS016553	SRS016559	SRS016600	SRS016753	SRS011584	SRS011586	SRS016990	SRS016954	SRS017076	SRS017080	SRS017088	SRS017103	SRS017127	SRS017139	SRS017191	SRS017209	SRS017215	SRS017227	SRS017307	SRS017497	SRS017521	SRS017533	SRS017537	SRS017701	SRS017713	SRS017788	SRS017821	SRS017849	SRS017851	SRS018133	SRS018145	SRS018149	SRS018157	SRS018313	SRS018394	SRS018427	SRS018439	SRS018443	SRS018501	SRS018513	SRS018585	SRS018591	SRS018739	SRS018769	SRS018791	SRS018817	SRS019081	SRS019087	SRS019245	SRS019267	SRS019582	SRS019685	SRS019787	SRS019894	SRS019906	SRS019910	SRS049959	SRS049389	SRS047219	SRS050422	SRS042643	SRS053335	SRS020233	SRS020261	SRS020263	SRS020386	SRS020869	SRS021484	SRS021496	SRS021986	SRS022006	SRS022093	SRS022129	SRS022609	SRS022621	SRS022625	SRS022645	SRS023176	SRS023212	SRS023557	SRS023617	SRS023914	SRS023926	SRS023930	SRS023938	SRS024265	SRS024277	SRS024281	SRS024289	SRS024301	SRS024310	SRS024331	SRS024347	SRS024355	SRS024388	SRS024424	SRS024470	SRS024482	SRS024580	SRS024596	SRS024598	SRS024625	SRS024637	SRS024649	SRS058182	SRS058770	SRS057692	SRS047634	SRS045197	SRS051600	SRS044742	SRS043411	SRS051031	SRS049164	SRS048870	SRS052697	SRS054590	SRS043701	SRS043422	SRS047113	SRS062427	SRS062544	SRS063287	SRS064493	SRS064276	SRS063417	SRS065179	SRS062540	SRS065310	SRS064557	SRS065278	SRS064809	SRS063603	SRS065347	SRS063985
1,1,1-Trichloro-2,2-bis(4-chlorophenyl)ethane (DDT) degradation	32.0	26.0	3.0	17.0	0.0	18.0	16.0	27.0	0.0	5.0	10.0	0.0	0.0	17.0	9.0	8.0	0.0	23.0	0.0	2.0	0.0	24.0	0.0	0.0	4.0	16.0	84.0	8.0	0.0	827.0	6.0	33.0	38.0	8.0	18.0	29.0	56.0	0.0	35.0	16.0	78.0	99.0	52.0	0.0	0.0	15.0	0.0	20.0	63.0	47.0	5.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	37.0	0.0	18.0	27.0	3.0	9.0	5.0	22.0	78.0	0.0	11.0	4.0	3.0	0.0	16.0	16.0	0.0	14.0	4.0	0.0	2.0	10.0	15.0	9.0	0.0	0.0	10.0	0.0	0.0	10.0	7.0	2.0	1.0	0.0	0.0	15.0	14.0	0.0	67.0	17.0	0.0	13.0	9.0	0.0	613.0	0.0	52.0	8.0	12.0	4.0	19.0	5.0	54.0	45.0	3.0	22.0	70.0	87.0	43.0	0.0	0.0	8.0	0.0	0.0	56.0	11.0	0.0	0.0	4.0	0.0	50.0	7.0	1.0	0.0	9.0	0.0	6.0	14.0	0.0	4.0	2.0	4.0	0.0	0.0	0.0	15.0	0.0	0.0	72.0	0.0	6.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	3.0	15.0	21.0	0.0	8.0	1.0	13.0	79.0	0.0	2.0	43.0	31.0	45.0	7.0	14.0	9.0	6.0	49.0	7.0	0.0	25.0	3.0	0.0	13.0	0.0	5.0	2.0	5.0	19.0	92.0	0.0	18.0	0.0	3.0
ABC transporters	104225.0	18802.0	38733.0	50965.0	63905.0	66282.0	57744.0	109537.0	37686.0	100058.0	65551.0	61513.0	37429.0	50468.0	36307.0	45346.0	53077.0	148101.0	279610.0	81119.0	42971.0	50987.0	67872.0	133656.0	106758.0	74788.0	55964.0	78872.0	62230.0	420556.0	385826.0	55397.0	73025.0	110207.0	64194.0	100260.0	106502.0	407466.0	30961.0	79314.0	44051.0	31876.0	58841.0	53475.0	157663.0	62710.0	44167.0	37391.0	88905.0	92168.0	79536.0	15667.0	68742.0	81356.0	52296.0	57995.0	131648.0	61319.0	42213.0	27272.0	101233.0	104235.0	36723.0	41365.0	49371.0	45254.0	44158.0	52469.0	51272.0	67560.0	52508.0	39380.0	35426.0	39436.0	26679.0	44990.0	100496.0	94211.0	57273.0	27198.0	36083.0	39171.0	48792.0	63277.0	59091.0	18173.0	27178.0	40761.0	47545.0	35477.0	44592.0	87092.0	48820.0	53452.0	34900.0	30218.0	62895.0	78930.0	77066.0	55033.0	49989.0	44800.0	236381.0	345854.0	54850.0	47652.0	199264.0	68599.0	26102.0	63291.0	67717.0	72517.0	67930.0	55904.0	206315.0	364290.0	383580.0	130637.0	67647.0	124087.0	149620.0	43450.0	57716.0	28641.0	36142.0	54663.0	66251.0	45158.0	66415.0	111801.0	88527.0	86797.0	58852.0	52125.0	44190.0	55581.0	98914.0	51312.0	49370.0	28560.0	45581.0	96449.0	84197.0	79701.0	113378.0	56170.0	87095.0	60218.0	57006.0	63314.0	26826.0	79934.0	50482.0	72965.0	34617.0	56274.0	58079.0	23426.0	41711.0	38972.0	52473.0	30578.0	33196.0	38585.0	292958.0	64100.0	55187.0	65353.0	72251.0	109714.0	45981.0	148574.0	45590.0	40234.0	34742.0	39861.0	82712.0	72829.0	63755.0	118422.0	129522.0	58508.0	46016.0	79282.0	56347.0	34575.0	66609.0	54321.0	59465.0	73367.0	63623.0
Adherens junction	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adipocytokine signaling pathway	4017.0	1682.0	438.0	1538.0	1428.0	4042.0	3485.0	2000.0	560.0	2920.0	3815.0	1827.0	1582.0	1065.0	720.0	1516.0	569.0	3698.0	6777.0	2505.0	0.0	2444.0	2.0	2214.0	2710.0	2200.0	3520.0	1433.0	34.0	15858.0	13045.0	1831.0	2391.0	3302.0	2022.0	2658.0	3662.0	9574.0	2350.0	2818.0	3078.0	2419.0	2956.0	79.0	1911.0	2701.0	1680.0	1922.0	2002.0	3679.0	3909.0	1693.0	1536.0	984.0	651.0	2219.0	1389.0	1.0	340.0	2190.0	58.0	4635.0	1965.0	2161.0	599.0	1004.0	1173.0	2711.0	920.0	2276.0	1903.0	1178.0	440.0	1350.0	1293.0	833.0	2820.0	2494.0	258.0	2250.0	1166.0	1289.0	2723.0	1414.0	1349.0	2275.0	740.0	471.0	1566.0	1828.0	1447.0	2373.0	1722.0	417.0	901.0	1290.0	2306.0	2441.0	2155.0	4.0	1658.0	2388.0	7119.0	12739.0	33.0	3281.0	6192.0	3721.0	1824.0	1479.0	2775.0	3502.0	2439.0	1746.0	3927.0	7770.0	7449.0	5609.0	2451.0	2726.0	3246.0	1364.0	2087.0	1683.0	983.0	127.0	3737.0	1765.0	2069.0	4762.0	1834.0	746.0	2647.0	3620.0	1333.0	1104.0	2293.0	1269.0	1162.0	617.0	1383.0	4070.0	1715.0	210.0	3411.0	2397.0	0.0	2755.0	774.0	2276.0	2178.0	1816.0	677.0	1575.0	804.0	1259.0	1295.0	1869.0	1010.0	1293.0	1080.0	2315.0	960.0	1185.0	8955.0	3131.0	47.0	2724.0	2587.0	4463.0	2047.0	5222.0	3850.0	1841.0	853.0	1410.0	5144.0	1884.0	1595.0	4178.0	3945.0	139.0	1996.0	1584.0	1427.0	3296.0	1714.0	1006.0	2071.0	0.0	2611.0
African trypanosomiasis	3.0	0.0	38.0	344.0	1.0	6.0	1.0	166.0	16.0	371.0	6.0	3.0	7.0	44.0	44.0	241.0	72.0	296.0	24.0	4.0	0.0	2.0	0.0	30.0	49.0	216.0	4.0	224.0	22.0	2982.0	1416.0	285.0	13.0	17.0	104.0	0.0	15.0	1098.0	0.0	162.0	2.0	3.0	1.0	49.0	633.0	2.0	42.0	6.0	184.0	515.0	0.0	1.0	77.0	85.0	90.0	224.0	238.0	0.0	11.0	0.0	16.0	7.0	0.0	0.0	80.0	163.0	206.0	8.0	414.0	390.0	14.0	73.0	5.0	206.0	0.0	54.0	39.0	188.0	12.0	0.0	59.0	155.0	4.0	6.0	2.0	2.0	17.0	26.0	330.0	11.0	315.0	6.0	36.0	30.0	10.0	155.0	404.0	218.0	150.0	4.0	148.0	2.0	1280.0	2432.0	19.0	4.0	9.0	7.0	12.0	114.0	663.0	5.0	4.0	106.0	304.0	96.0	498.0	15.0	8.0	2.0	19.0	148.0	17.0	3.0	36.0	8.0	653.0	7.0	190.0	0.0	39.0	22.0	32.0	0.0	35.0	70.0	89.0	5.0	42.0	6.0	153.0	10.0	53.0	0.0	463.0	346.0	0.0	1.0	82.0	398.0	6.0	64.0	28.0	4.0	38.0	0.0	0.0	0.0	82.0	251.0	2.0	5.0	29.0	165.0	1196.0	359.0	2.0	0.0	1.0	6.0	12.0	6.0	0.0	1.0	32.0	248.0	10.0	78.0	320.0	587.0	51.0	55.0	99.0	189.0	260.0	0.0	147.0	31.0	272.0	0.0	4.0
Alanine, aspartate and glutamate metabolism	46760.0	15711.0	8676.0	13910.0	16888.0	41960.0	37813.0	26179.0	9334.0	26236.0	38075.0	24915.0	18284.0	12616.0	9293.0	12942.0	12825.0	40057.0	97146.0	32446.0	10769.0	24976.0	15478.0	41696.0	39664.0	20348.0	36351.0	18341.0	12411.0	125564.0	114836.0	15520.0	31432.0	45165.0	19628.0	43875.0	45420.0	98028.0	22266.0	26635.0	27746.0	21224.0	35347.0	12935.0	37903.0	29540.0	16538.0	21608.0	21153.0	24466.0	45437.0	15378.0	24969.0	16178.0	11775.0	14263.0	24119.0	12685.0	10045.0	21913.0	23104.0	57074.0	21829.0	23971.0	11033.0	11175.0	11472.0	28047.0	17036.0	22464.0	24894.0	12726.0	8026.0	12280.0	13964.0	12638.0	41933.0	24060.0	13280.0	21814.0	12400.0	12199.0	28106.0	17510.0	15995.0	19843.0	7512.0	8909.0	14526.0	20083.0	13398.0	29829.0	18170.0	13662.0	10310.0	10851.0	17836.0	21477.0	20745.0	12537.0	14031.0	25343.0	86693.0	101059.0	13051.0	32896.0	70442.0	35912.0	17816.0	15867.0	20884.0	38523.0	26412.0	15918.0	44336.0	119849.0	83022.0	63173.0	30638.0	32886.0	40010.0	12696.0	24114.0	15855.0	10639.0	12510.0	22965.0	20437.0	19329.0	50938.0	24781.0	19855.0	19837.0	38594.0	13103.0	14300.0	25316.0	19490.0	12701.0	7553.0	13496.0	46549.0	19399.0	18365.0	28835.0	17511.0	19798.0	31257.0	15296.0	21349.0	21629.0	25548.0	12732.0	19127.0	8426.0	15010.0	15420.0	18039.0	11606.0	11798.0	14134.0	21821.0	9678.0	11504.0	83354.0	20606.0	13282.0	31242.0	32847.0	47766.0	22735.0	60972.0	36761.0	21244.0	10802.0	12395.0	54607.0	20794.0	17048.0	26811.0	49437.0	13204.0	14774.0	20274.0	13984.0	31111.0	17529.0	13208.0	18401.0	16678.0	28447.0
Aldosterone-regulated sodium reabsorption	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alzheimer's disease	2189.0	472.0	619.0	1118.0	770.0	1465.0	1233.0	2253.0	957.0	2735.0	1733.0	1055.0	859.0	1032.0	697.0	1169.0	852.0	3745.0	3901.0	1326.0	722.0	933.0	1034.0	1981.0	1773.0	2167.0	1366.0	1378.0	1213.0	10098.0	14336.0	1354.0	1122.0	1899.0	1804.0	1971.0	1744.0	9275.0	782.0	3484.0	1077.0	668.0	4875.0	931.0	1994.0	1059.0	2020.0	675.0	1816.0	2281.0	8751.0	473.0	1173.0	1035.0	844.0	1290.0	1559.0	1108.0	796.0	639.0	1522.0	2448.0	784.0	820.0	859.0	959.0	913.0	1007.0	1043.0	2457.0	879.0	1671.0	648.0	1287.0	624.0	933.0	1623.0	1945.0	910.0	979.0	1908.0	1124.0	1323.0	850.0	726.0	671.0	553.0	652.0	1380.0	663.0	1133.0	1189.0	2515.0	1119.0	874.0	968.0	1384.0	1586.0	1612.0	841.0	950.0	1009.0	13261.0	7821.0	892.0	1052.0	2949.0	1443.0	608.0	1211.0	1903.0	1305.0	1306.0	1432.0	3020.0	6168.0	5609.0	2450.0	1308.0	1488.0	1908.0	834.0	1423.0	585.0	972.0	823.0	1907.0	894.0	1224.0	2364.0	2148.0	1426.0	4392.0	1152.0	1129.0	1446.0	1888.0	928.0	1237.0	494.0	1354.0	2045.0	1241.0	1138.0	2227.0	1162.0	1320.0	1242.0	1244.0	2427.0	681.0	3082.0	1020.0	981.0	951.0	686.0	713.0	568.0	840.0	951.0	733.0	809.0	1065.0	979.0	9555.0	2795.0	879.0	1146.0	1369.0	1941.0	969.0	2325.0	1321.0	756.0	997.0	1119.0	1842.0	2097.0	1454.0	2305.0	2038.0	987.0	2602.0	1493.0	1123.0	934.0	1558.0	1334.0	1597.0	1112.0	1205.0
Amino acid metabolism	7305.0	2351.0	2282.0	2038.0	3026.0	5997.0	6183.0	4455.0	1373.0	3946.0	5564.0	3747.0	3077.0	2476.0	1731.0	2248.0	1567.0	5951.0	16912.0	4841.0	826.0	4079.0	1036.0	6278.0	5771.0	3308.0	4702.0	4006.0	1252.0	17529.0	15458.0	2619.0	4275.0	5702.0	3800.0	5200.0	7185.0	12444.0	3135.0	3570.0	4337.0	3014.0	4279.0	1010.0	820.0	4365.0	2739.0	3685.0	3465.0	4079.0	5437.0	2311.0	4478.0	3578.0	1256.0	1792.0	8496.0	1111.0	2505.0	2874.0	1531.0	7688.0	3004.0	3172.0	2526.0	1596.0	1858.0	4171.0	2914.0	2817.0	3878.0	2014.0	1775.0	2069.0	2159.0	1241.0	7981.0	4563.0	1342.0	3626.0	1592.0	2259.0	4477.0	3051.0	2923.0	3030.0	1871.0	1319.0	2282.0	2917.0	2122.0	6198.0	3071.0	1413.0	2072.0	1836.0	2105.0	3389.0	3754.0	847.0	2413.0	3519.0	13129.0	14115.0	937.0	4278.0	12402.0	6104.0	2594.0	2848.0	3170.0	5827.0	4095.0	3114.0	8480.0	21009.0	15418.0	9314.0	4753.0	6214.0	7910.0	1984.0	3979.0	2421.0	1977.0	1359.0	2067.0	3009.0	2988.0	8552.0	4530.0	2529.0	1681.0	6111.0	2007.0	2903.0	4946.0	3247.0	2485.0	1250.0	2222.0	7490.0	3659.0	1438.0	4503.0	2092.0	1320.0	4247.0	1897.0	2609.0	3242.0	4211.0	1839.0	3485.0	1646.0	2726.0	2750.0	2619.0	2323.0	1968.0	2798.0	3366.0	1950.0	1961.0	12006.0	1605.0	1219.0	5091.0	4156.0	6670.0	3479.0	9892.0	6777.0	3345.0	2383.0	2102.0	8235.0	3379.0	2698.0	3791.0	7919.0	1095.0	1547.0	4348.0	2516.0	4730.0	2946.0	1757.0	3358.0	1112.0	3840.0
Amino acid related enzymes	64777.0	16620.0	16214.0	22630.0	23576.0	48667.0	42450.0	45563.0	16589.0	41658.0	52487.0	32721.0	25934.0	21918.0	15991.0	21705.0	22317.0	68724.0	124975.0	41765.0	18061.0	30782.0	26801.0	59160.0	52941.0	34296.0	39738.0	32224.0	26410.0	165249.0	184353.0	25782.0	38207.0	59639.0	34988.0	58256.0	56927.0	164734.0	25060.0	44441.0	33631.0	22711.0	48410.0	21360.0	67176.0	35438.0	28713.0	23232.0	36221.0	38193.0	70663.0	16274.0	33338.0	29726.0	20408.0	22181.0	35225.0	25661.0	19051.0	22430.0	39970.0	71944.0	25046.0	27220.0	20430.0	18920.0	19141.0	32133.0	28641.0	36117.0	29288.0	21933.0	14681.0	20180.0	19023.0	23075.0	51829.0	41776.0	23235.0	25157.0	20496.0	20732.0	34410.0	24511.0	22336.0	21564.0	13877.0	16387.0	24086.0	22625.0	21821.0	39572.0	31479.0	23651.0	18582.0	18433.0	25489.0	35731.0	35512.0	21704.0	24037.0	29954.0	141538.0	133213.0	22679.0	35380.0	94170.0	45310.0	20104.0	27774.0	32894.0	43481.0	37459.0	28452.0	80086.0	157749.0	145616.0	77378.0	39972.0	46084.0	56358.0	17512.0	32806.0	18604.0	18623.0	22271.0	30675.0	26904.0	26911.0	67793.0	42661.0	35532.0	34807.0	39245.0	18969.0	24805.0	44133.0	28362.0	22035.0	13941.0	22704.0	60578.0	34992.0	32384.0	47705.0	23364.0	34317.0	36212.0	26250.0	34125.0	22872.0	40289.0	22389.0	27456.0	14649.0	20994.0	21549.0	19041.0	19820.0	19169.0	20010.0	25789.0	17126.0	19771.0	137111.0	31209.0	22968.0	37641.0	42217.0	60889.0	29547.0	76735.0	42835.0	25066.0	19243.0	20680.0	61522.0	36530.0	28751.0	39304.0	64813.0	22529.0	24542.0	35988.0	24175.0	32023.0	29763.0	22360.0	31737.0	28909.0	36018.0
