	mean_EC
EC:1.1.1.1	2.71205
EC:1.1.1.10	0.00245
EC:1.1.1.100	3.8897
EC:1.1.1.101	1e-04
EC:1.1.1.102	0.0092
EC:1.1.1.103	0.34225
EC:1.1.1.105	0.00565
EC:1.1.1.107	0.0032
EC:1.1.1.108	0.0982
EC:1.1.1.11	0.06325
EC:1.1.1.116	1e-04
EC:1.1.1.117	0.001
EC:1.1.1.122	0.2058
EC:1.1.1.125	0.4167
EC:1.1.1.130	0.1146
EC:1.1.1.132	0.064
EC:1.1.1.133	0.845
EC:1.1.1.136	0.112
EC:1.1.1.137	0.08425
EC:1.1.1.14	0.3748
EC:1.1.1.140	0.23495
EC:1.1.1.141	2e-04
EC:1.1.1.144	0.00085
EC:1.1.1.145	0.0142
EC:1.1.1.156	5e-05
EC:1.1.1.157	0.96005
EC:1.1.1.159	0.1512
EC:1.1.1.163	0.00765
EC:1.1.1.169	1.11655
EC:1.1.1.17	0.313
EC:1.1.1.170	7e-04
EC:1.1.1.173	0.01725
EC:1.1.1.178	0.00115
EC:1.1.1.179	6e-04
EC:1.1.1.18	0.4528
EC:1.1.1.181	5e-05
EC:1.1.1.184	4e-04
EC:1.1.1.189	0.00025
EC:1.1.1.193	0.96665
EC:1.1.1.195	0.00015
EC:1.1.1.197	0.00025
EC:1.1.1.2	0.0201
EC:1.1.1.202	0.06055
EC:1.1.1.203	0.1347
EC:1.1.1.205	1.26535
EC:1.1.1.206	0.0206
EC:1.1.1.208	0.00015
EC:1.1.1.21	0.00235
EC:1.1.1.211	3e-04
EC:1.1.1.215	0.2842
EC:1.1.1.216	0.00285
EC:1.1.1.218	1e-04
EC:1.1.1.219	0.17445
EC:1.1.1.22	1.0187
EC:1.1.1.220	0.00765
EC:1.1.1.23	0.8704
EC:1.1.1.234	0.00015
EC:1.1.1.237	5e-05
EC:1.1.1.239	8e-04
EC:1.1.1.243	0.0059
EC:1.1.1.244	3e-04
EC:1.1.1.25	1.41565
EC:1.1.1.251	0.09815
EC:1.1.1.252	0.0013
EC:1.1.1.257	1e-04
EC:1.1.1.26	0.14745
EC:1.1.1.261	0.1117
EC:1.1.1.262	0.8168
EC:1.1.1.264	0.14765
EC:1.1.1.267	0.8055
EC:1.1.1.27	0.56205
EC:1.1.1.271	0.3881
EC:1.1.1.272	0.00575
EC:1.1.1.275	0.02125
EC:1.1.1.276	0.02585
EC:1.1.1.28	0.7796
EC:1.1.1.281	0.0686
EC:1.1.1.282	0.0824
EC:1.1.1.284	0.7675
EC:1.1.1.286	3e-04
EC:1.1.1.287	0.00315
EC:1.1.1.288	1e-04
EC:1.1.1.289	0.0044
EC:1.1.1.29	0.24975
EC:1.1.1.290	0.28165
EC:1.1.1.291	0.0019
EC:1.1.1.292	0.0189
EC:1.1.1.294	0.00025
EC:1.1.1.298	0.0037
EC:1.1.1.3	1.2621
EC:1.1.1.30	0.416
EC:1.1.1.300	0.00235
EC:1.1.1.301	0.00185
EC:1.1.1.302	0.03025
EC:1.1.1.303	0.2074
EC:1.1.1.304	0.29735
EC:1.1.1.305	0.1726
EC:1.1.1.306	0.09985
EC:1.1.1.307	0.00315
EC:1.1.1.308	0.0855
EC:1.1.1.309	0.00055
EC:1.1.1.31	1.06005
EC:1.1.1.310	0.031
EC:1.1.1.311	0.0027
EC:1.1.1.312	0.02315
EC:1.1.1.313	0.03355
EC:1.1.1.315	2e-04
EC:1.1.1.316	0.00585
EC:1.1.1.320	0.04595
EC:1.1.1.325	0.00095
EC:1.1.1.327	0.0017
EC:1.1.1.328	0.0642
EC:1.1.1.329	0.0011
EC:1.1.1.330	0.00125
EC:1.1.1.333	0.05725
EC:1.1.1.335	0.0631
EC:1.1.1.336	0.3233
EC:1.1.1.337	0.00575
EC:1.1.1.338	0.04585
EC:1.1.1.339	0.02395
EC:1.1.1.34	0.06665
EC:1.1.1.340	7e-04
EC:1.1.1.341	8e-04
EC:1.1.1.342	0.0085
EC:1.1.1.343	0.9206
EC:1.1.1.344	0.00155
EC:1.1.1.346	0.59915
EC:1.1.1.347	0.00075
EC:1.1.1.35	1.1183
EC:1.1.1.350	0.12745
EC:1.1.1.359	0.00395
EC:1.1.1.36	0.28415
EC:1.1.1.360	5e-04
EC:1.1.1.361	0.0169
EC:1.1.1.362	0.0022
EC:1.1.1.363	0.9875
EC:1.1.1.364	0.00055
EC:1.1.1.367	0.0932
EC:1.1.1.368	0.00365
EC:1.1.1.369	0.4528
EC:1.1.1.37	0.7286
EC:1.1.1.370	0.0139
EC:1.1.1.371	0.04185
EC:1.1.1.373	0.10385
EC:1.1.1.374	0.01455
EC:1.1.1.376	0.01875
EC:1.1.1.377	0.01725
EC:1.1.1.378	0.01725
EC:1.1.1.38	0.7926
EC:1.1.1.380	0.1508
EC:1.1.1.381	0.21015
EC:1.1.1.385	0.0256
EC:1.1.1.387	0.0041
EC:1.1.1.388	0.00945
EC:1.1.1.39	0.00435
EC:1.1.1.4	0.2074
EC:1.1.1.40	0.67635
EC:1.1.1.41	0.08415
EC:1.1.1.42	1.01545
EC:1.1.1.43	0.03055
EC:1.1.1.44	0.9206
EC:1.1.1.45	1e-04
EC:1.1.1.47	0.2088
EC:1.1.1.48	0.06445
EC:1.1.1.49	0.9875
EC:1.1.1.51	0.0168
EC:1.1.1.53	0.14505
EC:1.1.1.56	0.06275
EC:1.1.1.57	0.37855
EC:1.1.1.58	0.23365
EC:1.1.1.6	0.39805
EC:1.1.1.60	0.5499
EC:1.1.1.61	0.13755
EC:1.1.1.62	0.00205
EC:1.1.1.64	5e-05
EC:1.1.1.65	0.0271
EC:1.1.1.67	0.12435
EC:1.1.1.69	0.4279
EC:1.1.1.76	0.29735
EC:1.1.1.77	0.1654
EC:1.1.1.79	0.38225
EC:1.1.1.8	5e-05
EC:1.1.1.81	0.6005
EC:1.1.1.82	0.00215
EC:1.1.1.83	0.3239
EC:1.1.1.85	0.9527
EC:1.1.1.86	0.91485
EC:1.1.1.87	0.0132
EC:1.1.1.88	0.20585
EC:1.1.1.9	0.04085
EC:1.1.1.90	0.1301
EC:1.1.1.91	0.0499
EC:1.1.1.93	0.3239
EC:1.1.1.94	1.01535
EC:1.1.1.95	1.56725
EC:1.1.2.3	0.57135
EC:1.1.2.4	0.19295
EC:1.1.2.6	0.0174
EC:1.1.2.7	0.0204
EC:1.1.2.8	0.1276
EC:1.1.3.12	0.0025
EC:1.1.3.15	0.6156
EC:1.1.3.17	0.00915
EC:1.1.3.20	5e-05
EC:1.1.3.21	0.06335
EC:1.1.3.37	3e-04
EC:1.1.3.41	0.0479
EC:1.1.3.43	0.00295
EC:1.1.3.44	0.00295
EC:1.1.3.45	0.00625
EC:1.1.3.46	0.0535
EC:1.1.3.47	0.02105
EC:1.1.3.48	0.0214
EC:1.1.3.6	0.2193
