pathway	mean_EC
1CMET2-PWY	0.0293
ALLANTOINDEG-PWY	0.0114
ANAGLYCOLYSIS-PWY	1.156
ARGSYNBSUB-PWY	0.438
FASYN-INITIAL-PWY	0.0685
GLUCONEO-PWY	0.4559
GLUCOSE1PMETAB-PWY	0.3922
GLYOXYLATE-BYPASS	2.1124
HEME-BIOSYNTHESIS-II	1.2052
HISTSYN-PWY	0.0316
HSERMETANA-PWY	0.1439
LEU-DEG2-PWY	0.9609
LIPASYN-PWY	0.4559
LYSINE-AMINOAD-PWY	0.0138
NONOXIPENT-PWY	1.8098
P185-PWY	1.1791
P221-PWY	1.1634
PANTO-PWY	1.4561
PENTOSE-P-PWY	1.297
POLYAMINSYN3-PWY	0.1668
PWY-2201	0.0153
PWY-2723	0.4012
PWY-3781	4.2701
PWY-4041	0.0546
PWY-4981	1.1685
PWY-4984	1.1272
PWY-5067	1.3172
PWY-5083	0.9668
PWY-5189	1.145
PWY-5651	0.6484
PWY-5659	1.6873
PWY-5667	1.0226
PWY-5686	0.0536
PWY-5690	1.7423
PWY-5754	0.0362
PWY-5871	0.3403
PWY-5873	0.3403
PWY-5920	1.1673
PWY-5941	0.0092
PWY-5994	3.3735
PWY-6121	0.3094
PWY-6124	0.0228
PWY-6126	1.7007
PWY-6147	0.0177
PWY-621	0.7492
PWY-6317	0.9541
PWY-6351	1.8557
PWY-6358	0.0135
PWY-6606	1.6379
PWY-6609	0.9307
PWY-6837	1.2146
PWY-6981	0.0213
PWY-7007	1.7142
PWY-7111	1.7231
PWY-7118	1.3351
PWY-7184	1.3307
PWY-7185	0.1017
PWY-7196	0.341
PWY-7197	1.0905
PWY-7200	0.0906
PWY-7208	1.2421
PWY-7210	1.0329
PWY-7211	0.1389
PWY-7219	2.9637
PWY-7221	1.2724
PWY-7228	1.3745
PWY-7229	1.8282
PWY-7235	0.4193
PWY-7268	0.5359
PWY-7269	0.7566
PWY-7279	4.2701
PWY-7282	1.236
PWY-7288	2.8352
PWY-7357	0.0106
PWY-7385	1.004
PWY-7388	1.2486
PWY-7409	0.988
PWY-7411	1.2115
PWY-7420	0.5425
PWY-841	0.0808
PWY-922	1.1245
PWY0-162	0.0738
PWY3O-355	0.9202
PWY4FS-7	0.456
PWY4FS-8	0.456
PWY66-409	0.3227
PWY66-422	1.1783
SER-GLYSYN-PWY	1.3379
SO4ASSIM-PWY	0.8907
THISYNARA-PWY	0.0245
THRESYN-PWY	1.0861
TRNA-CHARGING-PWY	1.6403
TRPSYN-PWY	0.0714
TYRFUMCAT-PWY	0.845
UDPNACETYLGALSYN-PWY	1.05
VALSYN-PWY	1.5408
