pathway	mean_EC
1CMET2-PWY	0.1889654835
ALLANTOINDEG-PWY	0.0924264091
ANAGLYCOLYSIS-PWY	0.6933829344
ARGSYNBSUB-PWY	0.5429534382
FASYN-INITIAL-PWY	0.233255122
GLUCONEO-PWY	0.5401088016
GLUCOSE1PMETAB-PWY	0.4559185464
GLYOXYLATE-BYPASS	0.8382923937
HEME-BIOSYNTHESIS-II	0.7037495428
HISTSYN-PWY	0.1717476056
HSERMETANA-PWY	0.3296351591
LEU-DEG2-PWY	0.65397531
LIPASYN-PWY	0.4975006855
LYSINE-AMINOAD-PWY	0.1118649748
NONOXIPENT-PWY	0.8033918456
P185-PWY	0.69947421
P221-PWY	0.7021716456
PANTO-PWY	0.7516616837
PENTOSE-P-PWY	0.7234447066
POLYAMINSYN3-PWY	0.3248409079
PWY-2201	0.1159209406
PWY-2723	0.4637593068
PWY-3781	0.9549557602
PWY-4041	0.1930711677
PWY-4981	0.6963825131
PWY-4984	0.6868328157
PWY-5067	0.7275990594
PWY-5083	0.6579596399
PWY-5189	0.6923886911
PWY-5651	0.5632529926
PWY-5659	0.7869886613
PWY-5667	0.6619003355
PWY-5686	0.210202006
PWY-5690	0.7957269418
PWY-5754	0.1556682043
PWY-5871	0.4088768306
PWY-5873	0.4088768306
PWY-5920	0.6965211717
PWY-5941	0.0797519014
PWY-5994	0.9109478707
PWY-6121	0.4179950652
PWY-6124	0.1340566869
PWY-6126	0.7839444225
PWY-6147	0.1038064045
PWY-621	0.6117625194
PWY-6317	0.6511781639
PWY-6351	0.8101299113
PWY-6358	0.1068327601
PWY-6606	0.7808855116
PWY-6609	0.6414704749
PWY-6837	0.7073208297
PWY-6981	0.1616828982
PWY-7007	0.7885079494
PWY-7111	0.7839070915
PWY-7118	0.7309110985
PWY-7184	0.7303052964
PWY-7185	0.3187184598
PWY-7196	0.4589614683
PWY-7197	0.6781697216
PWY-7200	0.2717221169
PWY-7208	0.7121277505
PWY-7210	0.6705417393
PWY-7211	0.3722173793
PWY-7219	0.8892197776
PWY-7221	0.7172893218
PWY-7228	0.7372837277
PWY-7229	0.7994900607
PWY-7235	0.4540875832
PWY-7268	0.5362643651
PWY-7269	0.6337217185
PWY-7279	0.9549557602
PWY-7282	0.711542892
PWY-7288	0.891544949
PWY-7357	0.0687520983
PWY-7385	0.6583957259
PWY-7388	0.727198508
PWY-7409	0.6610206093
PWY-7411	0.7066647441
PWY-7420	0.5323219348
PWY-841	0.313224548
PWY-922	0.686350553
PWY0-162	0.2527109939
PWY3O-355	0.6371316922
PWY4FS-7	0.4914150793
PWY4FS-8	0.4914150793
PWY66-409	0.4992971099
PWY66-422	0.6992988512
SER-GLYSYN-PWY	0.7326985198
SO4ASSIM-PWY	0.6271163287
THISYNARA-PWY	0.1447128748
THRESYN-PWY	0.6791539959
TRNA-CHARGING-PWY	0.7810610347
TRPSYN-PWY	0.2155416356
TYRFUMCAT-PWY	0.6195238904
UDPNACETYLGALSYN-PWY	0.6685038257
VALSYN-PWY	0.766764608
