pathway	mean_EC
1CMET2-PWY	0.0326
ANAGLYCOLYSIS-PWY	1.1463
ARGSYNBSUB-PWY	0.4485
FASYN-INITIAL-PWY	0.0392
GLUCONEO-PWY	0.5593
GLUCOSE1PMETAB-PWY	0.4596
GLYOXYLATE-BYPASS	2.1783
HEME-BIOSYNTHESIS-II	1.1908
HISTSYN-PWY	0.0358
HSERMETANA-PWY	0.1349
LEU-DEG2-PWY	1.0999
LIPASYN-PWY	0.7468
NONOXIPENT-PWY	1.8233
P185-PWY	1.1858
P221-PWY	1.0729
PANTO-PWY	1.4754
PENTOSE-P-PWY	1.2894
POLYAMINSYN3-PWY	0.1167
PWY-2723	0.4726
PWY-3781	4.1216
PWY-4041	0.072
PWY-4981	1.1892
PWY-4984	1.1344
PWY-5067	1.3517
PWY-5083	1.0039
PWY-5189	1.1852
PWY-5505	0.015
PWY-5651	0.6848
PWY-5659	1.7298
PWY-5667	1.0008
PWY-5686	0.0309
PWY-5690	1.7625
PWY-5754	0.0105
PWY-5871	0.3074
PWY-5873	0.3074
PWY-5920	1.1855
PWY-5941	0.0105
PWY-5994	4.5358
PWY-6121	0.3344
PWY-6124	0.0131
PWY-6126	1.6655
PWY-6147	0.0103
PWY-621	0.868
PWY-6317	1.0342
PWY-6351	1.83
PWY-6358	0.0152
PWY-6606	1.7056
PWY-6609	0.9125
PWY-6837	1.3094
PWY-6981	0.0242
PWY-7007	1.758
PWY-7111	1.669
PWY-7118	1.4276
PWY-7184	1.3022
PWY-7185	0.1645
PWY-7196	0.3055
PWY-7197	1.0783
PWY-7200	0.0562
PWY-7208	1.2427
PWY-7210	1.0501
PWY-7211	0.0846
PWY-7219	2.9912
PWY-7221	1.3096
PWY-7228	1.3924
PWY-7229	1.7806
PWY-7235	0.4051
PWY-7268	0.5964
PWY-7269	0.8528
PWY-7279	4.1216
PWY-7282	1.2474
PWY-7288	2.9786
PWY-7385	1.0503
PWY-7388	1.37
PWY-7409	1.1365
PWY-7411	1.1824
PWY-7420	0.6257
PWY-841	0.0503
PWY-922	1.1444
PWY0-162	0.0439
PWY3O-355	1.1179
PWY4FS-7	0.5311
PWY4FS-8	0.5311
PWY66-409	0.3557
PWY66-422	1.2188
SER-GLYSYN-PWY	1.3832
SO4ASSIM-PWY	0.8842
THISYNARA-PWY	0.014
THRESYN-PWY	1.1081
TRNA-CHARGING-PWY	1.6584
TRPSYN-PWY	0.058
TYRFUMCAT-PWY	0.8791
UDPNACETYLGALSYN-PWY	1.0408
VALSYN-PWY	1.5163
