pathway	mean_EC
1CMET2-PWY	0.1888067441
ANAGLYCOLYSIS-PWY	0.6862399095
ARGSYNBSUB-PWY	0.5394407432
FASYN-INITIAL-PWY	0.1739870199
GLUCONEO-PWY	0.5611289064
GLUCOSE1PMETAB-PWY	0.4801294954
GLYOXYLATE-BYPASS	0.8418561852
HEME-BIOSYNTHESIS-II	0.6959089533
HISTSYN-PWY	0.1749091158
HSERMETANA-PWY	0.3145210874
LEU-DEG2-PWY	0.68143369
LIPASYN-PWY	0.5926709328
NONOXIPENT-PWY	0.801494419
P185-PWY	0.6959563532
P221-PWY	0.6790780783
PANTO-PWY	0.7507395232
PENTOSE-P-PWY	0.7173796195
POLYAMINSYN3-PWY	0.2783186548
PWY-2723	0.4894891325
PWY-3781	0.9501984598
PWY-4041	0.2138259281
PWY-4981	0.6962077543
PWY-4984	0.683501644
PWY-5067	0.7295371427
PWY-5083	0.6610495623
PWY-5189	0.6964251059
PWY-5505	0.104312341
PWY-5651	0.5700851345
PWY-5659	0.7890430009
PWY-5667	0.6511415062
PWY-5686	0.1579224082
PWY-5690	0.7946270206
PWY-5754	0.0804710159
PWY-5871	0.3880710313
PWY-5873	0.3880710313
PWY-5920	0.6956305022
PWY-5941	0.0812132422
PWY-5994	0.9490791868
PWY-6121	0.4237507918
PWY-6124	0.0974331866
PWY-6126	0.7754257764
PWY-6147	0.0765919888
PWY-621	0.6385017136
PWY-6317	0.6650222629
PWY-6351	0.8035902117
PWY-6358	0.1071959332
PWY-6606	0.7865092385
PWY-6609	0.6315311123
PWY-6837	0.7209729839
PWY-6981	0.1640447617
PWY-7007	0.7901132915
PWY-7111	0.7729007211
PWY-7118	0.7411274313
PWY-7184	0.7201321861
PWY-7185	0.3690147891
PWY-7196	0.4337583119
PWY-7197	0.6702076077
PWY-7200	0.2185318283
PWY-7208	0.7075642793
PWY-7210	0.6682208605
PWY-7211	0.3084633946
PWY-7219	0.8888883441
PWY-7221	0.7201667654
PWY-7228	0.7361377656
PWY-7229	0.7901689098
PWY-7235	0.4451411114
PWY-7268	0.5497268563
PWY-7269	0.6502986137
PWY-7279	0.9501984598
PWY-7282	0.708821051
PWY-7288	0.8980174464
PWY-7385	0.6639771976
PWY-7388	0.7441421712
PWY-7409	0.6881142039
PWY-7411	0.6956245485
PWY-7420	0.5576266384
PWY-841	0.2591708707
PWY-922	0.6859014699
PWY0-162	0.1977839592
PWY3O-355	0.677743709
PWY4FS-7	0.5125130339
PWY4FS-8	0.5125130339
PWY66-409	0.5042034127
PWY66-422	0.7032678994
SER-GLYSYN-PWY	0.7362384393
SO4ASSIM-PWY	0.6197273598
THISYNARA-PWY	0.1048706319
THRESYN-PWY	0.679077103
TRNA-CHARGING-PWY	0.7797733897
TRPSYN-PWY	0.1885929329
TYRFUMCAT-PWY	0.6268391593
UDPNACETYLGALSYN-PWY	0.6609878475
VALSYN-PWY	0.7591625664
