sequence	16S_rRNA_Count	metadata_NSTI
study_1891	1	0.201011
study_1648	1	0.185132
study_667	1	0.19301
study_1351	1	0.121118
study_711	1	0.126451
study_1104	1	0.20752199999999998
study_830	1	0.35536799999999996
study_1480	1	0.018954
study_150	1	0.013665
study_1094	1	0.008245
study_1453	2	0.050699
study_1758	2	0.010415
study_1867	2	0.12152400000000001
study_1827	2	0.004203
study_313	2	0.004265
study_109	1	0.005824
study_424	1	0.005824
study_1065	1	0.067281
study_334	1	0.054275
study_102	1	0.049514999999999997
study_298	1	0.053867
study_307	1	0.06477100000000001
study_781	1	0.050056
study_1170	1	0.054973
study_525	1	0.048284
study_488	1	0.045199
study_43	1	0.039831
study_112	1	0.042444
study_1488	1	0.140977
study_1076	1	0.037763
study_409	1	0.018629
study_391	1	0.014044
study_676	1	0.01459
study_706	1	0.085895
study_79	1	0.000101
study_1420	1	0.000101
study_176	1	0.008404
study_1031	1	0.012281
study_201	3	0.017543
study_1162	3	0.017631
study_877	3	0.10105700000000001
study_216	1	0.00015
study_741	1	0.00015
study_901	2	0.10336600000000001
study_55	1	0.106772
study_912	1	0.144827
study_794	1	0.097054
study_311	1	0.052037
study_231	1	0.0411
study_747	1	0.098686
study_341	1	0.131852
study_364	1	0.098633
study_215	1	0.038407
study_1487	1	0.085844
study_472	1	0.100082
study_131	1	0.074539
study_1010	1	0.078065
study_919	1	0.089429
study_56	1	0.073462
study_370	1	0.074562
study_480	1	0.073476
study_500	1	0.073524
study_1762	1	0.088212
study_443	1	0.067317
study_343	1	0.073674
study_1151	1	0.054520000000000006
study_382	1	0.054801
study_820	1	0.049862000000000004
study_1436	1	0.049657
study_836	1	0.06678300000000001
study_753	1	0.11329000000000002
study_578	1	0.065945
study_720	1	0.01462
study_1859	1	0.015222
study_951	1	0.065377
study_465	1	0.021948
study_725	1	0.021746
study_927	1	0.005104999999999999
study_24	1	0.005104999999999999
study_1737	1	0.031223
study_1773	1	0.039484
study_872	1	0.032074
study_1722	1	0.04055
study_599	1	0.033578
study_1897	1	0.00015
study_1884	1	0.00015
study_732	1	0.058735
study_1208	1	0.00015
study_1394	1	0.073181
study_1845	1	0.00015
study_1410	3	0.00015
study_1140	1	0.14211
study_310	1	0.12173900000000001
study_1554	1	0.12692
study_108	1	0.008348999999999999
study_648	1	0.025394999999999997
study_70	2	0.011606
study_880	2	0.08270599999999999
study_1559	2	0.086288
study_1391	2	0.097073
study_427	2	0.020353
study_236	2	0.019416
study_638	2	0.025856999999999998
study_694	2	0.025935000000000003
study_1182	2	0.011022
study_1295	2	0.018482
study_117	1	0.00015
study_381	1	0.009111
study_654	1	0.009197
study_340	1	0.008745999999999999
study_680	1	0.018422
study_316	1	0.009602
study_746	1	0.015272999999999998
study_32	1	0.009111
study_693	2	0.011787
study_539	2	0.00015
study_1029	2	0.024619
study_1015	2	0.00015
study_68	2	0.00015
study_934	2	0.103647
study_1520	2	0.081354
study_125	1	0.008675
study_778	2	0.050142
study_392	2	0.053139
study_1620	2	0.050182
study_323	1	0.020033000000000002
study_475	7	0.002516
study_82	6	0.012922
study_1316	1	0.005375
study_49	1	0.000101
study_800	1	0.000101
study_15	1	0.0025239999999999998
study_1050	2	0.071289
study_743	2	0.011425
study_551	4	0.061389
study_124	4	0.060141
study_674	3	0.014384000000000001
study_162	3	0.020133
study_333	3	0.016046
study_1231	3	0.015997
study_1700	1	0.11261600000000001
study_1068	1	0.11261600000000001
study_1877	1	0.123999
study_1188	1	0.0040219999999999995
study_1238	1	0.009048
study_1526	1	0.007606999999999999
study_423	1	0.00015
study_1304	1	0.003975
study_530	1	0.0025670000000000003
study_168	1	0.02939
study_837	1	0.003965
study_1073	1	0.012084000000000001
study_1523	1	0.012143000000000001
study_1405	1	0.008856999999999999
study_3	1	0.000152
study_1456	1	0.005607
study_61	1	0.002578
study_1144	1	0.002745
study_31	1	0.000152
study_164	1	0.008546999999999999
study_246	1	0.012283
study_74	1	0.000152
study_989	1	0.012283
study_1719	1	0.025656
study_902	1	0.011609999999999999
study_1072	1	0.000151
study_1187	1	0.00402
study_1035	1	0.006137
study_864	1	0.011964
study_107	1	0.000152
study_288	1	0.000152
study_788	1	0.066277
study_761	1	0.041496
study_1783	1	0.020339
study_548	1	0.367129
study_987	1	0.39032100000000003
study_1041	1	0.380321
study_1626	1	0.500167
study_1608	1	0.500167
study_1501	1	0.384265
study_100	2	0.338159
study_1539	2	0.277111
study_938	1	0.24841799999999997
study_156	1	0.184378
study_1310	1	0.200816
study_532	1	0.118862
study_208	1	0.116101
study_97	1	0.02592
study_946	1	0.121233
study_1788	1	0.092195
study_359	1	0.092195
study_1514	1	0.095274
study_1212	1	0.092195
study_1234	1	0.235583
study_588	1	0.160581
study_144	1	0.166493
study_462	1	0.157799
study_621	1	0.076365
study_524	1	0.033612
study_1243	1	0.054997000000000004
study_710	1	0.045636
study_543	1	0.04105
study_486	1	0.000101
study_903	1	0.000101
study_552	1	0.165965
study_346	1	0.165965
study_2	1	0.165965
study_90	1	0.165965
study_993	1	0.125005
study_1553	1	0.051272000000000005
study_848	1	0.070756
study_104	3	0.070043
study_1193	3	0.10385499999999999
study_261	3	0.070043
study_1612	3	0.061825
study_619	3	0.061825
study_808	3	0.061825
study_789	3	0.008909
study_1819	1	0.11585
study_484	1	0.00015
study_1108	1	0.025141
study_750	1	0.097241
study_446	1	0.08737
study_101	1	0.08726
study_1837	1	0.09626699999999999
study_1742	1	0.053111
study_429	1	0.053111
study_1179	1	0.159415
study_748	1	0.017844
study_1898	1	0.017881
study_294	1	0.00015
study_572	1	0.00015
study_1382	1	0.42908100000000005
study_825	1	0.49697399999999997
study_1813	1	0.37935100000000005
study_1858	1	0.348244
study_1137	1	0.5733189999999999
study_1371	1	0.535664
study_1794	1	0.594083
study_1759	1	0.447534
study_967	1	0.452097
study_857	1	0.10736300000000001
study_260	1	0.09278
study_897	1	0.08344299999999999
study_337	1	0.08344299999999999
study_1432	1	0.021519999999999997
study_402	1	0.017305
study_1335	1	0.017113999999999997
study_1165	1	0.022764
study_1829	1	0.012124
study_10	1	0.016566
study_354	1	0.030151
study_105	1	0.018477
study_869	1	0.024612000000000002
study_1116	1	0.026907
study_531	1	0.059226999999999995
study_1209	5	0.000101
study_1278	5	0.038051999999999996
study_652	5	0.034812
study_193	5	0.031689
study_48	5	0.038377999999999995
study_1150	4	0.024697
study_1210	4	0.015404
study_1221	1	0.005692
study_153	1	0.012312
study_888	1	0.012255
study_1404	1	0.016163
study_957	1	0.139759
study_393	1	0.160761
study_815	1	0.083534
study_1036	1	0.028197000000000003
study_1622	1	0.018737
study_280	1	0.007959
study_235	1	0.018682
study_769	1	0.039005
study_569	1	0.020347
study_1347	1	0.029057999999999997
study_84	1	0.037517
study_22	1	0.016363
study_1112	1	0.042018
study_1840	1	0.020534
study_947	1	0.012242
study_372	1	0.016396
study_353	1	0.02054
study_827	1	0.016390000000000002
study_1315	1	0.046455
study_134	1	0.089338
study_1248	1	0.050091000000000004
study_1450	1	0.055963
study_380	1	0.042111
study_890	1	0.044497
study_272	1	0.041678
study_868	1	0.008190000000000001
study_1329	1	0.012872999999999999
study_1415	1	0.008065000000000001
study_963	1	0.01151
study_365	1	0.011039
study_1805	1	0.008265
study_1130	1	0.020803
study_659	1	0.022328
study_182	1	0.008226
study_268	1	0.01656
study_1025	1	0.022815000000000002
study_1263	1	0.018987999999999998
study_730	1	0.396083
study_439	1	0.420016
study_1455	1	0.45943999999999996
study_681	1	0.401557
study_574	1	0.405881
study_968	1	0.361462
study_1584	1	0.324048
study_1046	1	0.324048
study_224	1	0.392469
study_708	1	0.19045
study_698	1	0.010024
study_564	1	0.033997
study_1800	1	0.030048000000000002
study_1178	1	0.016537
study_1868	1	0.016409
study_412	1	0.010195000000000001
study_545	1	0.010092
study_779	1	0.000151
study_1088	1	0.032136
study_886	1	0.00015
study_597	1	0.362987
study_843	1	0.362987
study_1740	1	0.362987
study_796	1	0.362987
study_863	1	0.362987
study_1653	1	0.362987
study_1678	1	0.362987
study_792	1	0.27516399999999996
study_1560	1	0.06979199999999999
study_647	1	0.06979199999999999
study_587	1	0.14849
study_979	1	0.00015
study_1268	1	0.082346
study_1411	1	0.07915499999999999
study_889	1	0.065745
study_1173	1	0.077088
study_35	1	0.077159
study_729	1	0.054054
study_1890	3	0.5396350000000001
study_992	3	0.008819
study_608	4	0.026374
study_17	4	0.000154
study_433	4	0.034968
study_1807	4	0.025975
study_854	4	0.035442
study_1633	4	0.008686
study_561	4	0.035385
study_1645	4	0.026429
study_13	4	0.026327999999999997
study_1340	4	0.016016
study_52	1	0.044252
study_811	1	0.043677
study_65	4	0.005647
study_675	4	0.014674000000000001
study_91	4	0.013959000000000001
study_797	4	0.023576
study_1597	4	0.009805
study_172	4	0.005647
study_742	4	0.023581
study_135	4	0.005647
study_366	1	0.033451999999999996
study_1540	1	0.025814
study_818	1	0.021682
study_495	1	0.053501
study_1769	1	0.025816000000000002
study_62	3	0.020380000000000002
study_233	1	0.024548
study_4	1	0.012483
study_1101	1	0.012481
study_616	1	0.015016
study_502	1	0.012472
study_791	1	0.014377000000000001
study_133	1	0.018519
study_1	1	0.010403
study_396	1	0.010403
study_64	1	0.017902
study_173	1	0.004828
study_434	1	0.019825
study_166	1	0.019767
study_612	1	0.017453
study_733	1	0.058147000000000004
study_935	1	0.047982
study_489	1	0.047982
study_448	1	0.047982
study_451	1	0.047982
study_622	1	0.047982
study_1640	1	0.361186
study_485	1	0.047982
study_416	1	0.047982
study_361	1	0.047982
study_540	1	0.047982
study_851	1	0.047982
study_499	1	0.091495
study_1462	5	0.020384
study_1011	5	0.020324000000000002
study_952	5	0.020377000000000003
study_188	1	0.059051
study_169	1	0.053610000000000005
study_817	1	0.080986
study_555	1	0.085423
study_498	5	0.000101
study_567	1	0.016416
study_147	2	0.017506999999999998
study_18	1	0.10678900000000001
study_580	1	0.08895
study_14	1	0.080506
study_113	1	0.08895399999999999
study_1715	1	0.075846
study_78	1	0.073742
study_120	1	0.062069000000000006
study_253	1	0.073742
study_40	1	0.073746
study_6	1	0.062069000000000006
study_511	1	0.118504
study_533	1	0.020558
study_479	1	0.012733
study_300	1	0.140379
study_1353	1	0.062845
study_1251	1	0.087759
study_1020	1	0.078122
study_988	1	0.22295
study_914	1	0.14340799999999998
study_306	1	0.120176
study_1331	1	0.113781
study_969	1	0.115325
study_1782	1	0.113174
study_1107	1	0.12032999999999999
study_1393	1	0.107392
study_1356	1	0.107392
study_474	1	0.000101
study_641	1	0.126485
study_677	1	0.021406
study_431	1	0.047756
study_1215	1	0.024645
study_1060	1	0.021393000000000002
study_136	1	0.018976
study_1374	1	0.049104
study_123	1	0.036899
study_1655	1	0.032139999999999995
study_1843	1	0.02341
study_358	1	0.020352000000000002
study_16	1	0.014972
study_196	1	0.01822
study_464	1	0.0077659999999999995
study_335	1	0.003889
study_243	1	0.007769
study_579	1	0.044139
study_626	1	0.040178
study_672	1	0.025269999999999997
study_36	1	0.014256
study_620	3	0.083093
study_477	3	0.00015
study_1592	3	0.02359
study_1043	3	0.00015
study_401	3	0.014281
study_1748	3	0.02363
study_1755	3	0.033121
study_1757	3	0.033121
study_1652	3	0.033121
study_1270	1	0.00015
study_625	1	0.056665999999999994
study_640	1	0.007273999999999999
study_1191	1	0.1142
study_1261	1	0.102584
study_1876	1	0.14666500000000002
study_1615	1	0.112322
study_1485	1	0.34089400000000003
study_549	1	0.337494
study_1577	1	0.111366
study_1723	1	0.10351099999999999
study_1591	1	0.016954
study_1318	1	0.021289
study_1907	1	0.016954
study_858	1	0.021289
study_701	1	0.004189
study_203	1	0.01284
study_1703	1	0.012712000000000001
study_1750	1	0.023573
study_170	1	0.012323
study_234	1	0.012322
study_726	1	0.028682
study_1883	1	0.00015
study_1281	1	0.32000100000000004
study_1387	1	0.163677
study_1842	1	0.170899
study_1237	1	0.028793
study_408	1	0.026941000000000003
study_1271	1	0.005635
study_1414	1	0.047853
study_1534	1	0.047853
study_1054	1	0.047853
study_1380	1	0.17843399999999998
study_1906	1	0.17843399999999998
study_1308	1	0.080491
study_1831	1	0.07439
study_1817	1	0.084319
study_1067	1	0.06250900000000001
study_1668	1	0.066207
study_1239	1	0.07942
study_1139	1	0.046337
study_956	1	0.050960000000000005
study_1303	1	0.07725900000000001
study_1185	1	0.07725900000000001
study_831	1	0.015725
study_1638	1	0.015725
study_351	1	0.015725
study_1330	1	0.000101
study_1644	1	0.20039200000000001
study_1259	2	0.01898
study_553	1	0.00015
study_1156	4	0.00015
study_1192	1	0.08555700000000001
study_369	1	0.045579
study_1133	1	0.210195
study_1312	1	0.180292
study_1728	1	0.032789
study_1814	1	0.052647
study_1785	1	0.004169
study_590	1	0.053122
study_981	1	0.18640299999999999
study_1365	1	0.142965
study_1006	1	0.108052
study_278	1	0.134658
study_263	1	0.112599
study_441	1	0.119922
study_315	1	0.12074000000000001
study_1483	1	0.125444
study_1545	1	0.125444
study_1784	1	0.21860900000000003
study_1279	1	0.073622
study_1257	1	0.171234
study_1319	1	0.265275
study_1344	1	0.174121
study_1437	1	0.061251
study_1705	1	0.06448200000000001
study_657	1	0.034854
study_1186	1	0.2145
study_556	1	0.008506
study_1570	1	0.002604
study_222	1	0.00015
study_1693	1	0.11738
study_1333	1	0.11738
study_1544	1	0.006319
study_1149	1	0.10604300000000001
study_1447	1	0.05475700000000001
study_1779	1	0.05488
study_317	1	0.054808
study_1018	1	0.037638
study_506	1	0.038999
study_1282	1	0.02719
study_142	1	0.06526699999999999
study_1557	1	0.055591999999999996
study_319	1	0.065116
study_39	1	0.06526699999999999
study_856	1	0.085483
study_975	1	0.018324
study_911	1	0.00015
study_1213	1	0.055465999999999994
study_1663	1	0.00015
study_226	1	0.00015
study_1408	1	0.00015
study_1698	1	0.24005500000000002
study_865	1	0.079316
study_1521	1	0.07911699999999999
study_1878	1	0.270018
study_1676	1	0.270018
study_1795	1	0.206236
study_119	1	0.22803
study_1441	1	0.22803
study_1397	1	0.2133
study_1327	1	0.214562
study_428	1	0.22493200000000002
study_664	1	0.18723199999999998
study_990	1	0.141236
study_1585	2	0.152605
study_1379	2	0.152605
study_1572	2	0.152605
study_995	2	0.152605
study_1556	2	0.152605
study_598	2	0.033854
study_1422	2	0.082008
study_1061	2	0.010284999999999999
study_1053	2	0.051686
study_339	2	0.051686
study_905	2	0.186893
study_678	1	0.103626
study_1543	1	0.09414299999999999
study_1430	1	0.088602
study_1899	1	0.012092
study_1294	1	0.007698999999999999
study_735	1	0.007762000000000001
