function	Agabi_varbisH97_2	Acain1	Aciri1_iso	Acrchr1	Amore1	Armcep1	Armosto1	Artbe1	Arxad1	Ascim1	Ascsa1	Aspacu1	Aspbom1	Aspca3	Aspcam1	Aspcl1	Aspeuc1	Asphet1	Aspnov1	Aspoch1	Aspor1	Aspscl1	Aspste1	Aspte1	Aspuda1	Bauco1	Bjead1_1	Blade1	Botbo1	Botdo1_1	Cadsp1	Canalb1	Canca1	Capep1	Capse1	Catan2	Cenge3	Cersu1	Clafu1	Clalu1_2	Clasph1	CocheC4_1	CocheC5_3	Cocim1	Cocsa1	Coere1	Colch1	Colfi1	Colgr1	Color1	Colorb1	Colsi1	Colto1	Corca1	Cryne_JEC21_1	DimcrSC1	Dotse1	EndpusZ1	Erynec1	Eutla1	Fibra1	Fomme1	Fonmo1	Fonnu1	Fusfu1	Fusgr1	Galma1	Gansp1	Glalo1	Glost2	Grocl1	Hanpo2	Hanva1_1	Hebcy2	Hetan2	Hisca1	HypCI4A_1	HypEC38_3	Hyspu1_1	Kazaf1	Kocim1	Kurca1	Linpe1	Lipst1_1	Malgl1	Malsy1_1	Marbr1	Meimi1	Metbi1	Metbi_SCcomb	Micca1	Micld1	Mixos1	Monha1	Mycfi2	Mycgr3	Nakdel1	Neodi1	Neofi1	Neoirr1	Neopa1	Neucr2	Oidma1	Ophnu1	Parbr1	Penant1	Pench1	Pencop1	Pendig1	Penfla1	Pengri1	Penita1	Pennal1	Penox1	Penpol1	Pensol1	Penste1	Pensub1	Phaal1	Phaca1	Phisc1	Phlcen1	Phlrad1	Pirfi3	PleosPC15_2	Pneji1	Pocchl1	Podan3	PosplRSB12_1	Prola1	Psehu1	Pseudest1	Psiser1	Pucst1	Pucst_PST78_1	Punst1	Pycci1	Pyrco1	Pyrtt1	Rhihy1	Rhiir2_1	RhiirA4	RhiirA5	Rhiso1	Rhoto_IFO0559_1	Rhyru1_1	Rozal_SC1	Sacce1	Schoc1	Schpo1	Sclsc1	Sepmu1	Seppo1	SerlaS7_9_2	Settu3	Spapa3	Spipu1	Spore1	Spoth2	Suilu4	Talma1_2	Tapde1_1	Terbo2	Thasp1	Thite2	Torde1	Trave1	Treen1	Treme1	Trias2479	Triat2	Trire2	TriviGv29_8_2	Triver1	Tubma1	Tubme1v2	Uncre1	Ustvir1	Venpi1	Veral1	Verda1	Zygro1	Zymar1	Aspfu1-cluster	Aspni7-cluster	Blugr2-cluster	Lodelo1-cluster	Rhoto_IFO0880_2-cluster	Tubae1-cluster	YarliYB420-cluster
EC:1.1.1.1	12	8	27	9	13	8	8	6	11	6	17	33	20	27	15	21	22	16	21	12	29	32	34	21	11	22	13	17	10	34	46	5	9	26	22	0	15	17	19	7	15	22	21	10	20	1	15	15	17	14	15	20	14	34	10	1	22	4	0	31	15	12	44	39	42	26	12	12	22	27	10	4	4	7	17	8	20	20	25	4	1	4	2	3	0	2	10	8	6	5	11	1	8	11	21	20	2	22	23	3	30	11	36	9	8	15	28	11	10	16	12	10	12	17	12	19	18	20	22	10	38	8	15	2	14	0	12	9	21	3	10	3	4	3	0	8	14	10	23	3	0	1	1	14	15	25	1	5	6	7	12	13	10	11	12	5	6	11	10	3	22	5	5	0	10	4	22	2	7	5	23	16	28	7	4	1	9	1	15	16	20	4	18	16	31	0	13	10	5	6
EC:1.1.1.10	0	0	0	2	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	1	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	2	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.1.1.100	18	14	24	10	19	12	12	9	11	6	23	22	21	28	19	14	21	18	20	16	28	27	30	17	15	23	12	8	13	35	46	2	3	38	19	0	19	25	35	2	16	29	24	9	24	3	24	46	22	20	23	30	21	39	6	1	26	12	6	31	32	27	39	34	34	23	11	14	23	30	21	5	0	6	16	7	25	28	25	0	9	10	15	9	1	0	14	9	3	3	10	8	9	8	25	25	1	14	25	2	31	19	42	9	6	13	19	16	7	11	13	6	16	13	12	19	18	21	26	19	34	5	12	0	23	1	14	10	26	6	4	6	11	6	8	15	12	11	30	7	2	3	2	20	8	32	2	1	6	2	17	25	21	15	17	3	8	7	14	3	26	4	6	0	12	1	17	16	10	7	23	14	25	11	5	3	8	8	24	16	18	2	25	20	24	4	11	8	5	5
EC:1.1.1.101	2	3	2	3	2	6	7	2	4	0	6	12	6	10	3	6	6	5	7	3	7	11	12	7	7	2	4	1	6	8	21	3	0	8	7	0	4	7	2	1	6	3	3	1	3	0	5	3	4	2	3	12	6	7	1	0	7	4	0	16	4	2	8	8	8	4	3	4	7	6	4	0	1	1	5	1	13	13	4	2	1	4	1	5	0	0	2	1	2	1	3	2	3	2	4	5	1	9	4	0	4	2	12	4	1	5	6	7	2	6	5	3	4	2	2	3	4	10	9	3	13	2	6	1	3	0	7	4	7	1	2	2	2	0	0	2	5	1	2	1	0	0	0	4	1	7	0	1	2	3	3	4	3	3	2	1	0	2	3	3	7	1	0	7	12	2	5	2	0	1	9	8	14	1	5	6	1	2	6	4	4	1	3	4	9	1	4	2	4	0
EC:1.1.1.102	1	0	0	1	0	2	2	0	0	0	0	2	3	0	0	1	1	1	1	0	0	0	0	0	3	0	1	0	1	0	0	1	0	3	3	0	0	1	1	0	4	0	1	1	0	1	3	0	1	2	3	3	5	1	1	1	0	1	1	0	1	2	4	5	1	1	2	3	0	1	0	0	1	1	3	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	0	3	1	0	0	0	2	3	1	1	0	0	1	2	0	2	0	1	1	1	2	1	2	0	3	2	3	2	0	1	0	1	2	1	1	0	4	2	1	1	0	1	1	0	1	2	2	0	0	2	1	1	1	1	1	0	1	1	1	1	0	0	1	1	2	0	1	0	0	2	0	1	0	1	0	1	2	2	0	1	0	0	0	0	0	3	0	1	1	1	0	1	0	0	0	1	0	1	1	1
EC:1.1.1.103	2	1	0	1	0	1	1	1	1	0	1	0	2	2	1	2	2	1	1	2	2	2	1	2	2	0	0	0	0	2	2	0	0	1	1	0	0	0	1	0	1	3	3	1	2	1	1	0	1	1	2	2	2	5	2	1	0	1	0	2	0	1	2	2	2	1	2	1	1	1	0	0	0	1	1	0	1	1	1	0	2	0	1	2	0	0	1	1	0	0	1	0	0	0	3	1	0	1	2	0	1	1	2	1	1	1	2	2	1	2	2	2	3	2	3	2	1	2	1	0	2	0	0	0	0	0	2	1	0	0	2	0	1	0	0	0	1	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	3	0	0	1	0	0	3	0	0	0	0	0	1	2	3	2	1	1	1	1	0	0	0	0	1	1	1	0	1	2	2	0	1	0	0	0
EC:1.1.1.105	0	0	0	4	0	1	2	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	1	0	2	0	5	4	1	0	0	0	0	2	0	0	0	0	1	3	0	0	4	4	5	7	0	0	0	0	1	2	0	1	0	5	4	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	6	0	2	0	0	0	4	0	4	1	5	2	3	4	2	5	0	3	4	4	6	0	0	2	1	2	0	0	0	5	3	0	3	0	4	2	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	2	6	0	3	0	0	1	0	0	1	2	0	0	1	1	0	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	1	1	1	2
EC:1.1.1.116	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2	2	2	2	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	1	1	0	0	1	1	4	0	0	0	0	1	0	0	0	2	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
EC:1.1.1.117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EC:1.1.1.125	3	6	8	4	4	3	2	2	2	1	3	9	8	7	3	4	7	6	5	2	5	6	6	6	0	11	2	3	2	10	12	1	3	9	8	1	7	2	7	0	1	5	5	3	4	1	5	2	6	6	5	6	5	15	2	0	10	2	1	14	3	5	10	8	15	7	2	3	8	4	4	1	0	3	3	2	8	8	14	0	3	1	0	3	0	0	3	5	0	0	3	3	2	1	10	6	0	4	8	1	6	3	11	3	3	4	3	5	2	7	4	5	4	2	8	6	3	4	7	3	5	2	2	0	4	0	4	3	3	1	3	2	2	0	0	5	3	3	4	1	0	0	0	5	1	10	0	0	1	0	3	8	4	3	3	0	0	3	0	3	5	2	1	1	2	0	4	3	1	2	6	6	6	1	1	2	1	2	3	5	6	0	7	7	6	0	4	1	1	0
